scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-15.56179181,-9.480886397
politeness-refusal-080,080,neutral,-0.4572906996,12.00716525
politeness-refusal-080,080,positive,16.01908251,-2.526278852
politeness-apology-013,013,negative,-17.40666271,-17.95022414
politeness-apology-013,013,neutral,3.948596874,10.83049717
politeness-apology-013,013,positive,13.45806583,7.119726969
politeness-criticism-or-feedback-054,or-feedback-054,negative,-10.14819248,-10.37705349
politeness-criticism-or-feedback-054,or-feedback-054,neutral,3.374151177,15.54328772
politeness-criticism-or-feedback-054,or-feedback-054,positive,6.774041306,-5.166234224
politeness-disagreement-048,048,negative,-13.23411943,-2.371886924
politeness-disagreement-048,048,neutral,2.822817443,8.985552509
politeness-disagreement-048,048,positive,10.41130199,-6.613665585
politeness-correction-005,005,negative,-10.53362107,-0.03773991728
politeness-correction-005,005,neutral,1.70044634,5.889682711
politeness-correction-005,005,positive,8.833174727,-5.851942793
politeness-complaint-030,030,negative,-12.19774847,-7.168224978
politeness-complaint-030,030,neutral,-8.241841196,23.08525319
politeness-complaint-030,030,positive,20.43958967,-15.91702821
politeness-complaint-072,072,negative,-14.9172933,-3.99740594
politeness-complaint-072,072,neutral,4.312439633,17.1343832
politeness-complaint-072,072,positive,10.60485367,-13.13697726
politeness-apology-043,043,negative,-15.72579098,-3.733040925
politeness-apology-043,043,neutral,1.403863075,8.087424297
politeness-apology-043,043,positive,14.3219279,-4.354383372
politeness-refusal-038,038,negative,-16.15926609,-5.897778544
politeness-refusal-038,038,neutral,7.122022813,9.29261734
politeness-refusal-038,038,positive,9.037243273,-3.394838796
politeness-reminder-019,019,negative,-13.967609,-7.056024887
politeness-reminder-019,019,neutral,0.5248832186,10.89775365
politeness-reminder-019,019,positive,13.44272578,-3.84172876
politeness-request-037,037,negative,-17.96197776,1.476139274
politeness-request-037,037,neutral,4.849864372,8.790803083
politeness-request-037,037,positive,13.11211338,-10.26694236
politeness-apology-067,067,negative,-9.789370263,-9.280406848
politeness-apology-067,067,neutral,-0.9492344614,13.80936042
politeness-apology-067,067,positive,10.73860472,-4.528953571
