perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,-0.03128180807,-0.02589052585,-0.4380022842,0.2777777778,0.8801249074,0.6301276493
1,0.1412228138,0.1089296514,-0.38427738,0.2916666667,0.8530709802,0.6429728581
2,-0.107758554,-0.08293387955,-0.7062149479,0.3333333333,0.818891681,0.6397250982
3,-0.08020510093,-0.06062171906,-0.4459872043,0.3611111111,0.8575854431,0.5561013758
4,-0.02118796884,-0.01694461245,-0.5029348959,0.3333333333,0.8854410572,0.6465352467
5,-0.1469517495,-0.1120870326,-0.5228295709,0.4722222222,0.8797298528,0.6763140474
6,-0.05801684171,-0.04525579722,-0.445086793,0.2916666667,0.8412446176,0.5425023664
7,-0.01936925907,-0.01610264413,-0.5090905839,0.2361111111,0.8579487028,0.6115978761
8,0.0453768088,0.03346824073,-0.4005527057,0.4027777778,0.8444548984,0.6470633539
9,-0.01018477472,-0.007682960923,-0.3380484481,0.2222222222,0.8323951223,0.5886978669
10,0.08320597205,0.0623056557,-0.298822631,0.375,0.8362477684,0.5371074511
11,0.1787791705,0.1399772333,-0.2655800628,0.3194444444,0.8197168282,0.8049149203
12,0.01782335576,0.01410296937,-0.6068750477,0.2916666667,0.8569822635,0.5459627865
13,-0.2554377874,-0.1975468172,-0.7164981775,0.2777777778,0.8842534748,0.6485289939
14,0.06974751974,0.05367548042,-0.6712446092,0.2916666667,0.8792512042,0.5724339159
15,-0.1142149737,-0.08745945927,-0.4108631842,0.3333333333,0.8824438239,0.5516955122
16,0.02082422688,0.01631313621,-0.389002611,0.3055555556,0.8194049444,0.5611309617
17,-0.09193577895,-0.06998861663,-0.4003003596,0.3611111111,0.8411824574,0.5696418093
18,-0.1033936505,-0.08030272855,-0.2503231484,0.3611111111,0.8320819113,0.528642047
19,-0.1411318783,-0.1046145638,-0.3671348187,0.2916666667,0.8652299662,0.6025088575
20,0.05883526111,0.04167743186,-0.5028662913,0.2638888889,0.8304323833,0.7280497425
21,-0.02046048493,-0.01536592185,-0.8297876481,0.3055555556,0.8420130106,0.5817900055
22,-0.05283351886,-0.04094070958,-0.4585636141,0.3333333333,0.7807850267,0.6094582283
23,-0.1982393651,-0.1534487264,-0.6196792333,0.3194444444,0.8529997025,0.5487953882
24,0.09639161789,0.07430370427,-0.279534349,0.3611111111,0.8553857343,0.5379008548
25,-0.004546774429,-0.0009472143604,-0.5579670523,0.3055555556,0.8569822635,0.6730404719
26,-0.03737448581,-0.02904790705,-0.8977878492,0.3333333333,0.8620498503,0.5149895799
27,-0.05501597059,-0.04251940018,-0.3392777535,0.3333333333,0.8584803626,0.6681795274
28,-0.2520731743,-0.1969153409,-0.561626697,0.3611111111,0.8297392358,0.6232698086
