perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,0.03164555003,0.02473281941,-0.4349108342,0.2777777778,0.8166320053,0.5862188086
1,0.1053942313,0.08198666519,-0.4246859033,0.3333333333,0.8192493034,0.6313683845
2,0.01609558148,0.01168231044,-0.8388631516,0.25,0.8454919944,0.5638695106
3,0.139222233,0.1058775163,-0.213290725,0.3194444444,0.8768203049,0.6618088699
4,-0.1220354257,-0.09314274544,-0.5468651827,0.3611111111,0.8690423404,0.5215733661
5,0.06056303539,0.04641350366,-0.08577442056,0.3472222222,0.8044641926,0.6129149261
6,-0.1203076514,-0.09272176128,-0.7151463636,0.375,0.8142847269,0.5972974021
7,-0.1317655229,-0.1009309524,-0.3704726931,0.3888888889,0.8608068043,0.5064068671
8,-0.06683758411,-0.05157055962,-0.5465026457,0.3611111111,0.8828234438,0.5049334844
9,-0.1039392634,-0.07988174439,-0.2742291531,0.4444444444,0.8387044636,0.5893118754
10,-0.02473445289,-0.01978625553,-0.3542703548,0.3055555556,0.8552907408,0.5252705357
11,-0.2180633016,-0.1675516957,-0.5692189019,0.375,0.8621624541,0.603679063
12,-0.2376144317,-0.1820756493,-0.4316348589,0.4722222222,0.8368360476,0.6118978453
13,0.05401568022,0.0428351383,-0.3159741476,0.4305555556,0.80503922,0.6186571839
14,0.03064525965,0.02252265257,-0.1709735299,0.3333333333,0.8416202727,0.5712297135
15,0.1267640711,0.09977324596,-0.4234873878,0.3055555556,0.819494991,0.6717103404
16,0.1468608141,0.112929001,-0.3416479383,0.2222222222,0.8365576849,0.6096004482
17,-0.06065397088,-0.04672924178,-0.3707982564,0.4166666667,0.8014461193,0.6319593769
18,0.1745052026,0.1348201773,-0.2621761889,0.3611111111,0.8180134446,0.6451154194
19,0.1717771379,0.1315575501,-0.2629432563,0.2361111111,0.8313336889,0.6692873435
20,0.1335842327,0.09966799992,-0.09418038459,0.2361111111,0.8253871175,0.537647289
21,0.1238541354,0.09735258704,-0.2362300826,0.3333333333,0.819494991,0.6408336571
22,0.1722318154,0.1334519788,-0.3469879615,0.375,0.8190426339,0.7376997766
23,0.05219697044,0.03988824918,-0.5814271137,0.3472222222,0.8593337612,0.5191679081
24,-0.04064816339,-0.03178430409,-0.3505486742,0.3472222222,0.8286892521,0.5239547917
25,0.07174810049,0.05367548042,-0.613351973,0.2916666667,0.8387044636,0.5157288307
26,-0.003728355032,-0.003683611401,-0.2509564592,0.3194444444,0.8020501184,0.6262504019
27,-0.07274839086,-0.05620138538,-0.2622121608,0.3333333333,0.8310553262,0.5838953971
28,-0.04837767992,-0.03704660609,-0.4338449086,0.2916666667,0.8375983714,0.5369697504
29,-0.08611590768,-0.06704172751,-0.08255801232,0.4305555556,0.8905609623,0.633028921
30,-0.08684339159,-0.06619975919,-0.4303077521,0.4305555556,0.8524476608,0.5618324547
31,0.1248544258,0.09703684892,-0.3189194979,0.375,0.8516131751,0.5302360035
32,0.147224556,0.1133499851,-0.5056100879,0.3194444444,0.8656838009,0.6265354607
33,-0.0421940667,-0.03325774865,-0.467912758,0.2361111111,0.8648868881,0.5973136527
34,-0.2642585298,-0.2025986271,-0.420111181,0.3472222222,0.8343264935,0.5665756146
35,0.02718971108,0.02252265257,-0.4783716286,0.3611111111,0.8603851189,0.535505685
36,-0.1502254271,-0.1161916282,-0.5585231289,0.3611111111,0.8365576849,0.5831616045
37,-0.09811939218,-0.07598764091,-0.154379796,0.4583333333,0.8425761853,0.5673681051
38,0.08338784303,0.06556828295,-0.3289155195,0.25,0.8076685158,0.6907402035
39,-0.1435871365,-0.1120870326,-0.7309006106,0.3611111111,0.8485063732,0.531190701
40,0.08284223009,0.06441057651,-0.2784865479,0.375,0.8392716067,0.6052348275
41,0.1421321686,0.1120870326,-0.2713514315,0.3055555556,0.8168776929,0.6064425774
42,0.07747703627,0.05977975074,-0.5002451102,0.2777777778,0.860469072,0.6184621414
43,0.1040301989,0.07861879191,-0.2328453629,0.3194444444,0.8168776929,0.5944906991
44,-0.07038406816,-0.0554646631,-0.5843723046,0.3333333333,0.8506703256,0.563011738
45,0.1293102648,0.09977324596,-0.1537923067,0.3333333333,0.8337882309,0.580999705
46,-0.2040592364,-0.157658568,-0.4799766755,0.3888888889,0.8311437941,0.5207256034
47,0.04992358323,0.03820431254,-0.3534931875,0.3194444444,0.8365576849,0.6238203967
48,0.07820452018,0.06146368738,-0.4391331513,0.3888888889,0.8074411238,0.6142131714
49,0.06083584186,0.04820268634,-0.3537043175,0.3333333333,0.8311437941,0.6173210765
50,0.06256361614,0.04693973386,-0.3814867161,0.2916666667,0.8383502281,0.5300142423
51,-0.05037826067,-0.03652037589,-0.5801655408,0.3472222222,0.8951336248,0.6723761438
52,-0.1175795867,-0.09030110236,-0.5115555477,0.4305555556,0.8696756989,0.6050991775
53,-0.1380400717,-0.1071404688,-0.5703799246,0.3888888889,0.8180134446,0.6054123697
54,-0.0931179403,-0.07251452159,-0.4863842129,0.3611111111,0.8337882309,0.6137580687
55,-0.08975332723,-0.07062009287,-0.7035979895,0.4166666667,0.8787872724,0.6683658914
56,-0.0167321299,-0.0121032946,-0.7881290311,0.3194444444,0.8265243112,0.6572723755
57,0.1807797513,0.1398719872,-0.2190124328,0.3472222222,0.8632977648,0.5784309997
58,-0.107394812,-0.08346010975,-0.2879574846,0.4861111111,0.8836181088,0.6382805159
59,-0.1639566859,-0.1269267243,-0.5816603836,0.375,0.8278369513,0.5706283869
60,0.04446745391,0.03346824073,-0.2371672777,0.3611111111,0.8941127275,0.5302930647
61,0.07338493928,0.05620138538,-0.3626259822,0.3333333333,0.8304812013,0.5896408963
62,-0.05738029329,-0.04536104326,-0.4178228428,0.4722222222,0.8666563044,0.6425627333
