layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.8446088179,0.7047274841,0.9046854561,0.7638888889,0.8344280994,0.7420955194,0.9237466331,0.6183693901,0.5812146904,0.6435705702
2,0.8592494316,0.7216720966,0.8993443336,0.7777777778,0.8246988142,0.7307650124,0.9285992239,0.6257596804,0.5909544561,0.6506065409
3,0.8594313026,0.7218825886,0.9068247145,0.75,0.8087730813,0.7195955871,0.9306180568,0.6288501694,0.5956502783,0.668657415
4,0.8523383344,0.7136733975,0.9106517686,0.75,0.7716732019,0.7006623503,0.9185459449,0.6313270193,0.5862240887,0.6704425912
5,0.9068086921,0.7767157755,0.9147221486,0.9027777778,0.7549717883,0.6872615427,0.8577284653,0.625009369,0.5750043416,0.6702262132
6,0.8871666266,0.7539826309,0.9083038075,0.875,0.7544965207,0.6909870591,0.8598702321,0.629719364,0.5829285707,0.6781243885
7,0.8985335626,0.7671383859,0.9125748212,0.9166666667,0.7531005087,0.6638720068,0.8397437445,0.6362215987,0.5973645598,0.6850879922
8,0.8960783045,0.7642967428,0.9063356879,0.9166666667,0.7563150239,0.647416783,0.8474997432,0.6427392681,0.5982771984,0.6829000378
9,0.9124466924,0.78324103,0.9056784416,0.9166666667,0.7399588209,0.6446528009,0.8305256735,0.6426182642,0.6006734376,0.6852879548
10,0.9045353049,0.7740846245,0.9080151213,0.9027777778,0.7447807236,0.6569212187,0.8280934882,0.6442347636,0.6009103515,0.6864004626
11,0.9130832408,0.7839777523,0.9118095964,0.9305555556,0.7257219472,0.6645406055,0.8275468012,0.6473392411,0.6056552809,0.6917572239
12,0.8958964335,0.7640862507,0.915887554,0.8888888889,0.7396164994,0.6554539401,0.8222552774,0.6481188176,0.6042360344,0.6923116716
13,0.895441756,0.7635600205,0.9155305361,0.8888888889,0.7271230984,0.6564152037,0.8320570268,0.6514748791,0.6076755283,0.6953035911
14,0.89153153,0.7590344408,0.9187404009,0.875,0.7359368345,0.650052375,0.8067336463,0.653580734,0.6106398412,0.6946463538
15,0.8875303685,0.754403615,0.9195216631,0.8888888889,0.74081201,0.6420915791,0.8193834023,0.6536899231,0.613086427,0.6932973191
16,0.8903493687,0.7576662423,0.9193281045,0.8888888889,0.73080582,0.655854555,0.8279081617,0.6520888267,0.6093683629,0.6950769778
17,0.879982723,0.7456681937,0.9222346334,0.8611111111,0.7287094377,0.6541090837,0.8170865953,0.6545369588,0.6115965501,0.6924939992
18,0.8759815615,0.7410373679,0.9231612787,0.8472222222,0.7375008779,0.6527613127,0.8248364181,0.6556493627,0.6077411865,0.6987546123
19,0.8735263033,0.7381957249,0.9175161679,0.8333333333,0.748869798,0.6580411051,0.832160843,0.6515222596,0.5984252621,0.6934133027
20,0.8746175291,0.7394586773,0.9136742273,0.8333333333,0.7471093816,0.6558907468,0.828659823,0.6511626874,0.594918657,0.6970062598
21,0.875526884,0.7405111377,0.9054075038,0.8472222222,0.7598172189,0.6635137192,0.8361685227,0.6507822068,0.5957349712,0.693171124
22,0.8699798192,0.7340911293,0.9058369736,0.8472222222,0.7583504221,0.6781503888,0.8500787158,0.6497540145,0.5954700564,0.6887597001
23,0.8720713355,0.7365117882,0.9032059389,0.8333333333,0.7592150755,0.6828737545,0.8571486489,0.6474617919,0.5970415464,0.6827044263
24,0.8665242707,0.7300917798,0.9004990446,0.8333333333,0.7799944922,0.6996955568,0.879463291,0.6452906003,0.6028155267,0.6830607207
25,0.863796206,0.7269343986,0.8997216092,0.8611111111,0.7886919902,0.6838500718,0.9056516688,0.6540998432,0.5963800045,0.7017389765
