layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.1679881659,0.4098635943,0.0981479275,0.2171135433
2,0.1745794552,0.4178270638,0.1037959952,0.2213434914
3,0.1862337228,0.4315480538,0.1221862197,0.2318678437
4,0.2074322371,0.4554472935,0.1381397401,0.270944005
5,0.213170041,0.4617034123,0.1374128113,0.2706759945
6,0.2255682973,0.4749403091,0.1414686174,0.2863454501
7,0.2257051613,0.4750843729,0.1531095828,0.2912002709
8,0.232335862,0.4820123048,0.1620880838,0.2974419331
9,0.2365566045,0.4863708508,0.1639290256,0.2992206849
10,0.2340709645,0.4838088098,0.1726931578,0.2955533484
11,0.2377258843,0.4875714146,0.1783953058,0.301640271
12,0.2514965902,0.5014943571,0.1783661613,0.3279683978
13,0.2524191542,0.50241333,0.1860934156,0.3245065795
14,0.260649688,0.5105386253,0.1847163197,0.340692212
15,0.2670505872,0.5167693752,0.1925279419,0.3586067827
16,0.2535799126,0.5035671878,0.1793004626,0.3379934624
17,0.2662868964,0.5160299375,0.1878067474,0.3547518729
18,0.2676472595,0.5173463632,0.1867043497,0.3638722167
19,0.2609504461,0.5108330903,0.1805563972,0.3427106465
20,0.2616578366,0.5115250107,0.1747288947,0.341160427
21,0.2588380952,0.5087613342,0.1704438375,0.3393509931
22,0.2494179226,0.4994175834,0.1598438894,0.3264685929
