layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.5764400621,0.4611881475,0.7995173713,0.5972222222,0.708516786,0.5531307533,0.8303279859,0.780636194,0.665851641,0.9017117069
2,0.7547645552,0.6161103184,0.8196135689,0.6805555556,0.7182885633,0.5921691534,0.8736542298,0.7549540678,0.6642339978,0.8562408519
3,0.7994138801,0.6564195517,0.779620755,0.7222222222,0.7500871033,0.6253811486,0.8795476931,0.7196468988,0.6483134262,0.7891090867
4,0.8117811065,0.6671546478,0.7278002201,0.7777777778,0.7354253881,0.6443433653,0.8622572096,0.6895128664,0.6282074542,0.7582445039
5,0.8545207862,0.7161993025,0.8157937024,0.7916666667,0.7493531925,0.6643121514,0.8328145413,0.6645549733,0.6037267065,0.7280478459
6,0.8544298507,0.7161993025,0.8247501534,0.8055555556,0.7422777108,0.6629934836,0.8203664801,0.6750503315,0.6113020633,0.7401315878
7,0.8660695932,0.7295655496,0.8608914703,0.8611111111,0.7322568037,0.6657480733,0.795512433,0.6581582055,0.6008896431,0.7030632124
8,0.8491555923,0.7099897861,0.8344298179,0.8611111111,0.7228371852,0.6462729084,0.7963180232,0.6597556615,0.6011847214,0.717791521
9,0.8619774962,0.7248294778,0.8407407192,0.875,0.7105000804,0.657313063,0.78535736,0.659264627,0.6016201988,0.7104444904
10,0.8507014956,0.7117789688,0.8488125782,0.8472222222,0.7140285972,0.6697327278,0.7835495871,0.6548182376,0.6026212779,0.7045981922
11,0.8540661087,0.7156730723,0.8490480891,0.8472222222,0.695375865,0.6547360121,0.7719000916,0.6576478133,0.601123493,0.7130338976
12,0.847973431,0.7086215876,0.8449946994,0.8194444444,0.7147456974,0.6454585695,0.7901030531,0.6601904122,0.5950743998,0.7134527876
13,0.8472459471,0.7077796193,0.8581286457,0.8055555556,0.7187474495,0.6306782128,0.7823257524,0.6618691329,0.6054246019,0.7257619162
14,0.8413351403,0.7009386267,0.8575948784,0.7777777778,0.7251103786,0.6348981478,0.8011094804,0.6600756088,0.5964212877,0.7121482639
15,0.8444269469,0.704516992,0.8492861175,0.8055555556,0.6815565157,0.6155054302,0.7765454289,0.678427045,0.6219449215,0.7353495949
16,0.863978077,0.7271448906,0.8548749816,0.8333333333,0.686216391,0.6163757917,0.7672060686,0.6803113668,0.6192485719,0.7342387135
17,0.8505196247,0.7115684767,0.8582826496,0.8055555556,0.689689493,0.5984819996,0.7861156,0.6810504246,0.6207508961,0.738712616
18,0.8429719791,0.7028330554,0.8406864394,0.7638888889,0.6798612191,0.6025329207,0.7798497162,0.6867299362,0.6214840345,0.7473395433
19,0.8296953978,0.6874671336,0.8443969248,0.7361111111,0.6816290054,0.6103135203,0.7792645083,0.6896689198,0.6187663199,0.7473002608
20,0.8289679139,0.6866251652,0.8401477422,0.75,0.6816688483,0.6089558411,0.764557456,0.6932916648,0.6156418038,0.7583929132
21,0.8307866237,0.688730086,0.8446263118,0.7638888889,0.6826929037,0.599463258,0.7682735762,0.6915044001,0.6203241267,0.7504225594
22,0.8320597205,0.6902035306,0.8433513029,0.7777777778,0.6886923945,0.6026473451,0.7610811651,0.6916930606,0.6187229909,0.7504314135
23,0.8305138172,0.6884143479,0.841493656,0.7638888889,0.683829857,0.6081620479,0.7775341699,0.6905161415,0.6224706071,0.7442261003
24,0.8307866237,0.688730086,0.8466568682,0.7638888889,0.6904947855,0.6059924324,0.7743211739,0.6905373324,0.6310686816,0.7454602155
25,0.8386070757,0.6978864915,0.8471251212,0.7916666667,0.6698511562,0.5954285105,0.798789054,0.6920803368,0.6270080231,0.7579112352
