panel,scenario_id,level,pc1,pc2
raw,politeness-apology-003,negative,-42.16052882,4.240850447
raw,politeness-apology-003,neutral,-20.80081079,-17.02649095
raw,politeness-apology-003,positive,12.78825983,-8.616345366
raw,politeness-apology-013,negative,-36.24037719,25.12792592
raw,politeness-apology-013,neutral,-2.317003936,-21.7892095
raw,politeness-apology-013,positive,10.42782203,-26.40890711
raw,politeness-apology-043,negative,-26.44573167,32.76940537
raw,politeness-apology-043,neutral,-31.65104905,-1.288525807
raw,politeness-apology-043,positive,-23.94423282,-6.883429852
raw,politeness-apology-057,negative,-16.0567096,38.47354927
raw,politeness-apology-057,neutral,-20.13071587,0.1677975979
raw,politeness-apology-057,positive,-6.278134716,-6.058386664
raw,politeness-apology-065,negative,-26.49712295,19.38677354
raw,politeness-apology-065,neutral,6.151278216,-11.92331742
raw,politeness-apology-065,positive,-0.9251718204,0.7738528219
raw,politeness-apology-067,negative,-19.04667491,13.35124724
raw,politeness-apology-067,neutral,1.313945401,-6.282165112
raw,politeness-apology-067,positive,6.502198389,-17.28912546
raw,politeness-apology-081,negative,-11.67371933,28.75310811
raw,politeness-apology-081,neutral,17.15210324,-9.979851001
raw,politeness-apology-081,positive,18.37889043,-7.113600344
raw,politeness-apology-098,negative,-35.47915466,18.63831964
raw,politeness-apology-098,neutral,-18.29047406,-1.832681388
raw,politeness-apology-098,positive,-26.10944022,-2.586557237
raw,politeness-bad-news-delivery-020,negative,-13.74043589,-5.476122351
raw,politeness-bad-news-delivery-020,neutral,9.976779902,-22.6468251
raw,politeness-bad-news-delivery-020,positive,7.467498914,-23.62192554
raw,politeness-bad-news-delivery-028,negative,-42.17028057,21.7820575
raw,politeness-bad-news-delivery-028,neutral,1.21841383,-21.54699956
raw,politeness-bad-news-delivery-028,positive,-2.157937875,-27.30823308
raw,politeness-bad-news-delivery-066,negative,-30.82619333,19.65050784
raw,politeness-bad-news-delivery-066,neutral,12.69119544,-40.56613416
raw,politeness-bad-news-delivery-066,positive,9.040752424,-18.11486914
raw,politeness-bad-news-delivery-073,negative,-48.19589138,13.81963732
raw,politeness-bad-news-delivery-073,neutral,-10.61773385,-8.171576216
raw,politeness-bad-news-delivery-073,positive,-7.348439396,2.478237787
raw,politeness-complaint-030,negative,-27.32278611,-9.47268741
raw,politeness-complaint-030,neutral,9.708238376,-21.26205035
raw,politeness-complaint-030,positive,29.0058211,2.00727402
raw,politeness-complaint-032,negative,-22.1615347,10.88885262
raw,politeness-complaint-032,neutral,25.78156807,-31.69548967
raw,politeness-complaint-032,positive,21.05173561,-24.64943597
raw,politeness-complaint-040,negative,-31.15042701,-3.222825726
raw,politeness-complaint-040,neutral,8.045460312,-51.47117482
raw,politeness-complaint-040,positive,3.707802539,-26.25811906
raw,politeness-complaint-049,negative,-37.16797175,9.519654779
raw,politeness-complaint-049,neutral,-10.71575667,-39.19786372
raw,politeness-complaint-049,positive,8.734822336,-9.001923086
raw,politeness-complaint-063,negative,-33.99027616,14.4283073
raw,politeness-complaint-063,neutral,-39.9781597,-7.054822621
raw,politeness-complaint-063,positive,-11.25208197,11.45945502
raw,politeness-complaint-072,negative,-34.55390302,7.893480899
raw,politeness-complaint-072,neutral,-3.754487261,-34.58665557
raw,politeness-complaint-072,positive,-42.06282072,-18.81319287
raw,politeness-complaint-089,negative,-13.1601759,5.999492733
raw,politeness-complaint-089,neutral,18.75292787,-45.99386965
raw,politeness-complaint-089,positive,1.846018294,-20.26180772
raw,politeness-correction-002,negative,4.286715041,22.26182468
raw,politeness-correction-002,neutral,31.11863642,7.649765516
raw,politeness-correction-002,positive,28.66492687,9.302209812
raw,politeness-correction-005,negative,5.710966889,27.17623461
raw,politeness-correction-005,neutral,31.23047939,16.5988952
raw,politeness-correction-005,positive,37.76507841,19.70896204
raw,politeness-correction-007,negative,9.723534908,29.36405893
raw,politeness-correction-007,neutral,26.78006374,16.22674484
raw,politeness-correction-007,positive,19.44147502,33.42638493
raw,politeness-correction-024,negative,-2.870113406,7.710323882
raw,politeness-correction-024,neutral,17.27071018,-17.85639093
raw,politeness-correction-024,positive,14.27903126,-15.45324714
raw,politeness-correction-027,negative,7.323519742,32.80868493
raw,politeness-correction-027,neutral,38.56365508,15.08418604
raw,politeness-correction-027,positive,44.1469017,1.767482696
raw,politeness-correction-045,negative,-13.74430143,18.09568611
raw,politeness-correction-045,neutral,30.82885061,-25.93070235
raw,politeness-correction-045,positive,39.53502591,11.81920215
