layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.08683639994,0.2946801655,0.01502913673,0.1231072607
2,0.1030781696,0.3210578913,0.03630158903,0.1456661819
3,0.1069556527,0.3270407508,0.04606608327,0.1513637613
4,0.1054546014,0.3247377424,0.05130912744,0.1653939282
5,0.1210676541,0.347947775,0.06588524969,0.1703090163
6,0.1306343359,0.3614337227,0.07250859267,0.1788075116
7,0.1558450196,0.394772111,0.09936910065,0.2028366063
8,0.1630758989,0.4038265704,0.09859997776,0.2208760142
9,0.1658693392,0.407270597,0.1046687926,0.2173590782
10,0.1651349799,0.406368035,0.1005340458,0.2143396264
11,0.1737588179,0.4168438771,0.1161062464,0.2297785139
12,0.1807248648,0.4251174717,0.1142732229,0.239507849
13,0.196343795,0.4431069792,0.1281615329,0.2585913501
14,0.2015315135,0.4489226141,0.1276504982,0.2682983642
15,0.2491028755,0.4991020693,0.173834869,0.3094985245
16,0.2424847801,0.4924274364,0.1627959346,0.3028807703
17,0.2589571594,0.5088783346,0.1913312573,0.3259169465
18,0.2725406086,0.52205422,0.1938928131,0.338077065
19,0.2857168847,0.534524915,0.203609288,0.365131452
20,0.3042366202,0.5515764863,0.2169110172,0.3737355413
21,0.2934521022,0.5417121949,0.2022313276,0.3656905874
22,0.2853034256,0.5341380211,0.1961646597,0.3563114417
23,0.281807835,0.5308557573,0.193308339,0.3529552868
24,0.2761062772,0.5254581593,0.1928127319,0.3478062612
25,0.2558672485,0.505833222,0.1593184202,0.3550361316
