layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.8706040382,0.2359591722,0.2726652622
2,-0.8092650175,0.2064161897,0.4077473879
3,-0.7272305489,0.1988193989,0.5281026363
4,-0.6692777872,0.2044656873,0.5904707909
5,-0.5270738602,0.2932109833,0.6579240561
6,-0.5287005901,0.3080176711,0.6446908116
7,-0.4041711092,0.3178224564,0.7388026118
8,-0.3597886562,0.3180088997,0.7701818347
9,-0.3061995506,0.3517584205,0.7834196687
10,-0.3061585426,0.3552274704,0.7811362743
11,-0.2269325256,0.3791602254,0.8151459098
12,-0.2246403694,0.3842120767,0.813338697
13,-0.2289332151,0.3537788987,0.8294969797
14,-0.2306976318,0.352211833,0.8294198513
15,-0.1934719086,0.3506193161,0.8509883881
16,-0.1911646128,0.3771079779,0.8369991779
17,-0.2123951912,0.3470339179,0.8427460194
18,-0.1831774712,0.3547484875,0.8541601896
19,-0.2082920074,0.3246567845,0.8574631214
20,-0.193081975,0.3197671771,0.8679255247
21,-0.2116844654,0.3213363886,0.8574831486
22,-0.2107051611,0.3189772367,0.8592745662
23,-0.2162970304,0.3150792718,0.8584480882
24,-0.233009696,0.3049606085,0.8550918102
25,-0.1621191502,0.3953896761,0.8422623873
