perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,-0.2056960752,-0.1586057823,-0.384427882,0.3611111111,0.8286939603,0.5454197141
1,0.1043939409,0.08188141915,-0.5040529113,0.3611111111,0.8401060923,0.5776586134
2,-0.01964206553,-0.01747084265,-0.5118604014,0.3472222222,0.811679315,0.6293251908
3,0.008457000438,0.006630500523,-0.4898989575,0.3472222222,0.8738731768,0.6316572828
4,0.0390113246,0.03115282785,-0.3629094042,0.3472222222,0.8774902796,0.6003601423
5,-0.2739886271,-0.2120707707,-0.6704120345,0.4027777778,0.8905609623,0.7265990093
6,0.0565618739,0.04536104326,-0.4252864533,0.375,0.8232219898,0.549182334
7,0.02455258192,0.01926002533,-0.309304335,0.2083333333,0.860469072,0.5782693614
8,0.003728355032,0.002315412881,-0.1809257661,0.3888888889,0.8376637771,0.5744186442
9,0.01209441998,0.01031411192,-0.3526122334,0.2361111111,0.8787872724,0.5457681811
10,0.07975042348,0.0617794255,-0.5607373435,0.2777777778,0.820807631,0.6449583856
11,0.2283390118,0.1753399027,-0.3455761851,0.3055555556,0.8167111585,0.8021623823
12,-0.05556158352,-0.0449400591,-0.4522050235,0.3333333333,0.811679315,0.5417613696
13,-0.1820528481,-0.1400824793,-0.2125820958,0.5,0.8506671624,0.5631776362
14,-0.08302410107,-0.06398959235,-0.3244779701,0.375,0.8286939603,0.5595630479
15,-0.1260365872,-0.09503717416,-0.6728778497,0.3611111111,0.851335066,0.5591952319
16,-0.1408590718,-0.1073509608,-0.3708408159,0.5138888889,0.7999704757,0.57026347
17,-0.07529458454,-0.05788532202,-0.4770197485,0.375,0.8387044636,0.607769738
18,-0.1122143929,-0.08577552263,-0.3370402874,0.4583333333,0.8343264935,0.5560103056
19,-0.1805069448,-0.1377670664,-0.3588776102,0.2638888889,0.8661054863,0.6324084915
20,0.01727774283,0.01462919957,-0.7269319194,0.2916666667,0.8112735025,0.6681640254
21,0.03246396942,0.02483806545,-0.4369885532,0.3472222222,0.8387044636,0.5462008082
22,-0.03892038911,-0.03020561349,-0.1417291899,0.5138888889,0.8144631474,0.5816651695
23,-0.1618651697,-0.1250322956,-0.6963821053,0.4166666667,0.8392716067,0.5352588997
24,0.02455258192,0.01841805701,-0.4204584962,0.3333333333,0.8822940289,0.5649311079
25,-0.04874142188,-0.03652037589,-0.4363553092,0.2916666667,0.8690423404,0.6181709246
26,-0.05001451872,-0.03873054274,-0.4268780503,0.3194444444,0.8632977648,0.5471860044
27,0.1549540725,0.1196647475,-0.2275739415,0.3055555556,0.8621624541,0.5410355429
28,-0.3089987902,-0.2403819555,-0.6652719692,0.4444444444,0.8286582848,0.5884583479
29,-0.03691980836,-0.02841643081,-0.4067501587,0.3194444444,0.8116674289,0.7218501113
30,-0.09520945654,-0.07272501367,-0.4876789367,0.3888888889,0.8335051599,0.6091432844
31,-0.1417684267,-0.1121922787,-0.6070479508,0.4166666667,0.8166320053,0.5718779575
