panel,scenario_id,level,pc1,pc2
raw,politeness-apology-003,negative,-42.23771416,4.462926914
raw,politeness-apology-003,neutral,-20.91103365,-17.04284298
raw,politeness-apology-003,positive,12.80219607,-8.782047711
raw,politeness-apology-013,negative,-36.20752051,25.30355186
raw,politeness-apology-013,neutral,-2.333415996,-21.77718135
raw,politeness-apology-013,positive,10.17523688,-26.46924633
raw,politeness-apology-043,negative,-26.0968626,32.86448635
raw,politeness-apology-043,neutral,-31.81202305,-1.213504307
raw,politeness-apology-043,positive,-23.85952155,-6.841178348
raw,politeness-apology-057,negative,-15.77429009,38.46385703
raw,politeness-apology-057,neutral,-20.02328796,0.3475934796
raw,politeness-apology-057,positive,-6.05759257,-5.969147144
raw,politeness-apology-065,negative,-26.48231897,19.43011453
raw,politeness-apology-065,neutral,6.215627542,-11.89542693
raw,politeness-apology-065,positive,-0.8879309348,0.7722079491
raw,politeness-apology-067,negative,-18.95673439,13.46768683
raw,politeness-apology-067,neutral,1.301005812,-6.173706686
raw,politeness-apology-067,positive,6.310525919,-17.35576833
raw,politeness-apology-081,negative,-11.61820039,28.65571843
raw,politeness-apology-081,neutral,17.17671582,-10.18915971
raw,politeness-apology-081,positive,18.32756903,-7.189983646
raw,politeness-apology-098,negative,-35.41439346,18.88748782
raw,politeness-apology-098,neutral,-18.20291276,-1.84487084
raw,politeness-apology-098,positive,-26.06340921,-2.373200935
raw,politeness-bad-news-delivery-020,negative,-13.65037101,-5.335125782
raw,politeness-bad-news-delivery-020,neutral,9.76784301,-22.75947064
raw,politeness-bad-news-delivery-020,positive,7.574159786,-23.66348662
raw,politeness-bad-news-delivery-028,negative,-41.9264698,21.92390914
raw,politeness-bad-news-delivery-028,neutral,1.0695286,-21.67068529
raw,politeness-bad-news-delivery-028,positive,-2.409570786,-27.42265028
raw,politeness-bad-news-delivery-066,negative,-30.66547548,19.84323656
raw,politeness-bad-news-delivery-066,neutral,12.34214316,-40.65899783
raw,politeness-bad-news-delivery-066,positive,8.811728475,-18.18903576
raw,politeness-bad-news-delivery-073,negative,-48.07348031,13.97203673
raw,politeness-bad-news-delivery-073,neutral,-10.67000062,-8.195498474
raw,politeness-bad-news-delivery-073,positive,-7.10786562,2.593073097
raw,politeness-complaint-030,negative,-27.57322245,-9.210402675
raw,politeness-complaint-030,neutral,9.398058328,-21.10222582
raw,politeness-complaint-030,positive,28.91997126,1.902475603
raw,politeness-complaint-032,negative,-22.19338438,11.04255188
raw,politeness-complaint-032,neutral,25.4866455,-31.78781346
raw,politeness-complaint-032,positive,20.62928797,-24.42920903
raw,politeness-complaint-040,negative,-31.17531145,-3.089959495
raw,politeness-complaint-040,neutral,7.495940364,-51.44564097
raw,politeness-complaint-040,positive,3.512390185,-26.30124916
raw,politeness-complaint-049,negative,-37.07466265,9.719602251
raw,politeness-complaint-049,neutral,-11.21443994,-38.97988262
raw,politeness-complaint-049,positive,8.777455244,-8.985672171
raw,politeness-complaint-063,negative,-33.85865811,14.55534498
raw,politeness-complaint-063,neutral,-39.92171749,-6.802349204
raw,politeness-complaint-063,positive,-11.27024622,11.36457641
raw,politeness-complaint-072,negative,-34.57878688,8.032466181
raw,politeness-complaint-072,neutral,-3.993608724,-34.48197444
raw,politeness-complaint-072,positive,-42.18548806,-18.56191462
raw,politeness-complaint-089,negative,-13.12242343,6.122231479
raw,politeness-complaint-089,neutral,18.16864675,-45.94871305
raw,politeness-complaint-089,positive,1.807812773,-20.14595167
raw,politeness-correction-002,negative,4.329851317,22.16481928
raw,politeness-correction-002,neutral,31.10081643,7.255727909
raw,politeness-correction-002,positive,28.79706464,9.06392504
raw,politeness-correction-005,negative,5.847109416,27.04274298
raw,politeness-correction-005,neutral,31.44826703,16.4763898
