scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.4089310072,0.9664883666
politeness-apology-013,0.4683467899,0.8680125886
politeness-apology-043,0.5890780063,0.9104272698
politeness-apology-057,0.8464443442,0.5119958552
politeness-apology-065,1.65338773,0.8068942278
politeness-apology-067,0.5843157721,0.8328311836
politeness-apology-081,0.9961140003,0.8997520654
politeness-apology-098,0.8034947142,0.7982548
politeness-bad-news-delivery-020,1.163244602,0.6546190434
politeness-bad-news-delivery-028,1.972449732,0.9204508925
politeness-bad-news-delivery-066,1.087611247,0.9033210017
politeness-bad-news-delivery-073,0.7529738454,0.7131363201
politeness-complaint-030,0.6204999951,0.8461420676
politeness-complaint-032,1.930405777,0.8563316663
politeness-complaint-040,0.8251317792,0.7673512717
politeness-complaint-049,0.9190645802,0.5304869368
politeness-complaint-063,0.4003616685,0.8274947485
politeness-complaint-072,0.389935029,0.8372298446
politeness-complaint-089,0.7421902766,0.6187478206
politeness-correction-002,0.9358258158,0.7563223351
politeness-correction-005,0.7698884508,0.5999821957
politeness-correction-007,0.8307695659,0.7663696618
politeness-correction-024,0.6134314079,0.7601545857
politeness-correction-027,0.5482607727,0.7155354741
politeness-correction-045,1.131511229,0.6322842751
politeness-correction-051,0.6112649995,0.7987225524
politeness-correction-076,0.6236552545,0.854229011
politeness-correction-087,0.6336104717,0.781636513
politeness-criticism-or-feedback-023,0.9877053044,0.7343669346
politeness-criticism-or-feedback-036,0.6531650818,0.6963214653
politeness-criticism-or-feedback-041,0.4827313133,0.7860508743
politeness-criticism-or-feedback-050,0.455308658,0.8137579394
politeness-criticism-or-feedback-054,1.152609947,0.6398546051
politeness-criticism-or-feedback-071,0.7339750581,0.7608833999
politeness-criticism-or-feedback-099,0.8476626601,0.9390787002
politeness-criticism-or-feedback-100,0.9014742082,0.8425363361
politeness-disagreement-012,0.6608094098,0.8199271946
politeness-disagreement-035,0.8612098238,0.8556256911
politeness-disagreement-047,0.5882631299,0.6891219273
politeness-disagreement-048,0.9633491233,0.5743518638
politeness-disagreement-075,0.7691128738,0.7622510668
politeness-disagreement-086,0.4581437749,0.7822597965
politeness-inquiry-sensitive-008,0.4752319276,0.9378361941
politeness-inquiry-sensitive-009,0.7923678378,0.5447501875
politeness-inquiry-sensitive-016,0.6876409201,0.8769710792
politeness-inquiry-sensitive-092,0.5274916799,0.7360135931
politeness-refusal-038,0.838007909,0.7275841582
politeness-refusal-058,1.750530898,0.8587787655
politeness-refusal-064,0.9221626831,0.7084603713
politeness-refusal-069,0.5909492676,0.7252790821
politeness-refusal-077,0.8326831665,0.5215552958
politeness-refusal-080,0.6994028558,0.6305235899
politeness-refusal-083,0.7501851222,0.602720846
politeness-refusal-090,0.9171267252,0.6349918105
politeness-reminder-017,0.4556261832,0.8590053035
politeness-reminder-018,0.9819152585,0.6846451433
politeness-reminder-019,0.9221833383,0.7750263135
politeness-reminder-021,0.9330576987,0.6218562082
politeness-reminder-079,0.7271804724,0.5923095771
politeness-reminder-094,2.043528438,0.9470142737
politeness-request-001,0.771037597,0.6877456328
politeness-request-006,1.275408405,0.8978885444
politeness-request-025,0.4777880617,0.9349154079
politeness-request-029,0.5385196797,0.721175557
politeness-request-031,0.5505385718,0.7699290283
politeness-request-037,0.5980175892,0.6828755211
politeness-request-053,3.423415864,0.9500265798
politeness-request-056,1.623307866,0.9293186687
politeness-request-061,1.221264949,0.6841591907
politeness-request-074,1.032088642,0.7114780125
politeness-request-093,1.074410959,0.7422719652
politeness-request-097,2.490194325,0.9510771622
