layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.5084959269,0.2493326664,0.7070856094
2,-0.9005920887,-0.3764719963,0.7417340875
3,-0.9546200037,-0.5694069862,0.7883971334
4,-0.9234257936,-0.4387545586,0.7500217557
5,-0.909157753,-0.3682056665,0.7219509482
6,-0.8969421387,-0.3368000984,0.718406558
7,-0.8862860203,-0.2978571653,0.7061034441
8,-0.8675225973,-0.2210419178,0.6768532991
9,-0.8585722446,-0.1989353895,0.6732455492
10,-0.8343310356,-0.1276336908,0.6532437205
11,-0.833018899,-0.1361945868,0.661542058
12,-0.8070733547,-0.08077335358,0.6537121534
13,-0.8013343811,-0.1109433174,0.6834266782
14,-0.766898632,-0.03495764732,0.6681851149
15,-0.7351596355,-0.01266503334,0.6871504784
16,-0.6887700558,0.05127936602,0.6887063384
17,-0.6737751961,0.02778691053,0.7199288607
18,-0.6424570084,0.0788397193,0.7132852674
19,-0.6167340279,0.08380359411,0.7327181697
20,-0.6043457985,0.07317447662,0.7503635883
21,-0.508244276,0.1548705697,0.7721101046
22,-0.5288426876,0.1508835554,0.7592095733
23,-0.7052122355,-0.1164470911,0.786292851
