layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.5248796401,0.420563176,0.6933405541,0.5416666667,0.7071046306,0.562491779,0.8438983422,0.7894058268,0.691584282,0.9058027252
2,0.6239083871,0.5041285318,0.7145880275,0.6527777778,0.7018681106,0.5630964456,0.8456571394,0.7844638217,0.686225249,0.8938909444
3,0.7406695545,0.6034807936,0.7537309679,0.7222222222,0.7155737768,0.5887168677,0.8667191527,0.7497776837,0.6466014309,0.855787844
4,0.7311213282,0.5733804261,0.7704088176,0.5416666667,0.7559754913,0.6273209424,0.8932230472,0.6981580355,0.6158925458,0.782635746
5,0.6941105843,0.5305452879,0.764762921,0.4722222222,0.742245312,0.6448587805,0.8780094339,0.6841447303,0.6179717437,0.7569876495
6,0.720663747,0.5614876236,0.747091188,0.5555555556,0.7240865453,0.6452175251,0.8482551215,0.6889010029,0.6270894239,0.7511099662
7,0.7496721678,0.5948506183,0.826226662,0.5416666667,0.7214133884,0.6304094403,0.8423814992,0.6906965791,0.6226870968,0.7672303685
8,0.7452163289,0.5896935624,0.8083768031,0.5833333333,0.7511173603,0.6543618651,0.8599282407,0.6758639331,0.6036982472,0.7545947752
9,0.7426701352,0.5869571653,0.8019964345,0.5555555556,0.7555346619,0.6654141557,0.8418099982,0.6762738614,0.5995310506,0.7601322151
10,0.7949580412,0.6472631463,0.8185420364,0.6666666667,0.737620546,0.6666174147,0.8326269122,0.6707675864,0.6093327396,0.7363800231
11,0.788046944,0.6392644472,0.7722106802,0.6805555556,0.7499145817,0.6630600498,0.8198323302,0.671540685,0.6217734363,0.7266266666
12,0.7522183615,0.5977975074,0.793159829,0.5833333333,0.763598484,0.6733148363,0.8363270327,0.6667553597,0.602480835,0.7202837559
13,0.724755844,0.5661184494,0.7991711141,0.5694444444,0.7532366818,0.6768960564,0.8533164176,0.6694771005,0.6026170309,0.7339059852
14,0.7542189423,0.6001129203,0.8301799439,0.625,0.763133771,0.6605246966,0.8576029524,0.6683649798,0.6131472447,0.7246656657
15,0.7315760056,0.5741171484,0.8144351085,0.5694444444,0.7565201289,0.6345058372,0.8639720327,0.6723044794,0.6142383769,0.7311110472
16,0.7317578766,0.5744328865,0.779524102,0.5694444444,0.7515397302,0.6386626848,0.8561534433,0.6791165583,0.6127182827,0.7353045924
17,0.6979298748,0.5354918517,0.8102792392,0.4444444444,0.768324233,0.6513627787,0.876095812,0.6851379134,0.6220347311,0.7420044579
18,0.7061140688,0.5449639953,0.8128285609,0.5416666667,0.7750817057,0.6513899593,0.8889684708,0.6857539963,0.6333730465,0.7398201682
19,0.6814705514,0.5163370724,0.8196798011,0.4722222222,0.7904009153,0.6634265888,0.9086317564,0.6844731867,0.6238386452,0.7309108019
20,0.6864720033,0.5220203586,0.8323179639,0.4861111111,0.7994928378,0.6522353955,0.9074600903,0.6824838307,0.6263288199,0.7396530775
21,0.6860173258,0.5213888824,0.8296812026,0.4722222222,0.8051337706,0.6622887685,0.8977864486,0.6821816303,0.6253921975,0.7332610865
22,0.6784696803,0.512653461,0.8330533999,0.4722222222,0.8223353908,0.6532162303,0.9253136559,0.6793990274,0.6259655704,0.7245574709
23,0.6017201279,0.4287723671,0.825567738,0.3194444444,0.872928134,0.6656656141,0.981227295,0.710374347,0.6426101547,0.790785269
