panel,scenario_id,level,pc1,pc2
raw,politeness-apology-003,negative,0.5710889068,3.327010581
raw,politeness-apology-003,neutral,1.760102387,1.184850152
raw,politeness-apology-003,positive,1.354628843,1.462647261
raw,politeness-apology-013,negative,0.7490774882,2.944057975
raw,politeness-apology-013,neutral,2.157162291,0.3626622394
raw,politeness-apology-013,positive,2.859972318,-0.6248779302
raw,politeness-apology-043,negative,1.333947283,2.942418965
raw,politeness-apology-043,neutral,1.295543089,2.671519498
raw,politeness-apology-043,positive,-3.635900311,1.710631441
raw,politeness-apology-057,negative,-1.280277109,3.298909615
raw,politeness-apology-057,neutral,1.731605872,2.153136072
raw,politeness-apology-057,positive,1.525672315,1.744382494
raw,politeness-apology-065,negative,0.9018855989,2.681046756
raw,politeness-apology-065,neutral,1.767692333,0.4447476095
raw,politeness-apology-065,positive,-3.688135354,-1.240021072
raw,politeness-apology-067,negative,1.188975144,1.928780111
raw,politeness-apology-067,neutral,1.970770291,1.507893218
raw,politeness-apology-067,positive,2.491881551,0.9378534841
raw,politeness-apology-081,negative,0.7111669625,3.562333629
raw,politeness-apology-081,neutral,2.181937836,-0.698450831
raw,politeness-apology-081,positive,2.571637063,-1.009689374
raw,politeness-apology-098,negative,0.946971317,3.210533703
raw,politeness-apology-098,neutral,1.593864516,2.061312503
raw,politeness-apology-098,positive,1.351044566,1.650958135
raw,politeness-bad-news-delivery-020,negative,2.020637177,1.196953353
raw,politeness-bad-news-delivery-020,neutral,3.279178875,-0.5708642729
raw,politeness-bad-news-delivery-020,positive,3.076630971,-0.6772604934
raw,politeness-bad-news-delivery-028,negative,-3.190486156,2.515897003
raw,politeness-bad-news-delivery-028,neutral,3.045174899,-0.8947226409
raw,politeness-bad-news-delivery-028,positive,1.158208859,-0.1575970454
raw,politeness-bad-news-delivery-066,negative,1.139081813,2.704701707
raw,politeness-bad-news-delivery-066,neutral,1.967122145,-1.319060862
raw,politeness-bad-news-delivery-066,positive,1.938991708,-0.8762017682
raw,politeness-bad-news-delivery-073,negative,-3.596096631,2.368145318
raw,politeness-bad-news-delivery-073,neutral,2.620230382,0.07101335187
raw,politeness-bad-news-delivery-073,positive,1.624061163,1.656995151
raw,politeness-complaint-030,negative,-2.647611731,1.478689555
raw,politeness-complaint-030,neutral,2.060151754,0.8604687177
raw,politeness-complaint-030,positive,-4.643076412,-3.778190123
raw,politeness-complaint-032,negative,-2.123376423,1.639975952
raw,politeness-complaint-032,neutral,2.081906524,-0.6387716694
raw,politeness-complaint-032,positive,-1.77651336,-1.131876675
raw,politeness-complaint-040,negative,-3.008061272,1.126827676
raw,politeness-complaint-040,neutral,-0.7706189185,-2.413573186
raw,politeness-complaint-040,positive,-0.6243334394,-2.955213597
raw,politeness-complaint-049,negative,-5.17360888,-0.2184964903
raw,politeness-complaint-049,neutral,-1.251624835,-0.2675844538
raw,politeness-complaint-049,positive,-4.36584425,-1.985183161
raw,politeness-complaint-063,negative,0.5683986929,1.939122151
raw,politeness-complaint-063,neutral,-2.946738801,0.1230309557
raw,politeness-complaint-063,positive,-5.663888377,-0.428204757
