layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.8814988136,0.1562131643,0.3286875486
2,-0.8445293903,0.1972845793,0.3583717346
3,-0.7987389565,0.1761196852,0.4515991211
4,-0.6690615416,0.06968963146,0.6947734952
5,-0.6829340458,0.01479393244,0.7202968001
6,-0.6450381279,0.06242275238,0.7223950624
7,-0.5925853252,0.1173755527,0.7303846478
8,-0.5692667961,0.1186979413,0.7487697601
9,-0.5739769936,0.1149250269,0.7474814653
10,-0.4759714603,0.2032381892,0.7643701434
11,-0.5027164221,0.1918432713,0.7519519329
12,-0.5151076317,0.1213220954,0.7883001566
13,-0.528313756,0.07595270872,0.8064697385
14,-0.4840703011,0.1427505016,0.7969664335
15,-0.4593837261,0.1198415756,0.8267831206
16,-0.4241065979,0.1312230229,0.8421288133
17,-0.4784302711,0.02763229609,0.8645702004
18,-0.4637379646,0.05024021864,0.8615552187
19,-0.5214943886,-0.0257294178,0.866389811
20,-0.5290346146,-0.02038085461,0.85920614
21,-0.5308550596,-0.01789331436,0.8568256497
22,-0.5521664619,-0.03282940388,0.8514117599
23,-0.7348527908,-0.2359560728,0.8324689865
