scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.4276605196,0.9922033243
politeness-apology-013,0.1787850673,0.9615762274
politeness-apology-043,0.4637012406,0.968506559
politeness-apology-057,1.192545504,0.7673336335
politeness-apology-065,2.599002983,0.9341757666
politeness-apology-067,0.4575702454,0.9307683731
politeness-apology-081,0.9573127571,0.9748557933
politeness-apology-098,0.5711387273,0.9182310162
politeness-bad-news-delivery-020,1.60010927,0.788598476
politeness-bad-news-delivery-028,1.881394286,0.9813128713
politeness-bad-news-delivery-066,1.180524887,0.9479766511
politeness-bad-news-delivery-073,0.9606918559,0.565305587
politeness-complaint-030,0.6414188341,0.9542398702
politeness-complaint-032,2.490138022,0.9407639478
politeness-complaint-040,1.187645378,0.906304917
politeness-complaint-049,0.7159769309,0.6149243965
politeness-complaint-063,0.2142019739,0.942554854
politeness-complaint-072,0.2397371549,0.9387161846
politeness-complaint-089,0.504374187,0.8524991739
politeness-correction-002,0.4042777187,0.9375225525
politeness-correction-005,0.9681065562,0.8510580203
politeness-correction-007,1.30197833,0.876420238
politeness-correction-024,0.3176641896,0.92205167
politeness-correction-027,0.6507688368,0.6734653212
politeness-correction-045,0.8063978049,0.6773391669
politeness-correction-051,0.3828675226,0.9580741673
politeness-correction-076,0.7155038179,0.9490784067
politeness-correction-087,0.3711656876,0.872497677
politeness-criticism-or-feedback-023,1.566050507,0.927246919
politeness-criticism-or-feedback-036,0.8945498188,0.7088342932
politeness-criticism-or-feedback-041,0.7296090713,0.7865070908
politeness-criticism-or-feedback-050,0.6326920472,0.941321996
politeness-criticism-or-feedback-054,0.8758599014,0.9026302019
politeness-criticism-or-feedback-071,1.102028789,0.7936256961
politeness-criticism-or-feedback-099,0.8274246497,0.9850549065
politeness-criticism-or-feedback-100,2.50075035,0.8929280959
politeness-disagreement-012,0.8030845719,0.8899614859
politeness-disagreement-035,1.988030805,0.8722738488
politeness-disagreement-047,0.4890757211,0.8043009755
politeness-disagreement-048,1.335113704,0.7043494981
politeness-disagreement-075,0.5872121079,0.8514501374
politeness-disagreement-086,0.3242065415,0.911640651
politeness-inquiry-sensitive-008,0.1811067768,0.9706006937
politeness-inquiry-sensitive-009,0.7978947346,0.6783617867
politeness-inquiry-sensitive-016,0.376443122,0.969690625
politeness-inquiry-sensitive-092,0.5548282023,0.8182278982
politeness-refusal-038,0.9155560501,0.8460551655
politeness-refusal-058,3.224081881,0.9341609853
politeness-refusal-064,1.862598543,0.8503233287
politeness-refusal-069,0.3555780014,0.9546412941
politeness-refusal-077,1.487865718,0.7548221596
politeness-refusal-080,0.5586148357,0.8386668268
politeness-refusal-083,1.390541502,0.8774432451
politeness-refusal-090,1.365072868,0.7780356562
politeness-reminder-017,0.6112597126,0.9511990877
politeness-reminder-018,0.6968750356,0.9125646512
politeness-reminder-019,1.367399693,0.8698292266
politeness-reminder-021,0.6331491574,0.8193060543
politeness-reminder-079,1.341244591,0.7429203778
politeness-reminder-094,4.814601676,0.9896482198
politeness-request-001,0.6776745325,0.8467419415
politeness-request-006,2.036014928,0.9700262272
politeness-request-025,0.2704926503,0.9693674251
politeness-request-029,0.3840339382,0.853289022
politeness-request-031,0.4381119057,0.905232865
politeness-request-037,1.333732641,0.8236608871
politeness-request-053,2.071463246,0.8887989078
politeness-request-056,3.046553695,0.9531230715
politeness-request-061,1.774074282,0.8310362235
politeness-request-074,0.4814339057,0.9702400716
politeness-request-093,1.001913273,0.9463315685
politeness-request-097,2.847245045,0.977971799
