panel,scenario_id,level,pc1,pc2
raw,politeness-apology-003,negative,-52.63586063,-2.979755021
raw,politeness-apology-003,neutral,-196.8897692,-3.84208144
raw,politeness-apology-003,positive,-208.9329679,-5.831319284
raw,politeness-apology-013,negative,163.2717884,-7.917857533
raw,politeness-apology-013,neutral,126.6836475,-3.573406468
raw,politeness-apology-013,positive,95.8831046,-2.459490314
raw,politeness-apology-043,negative,18.05071882,-3.271955364
raw,politeness-apology-043,neutral,-47.11245326,-8.394030065
raw,politeness-apology-043,positive,-51.92413899,-9.200124514
raw,politeness-apology-057,negative,-130.9454133,-7.266918922
raw,politeness-apology-057,neutral,-105.608798,-6.10645673
raw,politeness-apology-057,positive,-123.5583767,-9.306113858
raw,politeness-apology-065,negative,121.7419985,-1.748831521
raw,politeness-apology-065,neutral,75.28696046,-3.800293579
raw,politeness-apology-065,positive,134.9513122,-6.356558562
raw,politeness-apology-067,negative,3.523874254,-0.4852183568
raw,politeness-apology-067,neutral,-52.62357411,1.557538246
raw,politeness-apology-067,positive,-57.83018863,-5.580591866
raw,politeness-apology-081,negative,24.33520353,-4.68057485
raw,politeness-apology-081,neutral,-59.13991229,-0.8793958643
raw,politeness-apology-081,positive,-31.50565141,-3.449533388
raw,politeness-apology-098,negative,71.93786642,-7.603341725
raw,politeness-apology-098,neutral,46.45662209,-6.658539347
raw,politeness-apology-098,positive,47.82148541,-7.853656571
raw,politeness-bad-news-delivery-020,negative,133.2100339,1.922395998
raw,politeness-bad-news-delivery-020,neutral,108.5868645,3.989811914
raw,politeness-bad-news-delivery-020,positive,130.890511,-0.1285693151
raw,politeness-bad-news-delivery-028,negative,-29.42808042,-4.10680564
raw,politeness-bad-news-delivery-028,neutral,-156.0905269,3.288166025
raw,politeness-bad-news-delivery-028,positive,-79.63242755,0.4504749911
raw,politeness-bad-news-delivery-066,negative,249.0342946,-4.329610007
raw,politeness-bad-news-delivery-066,neutral,197.5661517,2.065512588
raw,politeness-bad-news-delivery-066,positive,220.3207352,-4.699277103
raw,politeness-bad-news-delivery-073,negative,105.1299521,-3.045366845
raw,politeness-bad-news-delivery-073,neutral,114.6777387,1.535777688
raw,politeness-bad-news-delivery-073,positive,101.6461614,-6.734460165
raw,politeness-complaint-030,negative,-22.80719478,-1.813366402
raw,politeness-complaint-030,neutral,-130.9324021,7.349631552
raw,politeness-complaint-030,positive,-119.421065,-0.8569608034
raw,politeness-complaint-032,negative,-45.28919257,-0.7291715508
raw,politeness-complaint-032,neutral,-100.2740871,1.441727696
raw,politeness-complaint-032,positive,-57.74297661,-0.4094666222
raw,politeness-complaint-040,negative,147.0809897,-1.921184907
raw,politeness-complaint-040,neutral,122.5146764,0.05798691655
raw,politeness-complaint-040,positive,179.0847306,-2.603525615
raw,politeness-complaint-049,negative,132.0377507,-3.310263119
raw,politeness-complaint-049,neutral,131.0271166,-1.832508511
raw,politeness-complaint-049,positive,129.9071272,-4.017534875
raw,politeness-complaint-063,negative,141.0166411,-3.155871406
raw,politeness-complaint-063,neutral,169.2907533,-2.940342726
raw,politeness-complaint-063,positive,197.2585773,-5.305619568
raw,politeness-complaint-072,negative,29.17612282,-4.507104331
raw,politeness-complaint-072,neutral,55.33143005,-0.05495983299
raw,politeness-complaint-072,positive,93.60987,-7.443302888
raw,politeness-complaint-089,negative,206.3256195,-2.811780652
raw,politeness-complaint-089,neutral,208.7355985,0.6737843143
raw,politeness-complaint-089,positive,237.916811,-3.563324378
raw,politeness-correction-002,negative,164.1873983,1.927157195
raw,politeness-correction-002,neutral,136.1961282,5.929019986
raw,politeness-correction-002,positive,130.470852,2.56334887
raw,politeness-correction-005,negative,59.55104483,3.699571766
raw,politeness-correction-005,neutral,91.33372734,5.486728935
raw,politeness-correction-005,positive,78.7445881,4.031321498
raw,politeness-correction-007,negative,119.9141019,0.8521551893
raw,politeness-correction-007,neutral,132.6183696,5.867873742
raw,politeness-correction-007,positive,105.4614705,0.8289110353
raw,politeness-correction-024,negative,212.7171805,-0.5983763294
raw,politeness-correction-024,neutral,200.9432178,3.631595139
raw,politeness-correction-024,positive,171.9351794,-0.5552744374
raw,politeness-correction-027,negative,99.61698772,1.198886973
raw,politeness-correction-027,neutral,106.5330765,6.554713319
raw,politeness-correction-027,positive,107.7069158,5.9811636
raw,politeness-correction-045,negative,211.461319,2.83921923
raw,politeness-correction-045,neutral,225.661805,9.614379246
raw,politeness-correction-045,positive,224.5110333,3.323758081
raw,politeness-correction-051,negative,-277.7953176,5.194855939
raw,politeness-correction-051,neutral,-214.9287999,11.19623404
raw,politeness-correction-051,positive,-203.3097942,3.918909943
raw,politeness-correction-076,negative,-113.410346,5.521720344
raw,politeness-correction-076,neutral,-121.5649924,9.277115725
raw,politeness-correction-076,positive,-75.49396999,4.431064474
raw,politeness-correction-087,negative,120.2697658,-1.92884094
raw,politeness-correction-087,neutral,103.3190289,2.968223302
raw,politeness-correction-087,positive,94.07973033,1.988889233
raw,politeness-criticism-or-feedback-023,negative,22.00410539,9.277519223
raw,politeness-criticism-or-feedback-023,neutral,68.96153032,10.03940009
raw,politeness-criticism-or-feedback-023,positive,43.24671837,11.49521084
raw,politeness-criticism-or-feedback-036,negative,188.201127,0.04394876639
raw,politeness-criticism-or-feedback-036,neutral,174.2071576,9.115821874
raw,politeness-criticism-or-feedback-036,positive,184.5689841,7.64814199
raw,politeness-criticism-or-feedback-041,negative,214.766262,10.43816734
raw,politeness-criticism-or-feedback-041,neutral,210.5659449,11.83896977
raw,politeness-criticism-or-feedback-041,positive,235.8583131,9.464938685
raw,politeness-criticism-or-feedback-050,negative,-71.32241099,5.911260568
raw,politeness-criticism-or-feedback-050,neutral,-117.2688113,11.35484383
raw,politeness-criticism-or-feedback-050,positive,-112.7049468,7.032742474
raw,politeness-criticism-or-feedback-054,negative,-263.3788784,5.393478512
raw,politeness-criticism-or-feedback-054,neutral,-277.0735661,12.51870207
raw,politeness-criticism-or-feedback-054,positive,-223.3159609,10.43607266
raw,politeness-criticism-or-feedback-071,negative,170.3473365,-0.0511020167
raw,politeness-criticism-or-feedback-071,neutral,144.6928872,3.895796785
raw,politeness-criticism-or-feedback-071,positive,158.3210296,5.988049666
raw,politeness-criticism-or-feedback-099,negative,1.742006823,4.64043305
raw,politeness-criticism-or-feedback-099,neutral,92.94309203,13.36509756
raw,politeness-criticism-or-feedback-099,positive,69.85779318,12.21426773
raw,politeness-criticism-or-feedback-100,negative,-10.26572145,3.701251242
raw,politeness-criticism-or-feedback-100,neutral,-53.0430109,10.61972663
raw,politeness-criticism-or-feedback-100,positive,-9.332244786,6.019077037
raw,politeness-disagreement-012,negative,-7.584916774,0.2722106026
raw,politeness-disagreement-012,neutral,23.05605887,-3.753416978
raw,politeness-disagreement-012,positive,13.49066186,-2.399262802
raw,politeness-disagreement-035,negative,-213.8884212,2.018473604
raw,politeness-disagreement-035,neutral,-256.4090632,-0.5856115595
raw,politeness-disagreement-035,positive,-220.8676214,3.458619758
raw,politeness-disagreement-047,negative,112.3946496,4.919843163
raw,politeness-disagreement-047,neutral,102.0781303,5.377121702
raw,politeness-disagreement-047,positive,99.57589348,3.459595567
raw,politeness-disagreement-048,negative,203.9449383,-0.8727937877
raw,politeness-disagreement-048,neutral,188.3639761,-0.03627467565
raw,politeness-disagreement-048,positive,205.5851034,-0.8024803359
raw,politeness-disagreement-075,negative,-62.48567703,0.0417128915
raw,politeness-disagreement-075,neutral,-95.64358959,0.449928312
raw,politeness-disagreement-075,positive,-94.40523038,-2.12026364
