layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.2091887448,0.457371561,0.06861899031,0.3104257538
2,0.319498176,0.565241697,0.1960593562,0.4609436388
3,0.2757781835,0.5251458688,0.1572111371,0.4137277309
4,0.2628520365,0.5126909756,0.136686967,0.412630161
5,0.2579497997,0.5078875857,0.1327330502,0.4002189115
6,0.2496456218,0.4996454961,0.118450382,0.3930120849
7,0.2106025386,0.4589145221,0.07439432372,0.3335137177
8,0.185268227,0.430427958,0.05136147997,0.3032578
9,0.1797417626,0.4239596238,0.04530313008,0.2938017504
10,0.1735708675,0.4166183715,0.0331028381,0.2960773822
11,0.1662204586,0.4077014331,0.02869147256,0.283124135
12,0.1713102292,0.4138963991,0.03458230066,0.2881485609
13,0.1632806734,0.4040800334,0.02351597728,0.2856387986
14,0.1667695862,0.4083743212,0.02721795393,0.2825776608
15,0.1637177327,0.4046204798,0.02173281099,0.2791085505
16,0.1661342337,0.4075956743,0.01853952238,0.2836856177
17,0.1582034221,0.3977479379,0.02001300333,0.2670246558
18,0.1558661857,0.394798918,0.01605503582,0.2610518577
19,0.1614196411,0.4017706324,0.0232000061,0.2585087008
20,0.1555012036,0.3943364092,0.02029442653,0.2468425929
21,0.1685393679,0.4105354649,0.04826291797,0.2494767462
22,0.1670425702,0.4087084171,0.05279277697,0.2462005856
23,0.1676960735,0.4095071105,0.06733876999,0.2443400562
24,0.1797021213,0.4239128699,0.1034721478,0.2519366308
25,0.1755610706,0.4190000842,0.08902281062,0.252320552
26,0.2334154304,0.4831308626,0.1557196868,0.303708822
27,0.2609144061,0.5107978133,0.158514082,0.3606806135
