layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.6731044865,0.5369652963,0.7520196546,0.5694444444,0.7386353041,0.5955028692,0.9046127619,0.7418914536,0.6234837112,0.8457915521
2,0.7117520691,0.5526469563,0.7399597518,0.4722222222,0.7759827872,0.6433850881,0.8824006555,0.7114785675,0.6452107135,0.794109999
3,0.7316669411,0.5751696088,0.7418006038,0.5138888889,0.7939881113,0.6766095095,0.8900189524,0.6861981232,0.6201227431,0.7535057614
4,0.7178447468,0.5584354885,0.7390700732,0.5,0.7671883928,0.676939605,0.87093092,0.6917773234,0.603445444,0.7630728924
5,0.7670408462,0.6152683501,0.773929782,0.6111111111,0.7639328414,0.6809697614,0.8683263991,0.6779899239,0.6031189448,0.7513372076
6,0.7199362631,0.5607509013,0.7498329109,0.5,0.7670530149,0.6736841413,0.8651209477,0.6942180025,0.6228056301,0.7670600847
7,0.7751341046,0.6245300016,0.8108840759,0.6527777778,0.7405845279,0.670359767,0.8525550487,0.6918374016,0.6139343705,0.7627884751
8,0.7625850072,0.609795556,0.7937340747,0.6666666667,0.7476210225,0.6716012456,0.8444021814,0.6897970999,0.6222349484,0.7603154824
9,0.775952524,0.6252667239,0.8027964009,0.6388888889,0.7402746458,0.6773194789,0.8191686401,0.6801415307,0.6109394383,0.7509944481
10,0.7630396847,0.6103217862,0.8265984096,0.625,0.7350244259,0.6785230341,0.7923728431,0.6739941972,0.5997019399,0.7457295304
11,0.7946852347,0.6469474081,0.8147153628,0.6666666667,0.7185525791,0.6590953024,0.7724151774,0.6789887045,0.6083781349,0.749672382
12,0.7990501381,0.6519992181,0.8239753418,0.75,0.7173063605,0.6580878316,0.7961987613,0.6765412727,0.6062399377,0.7399427401
13,0.7927755894,0.6447372413,0.8266596008,0.75,0.7467940305,0.6692453349,0.8140295999,0.6651827767,0.6019700819,0.7211794093
14,0.77240604,0.6211621283,0.8316152618,0.6388888889,0.7491229548,0.6786920436,0.8184521981,0.6656229212,0.5948407719,0.72483225
15,0.7998685575,0.6529464324,0.8312210752,0.6944444444,0.721593559,0.6657646448,0.8267587346,0.669674992,0.6072563706,0.7417326096
16,0.8113264291,0.6662074335,0.85221194,0.7361111111,0.722817463,0.6596446701,0.7993371146,0.6744620395,0.6061507202,0.7600283811
17,0.7942305572,0.6464211779,0.866589622,0.6527777778,0.7265308356,0.6439325435,0.817018956,0.6745995846,0.6115913906,0.750302391
18,0.7824089437,0.6327391927,0.8733227131,0.6388888889,0.7375538075,0.650460715,0.8166482416,0.675186356,0.6103567846,0.7499637866
19,0.7810449114,0.6311605021,0.8556167528,0.6805555556,0.739777021,0.6436311006,0.817199272,0.6787618085,0.6189519835,0.7467560697
20,0.7860463633,0.6369490343,0.8619550655,0.7083333333,0.7529241415,0.6393018989,0.8353321703,0.6728711498,0.604568586,0.7391161266
21,0.7773165564,0.6268454145,0.8583118292,0.6805555556,0.7547563271,0.6353699094,0.8293595046,0.6801210837,0.6057668361,0.7464217204
22,0.7740428788,0.623056557,0.8545024362,0.625,0.7536795972,0.6394031348,0.8555837325,0.6796551245,0.5966330574,0.741891913
23,0.7721332335,0.6208463902,0.8393359676,0.625,0.7526609887,0.6398099589,0.8674694782,0.6799394161,0.6100260455,0.7376238969
24,0.7680411365,0.6161103184,0.8364167251,0.625,0.7428234752,0.6521143173,0.8827672274,0.6800335866,0.6042890644,0.7439497379
25,0.7669499107,0.6148473659,0.8471238132,0.6111111111,0.7426480501,0.6425087699,0.9078804339,0.68192858,0.606206058,0.741073015
26,0.7600388135,0.6068486669,0.8601878792,0.6111111111,0.7509534189,0.6464259306,0.9110400889,0.6789319844,0.6019109999,0.7357941659
27,0.7663133622,0.6148473659,0.8506911723,0.6944444444,0.8284582423,0.6466543788,0.9586256625,0.7040930324,0.6261746317,0.7819490004
