layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.825909853,0.09223866463,0.4852176905
2,-0.692302227,0.04259961843,0.6914608479
3,-0.671505928,0.07933986187,0.6853860617
4,-0.7069282532,0.04614919424,0.6739076972
5,-0.6767618656,0.1342446804,0.6386864185
6,-0.7111566067,0.04966396093,0.6668471694
7,-0.6176456213,0.1363767385,0.694876194
8,-0.596963048,0.1129488945,0.7297084928
9,-0.5595149994,0.1459012032,0.7383172512
10,-0.5017111301,0.116750896,0.8005441427
11,-0.4445565939,0.183480978,0.7989761829
12,-0.4509179592,0.1827749014,0.7951134443
13,-0.4631378651,0.1753971577,0.7913137078
14,-0.4919419289,0.1425965428,0.7915816903
15,-0.4266130924,0.188552618,0.8077724576
16,-0.4256240129,0.2058366537,0.7979137897
17,-0.4171609879,0.1812382936,0.8181761503
18,-0.4266835451,0.1633043289,0.8225808144
19,-0.3880262375,0.1741851568,0.8399706483
20,-0.3819388151,0.1929507852,0.8331252933
21,-0.3536674976,0.1906445622,0.8507909775
22,-0.3692215681,0.1875157356,0.843621552
23,-0.3832952976,0.1833857298,0.8376712203
24,-0.3935456276,0.1637769341,0.8424383998
25,-0.384260416,0.1700441837,0.844438076
26,-0.4121030569,0.1505131721,0.8387305737
27,-0.5462679863,0.1696427464,0.7327993512
