layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.1108215311,0.33289868,0.01456519279,0.1472385332
2,0.1762584399,0.4198314423,0.07161985863,0.2723339272
3,0.1474077326,0.3839371467,0.04548827181,0.2253185426
4,0.1649289744,0.4061144843,0.05165729824,0.2632527924
5,0.1599788913,0.3999736133,0.05260725538,0.2614148037
6,0.1613623236,0.401699295,0.0395119756,0.2559863138
7,0.1424959864,0.3774864056,0.02689376747,0.245005357
8,0.1296362038,0.3600502795,0.01269661624,0.2203048083
9,0.1307155243,0.3615460196,0.01254176921,0.2289349839
10,0.1292594193,0.3595266601,0.01517175777,0.2209271456
11,0.1302952449,0.3609643264,0.01526300046,0.2138706134
12,0.133109261,0.364841419,0.01608381158,0.2187507892
13,0.1278323879,0.3575365546,0.01373135071,0.2123351327
14,0.1331133744,0.3648470562,0.01433459023,0.2171313769
15,0.1327855319,0.3643974916,0.01307503648,0.2157334358
16,0.1366623096,0.3696786572,0.01406861203,0.2171255696
17,0.1407650362,0.3751866684,0.03211495249,0.2227022741
18,0.1426997211,0.3777561661,0.03871509593,0.2262194431
19,0.154871934,0.3935377161,0.04831145896,0.2433672514
20,0.1509777515,0.388558556,0.05143248126,0.2331420491
21,0.1728981573,0.4158102419,0.07534399243,0.2355153513
22,0.1723720597,0.4151771426,0.07853943133,0.2444777917
23,0.1758805035,0.4193810958,0.0956586064,0.2512379803
24,0.1895154877,0.4353337659,0.1018871616,0.2650100991
25,0.1856031767,0.4308168714,0.09897290091,0.2702085196
26,0.241087754,0.4910068778,0.1655478155,0.3167945331
27,0.2659264374,0.5156805575,0.1578169116,0.3647501145
