scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.4432519241,0.9917548957
politeness-apology-013,0.1906027658,0.9547969071
politeness-apology-043,0.4725627528,0.9667162577
politeness-apology-057,1.120535051,0.7877486878
politeness-apology-065,2.47952986,0.9291056229
politeness-apology-067,0.4661883372,0.9276620287
politeness-apology-081,0.9732820384,0.9695246375
politeness-apology-098,0.6059636831,0.9015104317
politeness-bad-news-delivery-020,1.448074319,0.7651798933
politeness-bad-news-delivery-028,1.95884665,0.9792776073
politeness-bad-news-delivery-066,1.241715144,0.9398412125
politeness-bad-news-delivery-073,0.93054561,0.5854603561
politeness-complaint-030,0.6357041802,0.9444253887
politeness-complaint-032,2.12060671,0.9353195394
politeness-complaint-040,1.06841981,0.8989733523
politeness-complaint-049,0.7367375952,0.6078936303
politeness-complaint-063,0.2149625595,0.9421852475
politeness-complaint-072,0.2412948349,0.9370234339
politeness-complaint-089,0.4483597704,0.8587869151
politeness-correction-002,0.4524449394,0.944265737
politeness-correction-005,0.9347371447,0.8857486903
politeness-correction-007,1.520719141,0.882455151
politeness-correction-024,0.3211507986,0.9108051965
politeness-correction-027,0.5317818351,0.7281657509
politeness-correction-045,0.8719611485,0.7340574267
politeness-correction-051,0.4054186233,0.960891082
politeness-correction-076,0.6377785008,0.9497032156
politeness-correction-087,0.4694068988,0.8444560093
politeness-criticism-or-feedback-023,1.440360478,0.9272298888
politeness-criticism-or-feedback-036,0.825052148,0.6466664062
politeness-criticism-or-feedback-041,0.6320182035,0.7861592413
politeness-criticism-or-feedback-050,0.5874701108,0.9200090271
politeness-criticism-or-feedback-054,0.7027871921,0.874396051
politeness-criticism-or-feedback-071,0.9721284732,0.7890543463
politeness-criticism-or-feedback-099,0.8197008833,0.9847365513
politeness-criticism-or-feedback-100,2.390362284,0.8864923605
politeness-disagreement-012,0.7102869407,0.9311166188
politeness-disagreement-035,1.698945917,0.8103021108
politeness-disagreement-047,0.4775297332,0.7995167803
politeness-disagreement-048,1.11725106,0.6342467785
politeness-disagreement-075,0.7867780695,0.8689173089
politeness-disagreement-086,0.3364066047,0.8786016638
politeness-inquiry-sensitive-008,0.2006405664,0.9655574701
politeness-inquiry-sensitive-009,0.7746180978,0.6627433356
politeness-inquiry-sensitive-016,0.562841563,0.958414342
politeness-inquiry-sensitive-092,0.5837958056,0.7959083524
politeness-refusal-038,0.6782223269,0.8582724159
politeness-refusal-058,3.004132453,0.9259226601
politeness-refusal-064,1.626191318,0.7818279333
politeness-refusal-069,0.3768103045,0.9535008521
politeness-refusal-077,1.473269377,0.7715584769
politeness-refusal-080,0.5598897165,0.7972968909
politeness-refusal-083,1.59243194,0.8692533785
politeness-refusal-090,1.302548179,0.7541045012
politeness-reminder-017,0.5568138276,0.9445514376
politeness-reminder-018,0.7857529488,0.8789520471
politeness-reminder-019,1.156902675,0.8353375885
politeness-reminder-021,0.7856914346,0.7052826787
politeness-reminder-079,1.149866818,0.6605788567
politeness-reminder-094,4.160536792,0.9867045908
politeness-request-001,0.6586797163,0.8459768066
politeness-request-006,2.166147218,0.9660977368
politeness-request-025,0.2413109786,0.9662923015
politeness-request-029,0.4335571454,0.8498871607
politeness-request-031,0.4384361932,0.913448276
politeness-request-037,1.2769112,0.8274701951
politeness-request-053,2.642701999,0.9045486345
politeness-request-056,3.472161903,0.9516748785
politeness-request-061,1.66745248,0.7983486759
politeness-request-074,0.4323480467,0.9702049815
politeness-request-093,0.9859908411,0.9365306838
politeness-request-097,3.362327367,0.9746644981
