perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,-0.0684744229,-0.05367548042,-0.2455586135,0.2222222222,0.7806980837,0.8134555126
1,-0.08056884288,-0.0612531953,-0.4898669311,0.2222222222,0.7303445699,0.9330353515
2,-0.131038039,-0.09966799992,-0.6551833198,0.1666666667,1.110802575,0.6169269972
3,0.1243088129,0.09524766624,-0.1996000555,0.1666666667,0.7340872448,0.9493572894
4,0.1217626192,0.09461619,-0.728778703,0.2222222222,0.8200725546,0.9600870002
5,-0.119671103,-0.09103782464,-0.6292112403,0.2222222222,0.9412724173,0.96641053
6,0.04001161497,0.03031085953,-0.9180241851,0.25,0.8396302802,0.9537398145
7,0.05437942217,0.0423089081,-0.820872832,0.1805555556,0.7946585567,0.9030423097
8,-0.2526187873,-0.1965996028,-0.7089773547,0.2361111111,0.7133445951,0.9733945658
9,-0.1620470406,-0.1262952481,-0.599769053,0.2777777778,0.7406997163,0.9382051567
10,0.1277643615,0.0961948806,-0.412182872,0.1944444444,0.7674000551,0.9699237206
11,-0.1967843973,-0.1507123293,-0.6741092277,0.2361111111,0.7844999376,0.9154887203
12,-0.1254909742,-0.0956686504,-0.5141991691,0.1388888889,0.983811068,0.9393184861
13,0.1622289116,0.1217696683,-0.4938362757,0.1666666667,0.9591395478,0.951971984
14,0.08711619806,0.06714697355,-0.4252968326,0.1805555556,0.7928263323,0.8515090063
15,0.08347877851,0.06472631463,-0.4912835106,0.2361111111,0.8092877392,0.7347137338
16,-0.1401315879,-0.1075614529,-0.5597890829,0.1944444444,0.8445814082,0.8981993317
17,0.1246725548,0.09630012664,-0.567132799,0.1805555556,0.8059151088,0.9675851604
18,0.1294012002,0.1016676747,-0.4319363642,0.2083333333,0.7072232873,0.9406387988
19,-0.1643204279,-0.1273477085,-1.051007233,0.2638888889,0.7133445951,0.7576215007
20,0.05610719645,0.04346661454,-0.6801273642,0.2222222222,0.7140288228,0.959289855
21,0.1488613948,0.1158758901,-0.2262663363,0.2222222222,0.7283536739,0.9701167738
22,-0.1966025263,-0.1528172501,-0.4483445326,0.2361111111,0.7009414157,0.8317279038
23,0.01700493636,0.01252427876,-0.506680408,0.2083333333,0.7129324316,0.9484587503
24,-0.1085769734,-0.08240764935,-0.5602777406,0.2222222222,0.7519351717,0.9730313582
25,0.1021205537,0.07998699043,-0.4659841231,0.2083333333,0.7369570414,0.9614665027
26,0.1249453613,0.09661586476,-0.1362927448,0.1944444444,0.7310040244,0.9509297753
27,0.1250362968,0.09587914248,-0.7114489037,0.1666666667,0.9453516054,0.9643732155
28,0.05292445435,0.04051972542,-0.4330441485,0.1666666667,0.7924121478,0.913407423
29,-0.006183613223,-0.003788857442,-0.3793108747,0.1666666667,0.9790596571,0.9685678746
30,-0.14331433,-0.1089296514,-0.4527636536,0.1527777778,0.9317265179,0.8845343299
31,0.05738029329,0.04462432098,-0.6623132995,0.1805555556,0.9397492264,0.9429775697
32,0.002091516237,0.001894428721,-0.5197769295,0.25,0.7340872448,0.9190230959
33,-0.08002322995,-0.06220040966,-0.7542624816,0.2083333333,0.7329949204,0.727299547
34,-0.2408881092,-0.1881799196,-0.5753778903,0.1666666667,0.7717682162,0.9469112771
35,-0.1018477472,-0.07914502211,-0.7244296348,0.1944444444,0.9012533793,0.8657187954
36,-0.1654116537,-0.128715907,-0.9173049727,0.25,0.7484264149,0.6863222568
37,0.01636838794,0.01220854064,-0.4572227546,0.1944444444,0.7464355189,0.841094934
38,0.09821032766,0.07672436319,-0.4609832306,0.25,0.7711093411,0.823312335
39,-0.00063654842,-0.0005262302002,-0.4782695974,0.2083333333,0.7303445699,0.8838737508
