layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.8243374825,0.0825060606,0.4961556196
2,-0.6946139336,0.06051635742,0.6760285497
3,-0.6702902317,0.09420067072,0.6756573915
4,-0.6970635653,0.06703013182,0.668672502
5,-0.6449463367,0.1533898115,0.6562556624
6,-0.6911270618,0.06417012215,0.6768940091
7,-0.6132882833,0.134485364,0.7002053857
8,-0.6043865681,0.116774559,0.7206637263
9,-0.5731368065,0.1394948959,0.7314981222
10,-0.5167012215,0.1060526371,0.7965399623
11,-0.4654275179,0.1529006958,0.8035145998
12,-0.4733066559,0.1536698341,0.7977016568
13,-0.4881967306,0.148494482,0.7905632854
14,-0.5204794407,0.1064361334,0.7936258912
15,-0.452786684,0.1651337743,0.8046075702
16,-0.4532728195,0.1741101146,0.798837781
17,-0.4441916943,0.1376001239,0.8262885809
18,-0.4544575214,0.1114798784,0.8345532417
19,-0.4302154779,0.1332996488,0.8373225331
20,-0.4169876575,0.1562619805,0.8325874209
21,-0.387766242,0.1554270983,0.8502865434
22,-0.4106458426,0.1302933693,0.8505176902
23,-0.4154188633,0.130209744,0.8477945328
24,-0.4283263683,0.1143826842,0.848700285
25,-0.4157476425,0.1243142486,0.8507418036
26,-0.4520033598,0.09667319059,0.8441415429
27,-0.6307883263,0.1483973265,0.6737561226
