panel,scenario_id,level,pc1,pc2
raw,politeness-apology-003,negative,-0.07651477747,-7.308439794
raw,politeness-apology-003,neutral,4.051540797,-9.154191799
raw,politeness-apology-003,positive,5.086042416,-4.82246305
raw,politeness-apology-013,negative,0.1548380324,-2.623765522
raw,politeness-apology-013,neutral,7.047978366,-6.129097904
raw,politeness-apology-013,positive,6.912655165,-5.641461585
raw,politeness-apology-043,negative,0.1906750298,2.044344115
raw,politeness-apology-043,neutral,1.712636843,-11.43781464
raw,politeness-apology-043,positive,-13.19178934,-3.442173257
raw,politeness-apology-057,negative,-5.67682233,-0.2190687429
raw,politeness-apology-057,neutral,5.802289539,-4.133666912
raw,politeness-apology-057,positive,3.402131042,-9.029150149
raw,politeness-apology-065,negative,0.3851256208,-0.9064222992
raw,politeness-apology-065,neutral,5.379322266,-5.291973579
raw,politeness-apology-065,positive,-8.104856411,2.732623519
raw,politeness-apology-067,negative,2.040875168,-5.251847371
raw,politeness-apology-067,neutral,6.07994291,-7.700203572
raw,politeness-apology-067,positive,7.404343539,-4.504859256
raw,politeness-apology-081,negative,1.081897824,0.4918472242
raw,politeness-apology-081,neutral,7.336380453,-4.790829674
raw,politeness-apology-081,positive,5.78735102,-3.063314156
raw,politeness-apology-098,negative,2.088116909,-2.135528564
raw,politeness-apology-098,neutral,3.84954053,-7.762475129
raw,politeness-apology-098,positive,3.746332511,-7.545445073
raw,politeness-bad-news-delivery-020,negative,4.076840333,-1.506727663
raw,politeness-bad-news-delivery-020,neutral,8.938442647,-0.01658631213
raw,politeness-bad-news-delivery-020,positive,6.806106642,-1.396960159
raw,politeness-bad-news-delivery-028,negative,-11.75450068,0.4503153879
raw,politeness-bad-news-delivery-028,neutral,9.883563596,-4.385207681
raw,politeness-bad-news-delivery-028,positive,1.111551445,-0.9914600479
raw,politeness-bad-news-delivery-066,negative,0.7455958755,3.435574716
raw,politeness-bad-news-delivery-066,neutral,6.706110815,-1.610251765
raw,politeness-bad-news-delivery-066,positive,5.901679776,-1.032089339
raw,politeness-bad-news-delivery-073,negative,-12.97134998,-2.293630191
raw,politeness-bad-news-delivery-073,neutral,7.685886381,-3.965232757
raw,politeness-bad-news-delivery-073,positive,4.336866144,-6.035879667
raw,politeness-complaint-030,negative,-11.94594506,0.7220652882
raw,politeness-complaint-030,neutral,5.276462907,-6.787848567
raw,politeness-complaint-030,positive,-11.83996745,5.054702465
raw,politeness-complaint-032,negative,-10.3695026,1.755715235
raw,politeness-complaint-032,neutral,6.280983939,-7.889996059
raw,politeness-complaint-032,positive,-2.84935949,-0.7889213471
raw,politeness-complaint-040,negative,-11.51018567,2.642000284
raw,politeness-complaint-040,neutral,-0.05341434181,-4.634225714
raw,politeness-complaint-040,positive,-0.9617515181,-1.972900191
raw,politeness-complaint-049,negative,-14.78144866,5.690370167
raw,politeness-complaint-049,neutral,-3.717611479,-8.150521239
raw,politeness-complaint-049,positive,-12.49391672,1.625578471
raw,politeness-complaint-063,negative,0.3227750447,-1.894306479
raw,politeness-complaint-063,neutral,-8.168207308,-0.3712123596
raw,politeness-complaint-063,positive,-14.65726004,9.225144628
raw,politeness-complaint-072,negative,-13.34247407,-1.786998364
raw,politeness-complaint-072,neutral,2.931320983,-5.678192683
raw,politeness-complaint-072,positive,-14.76839062,-3.395817442
raw,politeness-complaint-089,negative,-2.967497167,2.346317854
raw,politeness-complaint-089,neutral,0.02993560133,-1.086582077
raw,politeness-complaint-089,positive,-12.68095881,2.650436018
raw,politeness-correction-002,negative,-0.4749806912,5.847491217
raw,politeness-correction-002,neutral,7.207378703,6.936139735
raw,politeness-correction-002,positive,1.434921751,7.749164565
raw,politeness-correction-005,negative,2.428613955,-0.1997865422
raw,politeness-correction-005,neutral,4.163178034,5.27528068
raw,politeness-correction-005,positive,-9.998280311,11.05618459
raw,politeness-correction-007,negative,2.893442157,5.177523503
raw,politeness-correction-007,neutral,7.709334711,6.601743358
raw,politeness-correction-007,positive,6.075713971,5.307746265
raw,politeness-correction-024,negative,2.306557388,0.4853588981
raw,politeness-correction-024,neutral,2.207226946,-2.519907907
raw,politeness-correction-024,positive,2.49668774,-2.988867671
raw,politeness-correction-027,negative,-12.62195078,10.58412792
raw,politeness-correction-027,neutral,7.519438751,5.000943342
raw,politeness-correction-027,positive,5.95745838,6.595028007
raw,politeness-correction-045,negative,-3.62569222,5.500903379
raw,politeness-correction-045,neutral,7.77548972,5.389046055
raw,politeness-correction-045,positive,6.641339816,6.324443373
raw,politeness-correction-051,negative,0.3905448786,9.129345198
raw,politeness-correction-051,neutral,8.374037507,7.346644735
raw,politeness-correction-051,positive,7.002091209,6.709418911
raw,politeness-correction-076,negative,2.122213476,10.30945372
raw,politeness-correction-076,neutral,7.481660465,8.616539232
raw,politeness-correction-076,positive,-11.21547002,16.25167322
raw,politeness-correction-087,negative,-8.263257678,8.566992978
raw,politeness-correction-087,neutral,5.407995769,8.228839432
raw,politeness-correction-087,positive,-12.19874801,6.421074623
raw,politeness-criticism-or-feedback-023,negative,7.815410343,8.533253023
raw,politeness-criticism-or-feedback-023,neutral,8.652876843,6.938909522
raw,politeness-criticism-or-feedback-023,positive,3.576400933,10.03407557
raw,politeness-criticism-or-feedback-036,negative,-13.54419356,8.644418998
raw,politeness-criticism-or-feedback-036,neutral,8.739977392,7.863537048
raw,politeness-criticism-or-feedback-036,positive,8.063546794,6.7433606
raw,politeness-criticism-or-feedback-041,negative,9.762408269,11.89903056
raw,politeness-criticism-or-feedback-041,neutral,7.104096673,7.920937616
raw,politeness-criticism-or-feedback-041,positive,7.395175375,4.249868069
raw,politeness-criticism-or-feedback-050,negative,-6.860381571,7.268690456
raw,politeness-criticism-or-feedback-050,neutral,8.887948011,6.156945211
raw,politeness-criticism-or-feedback-050,positive,7.036549098,6.598787222
raw,politeness-criticism-or-feedback-054,negative,-2.517928868,5.917053939
raw,politeness-criticism-or-feedback-054,neutral,4.498544432,0.6729075164
raw,politeness-criticism-or-feedback-054,positive,9.359281845,8.470332691
raw,politeness-criticism-or-feedback-071,negative,4.885300242,7.590183657
raw,politeness-criticism-or-feedback-071,neutral,10.51573137,2.983745588
raw,politeness-criticism-or-feedback-071,positive,-1.073771604,4.801563397
raw,politeness-criticism-or-feedback-099,negative,0.09715169337,7.791065394
raw,politeness-criticism-or-feedback-099,neutral,10.25683298,4.041099502
raw,politeness-criticism-or-feedback-099,positive,8.934515311,5.012092027
raw,politeness-criticism-or-feedback-100,negative,5.861868767,1.130726166
raw,politeness-criticism-or-feedback-100,neutral,8.639322859,5.350461345
raw,politeness-criticism-or-feedback-100,positive,7.279811276,3.806750886
raw,politeness-disagreement-012,negative,3.716901863,-0.07297125569
raw,politeness-disagreement-012,neutral,4.520055368,4.921405038
raw,politeness-disagreement-012,positive,-7.820942786,3.162233712
raw,politeness-disagreement-035,negative,-6.816056487,4.983136939
raw,politeness-disagreement-035,neutral,4.470835274,-1.542757995
raw,politeness-disagreement-035,positive,-4.220263738,-3.308433617
raw,politeness-disagreement-047,negative,7.119081423,5.684102605
raw,politeness-disagreement-047,neutral,8.170713323,8.061368995
raw,politeness-disagreement-047,positive,-4.091292714,7.40987005
raw,politeness-disagreement-048,negative,-5.811318662,7.166629671
raw,politeness-disagreement-048,neutral,6.561264341,2.905524958
raw,politeness-disagreement-048,positive,0.4968009854,6.848756395
raw,politeness-disagreement-075,negative,6.081454348,7.797908246
raw,politeness-disagreement-075,neutral,6.407160541,4.607164938
raw,politeness-disagreement-075,positive,6.205651427,5.844751913
raw,politeness-disagreement-086,negative,5.732925962,5.175119624
raw,politeness-disagreement-086,neutral,3.437291976,1.811575841
raw,politeness-disagreement-086,positive,6.097234213,5.104775168
raw,politeness-inquiry-sensitive-008,negative,-4.316934428,3.38363032
raw,politeness-inquiry-sensitive-008,neutral,3.06326932,2.491793661
raw,politeness-inquiry-sensitive-008,positive,-0.6717938457,0.181180063
raw,politeness-inquiry-sensitive-009,negative,-2.215392147,1.339979392
raw,politeness-inquiry-sensitive-009,neutral,-0.250283168,-0.6472374722
raw,politeness-inquiry-sensitive-009,positive,-11.12297859,4.566592205
raw,politeness-inquiry-sensitive-016,negative,2.158268242,-1.309682576
raw,politeness-inquiry-sensitive-016,neutral,4.758243506,0.7424877085
raw,politeness-inquiry-sensitive-016,positive,-0.8018243394,2.176017698
raw,politeness-inquiry-sensitive-092,negative,-8.670047865,2.956943006
raw,politeness-inquiry-sensitive-092,neutral,-4.533143029,-0.488827817
raw,politeness-inquiry-sensitive-092,positive,-0.6843529296,-3.083332323
raw,politeness-refusal-038,negative,-5.39791562,-4.466904498
raw,politeness-refusal-038,neutral,2.828571249,-12.25935896
raw,politeness-refusal-038,positive,1.769418749,-11.75274254
raw,politeness-refusal-058,negative,2.635223845,-8.145512727
raw,politeness-refusal-058,neutral,7.741135328,-9.533298433
raw,politeness-refusal-058,positive,-7.591888581,-0.2453878631
raw,politeness-refusal-064,negative,-5.251776096,-4.862353512
raw,politeness-refusal-064,neutral,2.94897701,-8.124905409
raw,politeness-refusal-064,positive,4.230066292,-5.701443133
raw,politeness-refusal-069,negative,0.9490809408,-6.324294135
raw,politeness-refusal-069,neutral,3.884338802,-4.58057114
raw,politeness-refusal-069,positive,4.543819553,-6.053425238
raw,politeness-refusal-077,negative,-0.472028631,-5.627633909
raw,politeness-refusal-077,neutral,2.457562152,-11.80233835
raw,politeness-refusal-077,positive,-8.952617889,-5.549229351
