layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.1528625563,0.113034247,0.8557766369,0.2916666667,0.7170753586,0.4351232873,1.29661575,0.8847707801,0.8336588341,0.9632935762
2,-0.01609558148,-0.01399772333,0.8596787684,0.2361111111,0.8558683256,0.4293600614,1.690980211,0.9266952182,0.9081690436,0.9791932415
3,0.01809616223,0.01094558816,0.8729691983,0.25,0.8232776077,0.4535120111,1.58908603,0.9155998675,0.8910542301,0.97408751
4,0.03391893724,0.02378560505,0.8737032484,0.25,0.8427876311,0.4604160041,1.543858875,0.9046220603,0.875613383,0.9692774694
5,0.04019348595,0.02883741497,0.8736395744,0.2638888889,0.8278977515,0.4578923889,1.535617706,0.9065697043,0.8799728324,0.970683416
6,0.07902293957,0.05778007598,0.8937364636,0.2638888889,0.8196394855,0.4667943264,1.524472995,0.9008000062,0.8734458613,0.9675870305
7,0.1250362968,0.09187979296,0.893320102,0.2777777778,0.8267835955,0.4757926873,1.458158049,0.8938135564,0.8524026352,0.9630567569
8,0.163592944,0.1218749144,0.903950264,0.3055555556,0.8153045106,0.4862192018,1.412419193,0.8854195605,0.8356875538,0.9590132336
9,0.2038773654,0.1536592185,0.90019366,0.3333333333,0.7806468087,0.4809982475,1.37406287,0.8779257295,0.8218415334,0.9552657523
10,0.2470717225,0.1876536894,0.8969122599,0.3333333333,0.7836436522,0.4891370776,1.347631798,0.8737992161,0.8183528158,0.9516378118
11,0.2917210474,0.2210166841,0.8984561544,0.3611111111,0.7961216286,0.4887571408,1.335655233,0.8688707511,0.8085814623,0.9468197551
12,0.2831731114,0.2138599534,0.896867952,0.3472222222,0.7946320337,0.4789535795,1.335216426,0.8692959306,0.80920878,0.9482407118
13,0.318819823,0.2436445827,0.8963531316,0.3472222222,0.7930579883,0.4962928703,1.353152629,0.8643254699,0.7921938143,0.9457182218
14,0.3047248222,0.2314360421,0.8945706096,0.3472222222,0.7925355748,0.4781261701,1.33494694,0.8666879924,0.7992641923,0.9437238692
15,0.3331876302,0.2525904961,0.9060521989,0.3472222222,0.7765328169,0.4849373825,1.321124366,0.8613047455,0.7939070342,0.939370328
16,0.3798375358,0.2885846418,0.9087836041,0.375,0.7834399977,0.5082130271,1.292543681,0.8555007726,0.7867648377,0.9348927448
17,0.4590423463,0.3534162025,0.9037518715,0.4444444444,0.7883019685,0.514594492,1.229299806,0.8432497061,0.7709851992,0.9246955425
18,0.4960530902,0.3852005066,0.9072518726,0.4722222222,0.7733534545,0.5453095813,1.189133484,0.8323090359,0.7474848767,0.9147582986
19,0.5527058996,0.4275094146,0.9048331478,0.4722222222,0.7736098904,0.5416555228,1.142814679,0.8178570183,0.7254008221,0.9016341855
20,0.5718023522,0.4429805825,0.9065682645,0.4722222222,0.7851343219,0.5624148585,1.113194711,0.8022409826,0.7148250709,0.8831587086
21,0.6659205829,0.5232833111,0.8962573528,0.5416666667,0.7594687098,0.579642512,1.04152779,0.7746128909,0.6938820697,0.8559089262
22,0.6846532935,0.5401226775,0.8922583222,0.5833333333,0.7562488637,0.598134338,1.03629183,0.7556483957,0.6679848602,0.8349516503
23,0.7119339401,0.5628558221,0.8731876899,0.5972222222,0.7594660297,0.6176573233,1.010622481,0.7393306948,0.6520152105,0.816258964
24,0.7513090066,0.5989552139,0.8658016227,0.6666666667,0.76331999,0.6318711797,0.963421679,0.7165050182,0.6413858063,0.7859832894
25,0.7462166193,0.5927456975,0.8675302823,0.6388888889,0.7722606256,0.6418252723,0.9671810843,0.7057487327,0.6294584046,0.7713247617
26,0.7935030733,0.6455792096,0.8654692607,0.7083333333,0.8131072157,0.6918799647,0.9008303432,0.6576012158,0.6224118368,0.6990816414
27,0.69238281,0.5285456131,0.8518951344,0.4305555556,0.8671967753,0.7201533001,0.9649496811,0.6958082825,0.6568283434,0.7514972576
