panel,scenario_id,level,pc1,pc2
raw,politeness-apology-003,negative,-51.71208682,-3.578023585
raw,politeness-apology-003,neutral,-196.1013677,-3.592385525
raw,politeness-apology-003,positive,-205.5032858,-5.583399356
raw,politeness-apology-013,negative,161.3412214,-8.339335729
raw,politeness-apology-013,neutral,128.0653602,-3.13671352
raw,politeness-apology-013,positive,96.91526807,-1.28637391
raw,politeness-apology-043,negative,20.00103909,-4.267029171
raw,politeness-apology-043,neutral,-44.44453499,-8.905836433
raw,politeness-apology-043,positive,-49.0590948,-9.661247432
raw,politeness-apology-057,negative,-130.5430709,-7.568044996
raw,politeness-apology-057,neutral,-103.5797451,-5.451845733
raw,politeness-apology-057,positive,-120.2615567,-9.14558235
raw,politeness-apology-065,negative,120.6554786,-1.600133523
raw,politeness-apology-065,neutral,75.60397549,-3.238715265
raw,politeness-apology-065,positive,135.4939485,-6.545691348
raw,politeness-apology-067,negative,5.745643621,-0.2969913663
raw,politeness-apology-067,neutral,-50.80827751,2.120231309
raw,politeness-apology-067,positive,-54.97756241,-4.868597376
raw,politeness-apology-081,negative,22.34435766,-5.23112468
raw,politeness-apology-081,neutral,-56.80707419,-0.2053037313
raw,politeness-apology-081,positive,-29.58276075,-2.913219647
raw,politeness-apology-098,negative,71.37176161,-7.959674145
raw,politeness-apology-098,neutral,47.77469326,-6.531628436
raw,politeness-apology-098,positive,49.74581149,-7.6068316
raw,politeness-bad-news-delivery-020,negative,132.6122376,2.898364165
raw,politeness-bad-news-delivery-020,neutral,109.0560989,5.091681474
raw,politeness-bad-news-delivery-020,positive,128.7632074,0.5047510034
raw,politeness-bad-news-delivery-028,negative,-26.16759244,-4.268047603
raw,politeness-bad-news-delivery-028,neutral,-150.6446493,5.2016999
raw,politeness-bad-news-delivery-028,positive,-73.62270283,1.534760881
raw,politeness-bad-news-delivery-066,negative,246.1633581,-4.842962188
raw,politeness-bad-news-delivery-066,neutral,197.0153808,2.786535185
raw,politeness-bad-news-delivery-066,positive,220.7380597,-4.102913903
raw,politeness-bad-news-delivery-073,negative,105.6577458,-3.448337199
raw,politeness-bad-news-delivery-073,neutral,113.1765369,2.443138498
raw,politeness-bad-news-delivery-073,positive,103.2984864,-6.205412776
raw,politeness-complaint-030,negative,-26.36499288,-1.957470775
raw,politeness-complaint-030,neutral,-127.8546705,7.548631758
raw,politeness-complaint-030,positive,-116.7509035,-0.8311226864
raw,politeness-complaint-032,negative,-44.29318391,-1.09336144
raw,politeness-complaint-032,neutral,-97.2731845,1.968706969
raw,politeness-complaint-032,positive,-59.52520151,-0.1655946987
raw,politeness-complaint-040,negative,144.6386178,-1.860105231
raw,politeness-complaint-040,neutral,123.4211451,0.7884959476
raw,politeness-complaint-040,positive,179.7641064,-2.009255646
raw,politeness-complaint-049,negative,128.8269973,-4.171095253
raw,politeness-complaint-049,neutral,132.634345,-2.109304215
raw,politeness-complaint-049,positive,128.8576996,-3.899373916
raw,politeness-complaint-063,negative,139.2492086,-4.299102514
raw,politeness-complaint-063,neutral,167.5249315,-3.395789737
raw,politeness-complaint-063,positive,198.2667115,-5.940227115
raw,politeness-complaint-072,negative,29.21552056,-4.890594958
raw,politeness-complaint-072,neutral,55.75120507,0.2012561447
raw,politeness-complaint-072,positive,95.61380075,-7.719714245
raw,politeness-complaint-089,negative,203.5500224,-3.284512516
raw,politeness-complaint-089,neutral,209.2596674,1.037879643
raw,politeness-complaint-089,positive,237.9772245,-3.527742039
raw,politeness-correction-002,negative,162.3849295,1.360036294
raw,politeness-correction-002,neutral,132.7303978,5.359859
raw,politeness-correction-002,positive,128.4783627,2.608553582
raw,politeness-correction-005,negative,54.75728554,2.921825347
raw,politeness-correction-005,neutral,91.83405212,5.630711381
raw,politeness-correction-005,positive,78.54363558,3.712035864
raw,politeness-correction-007,negative,117.6266977,0.1160570013
raw,politeness-correction-007,neutral,133.0304245,6.112364381
raw,politeness-correction-007,positive,105.3357228,0.3738959585
raw,politeness-correction-024,negative,212.5273789,-1.084455977
raw,politeness-correction-024,neutral,199.9573289,3.872148704
raw,politeness-correction-024,positive,172.6608591,-0.2571816553
raw,politeness-correction-027,negative,94.55277167,0.438171573
raw,politeness-correction-027,neutral,101.7930303,6.030040069
raw,politeness-correction-027,positive,108.8462591,5.45931612
raw,politeness-correction-045,negative,207.5509948,2.472303981
raw,politeness-correction-045,neutral,225.4938663,9.998091595
raw,politeness-correction-045,positive,222.1469556,3.492536629
raw,politeness-correction-051,negative,-282.4008116,3.55178208
raw,politeness-correction-051,neutral,-214.8613706,10.76841266
raw,politeness-correction-051,positive,-202.8284221,3.078479841
raw,politeness-correction-076,negative,-118.9619591,4.712625832
raw,politeness-correction-076,neutral,-124.4588936,8.92530504
raw,politeness-correction-076,positive,-75.65787928,3.943807366
raw,politeness-correction-087,negative,118.0652944,-2.519812217
raw,politeness-correction-087,neutral,100.9776727,2.696032362
raw,politeness-correction-087,positive,96.51154031,1.402118982
raw,politeness-criticism-or-feedback-023,negative,18.74148166,8.991205727
raw,politeness-criticism-or-feedback-023,neutral,65.26420858,10.3650634
raw,politeness-criticism-or-feedback-023,positive,41.43214394,11.33646055
raw,politeness-criticism-or-feedback-036,negative,185.4935222,-0.3461179018
raw,politeness-criticism-or-feedback-036,neutral,174.5401116,9.395803082
raw,politeness-criticism-or-feedback-036,positive,184.520837,8.339109697
raw,politeness-criticism-or-feedback-041,negative,211.6949405,10.22875886
raw,politeness-criticism-or-feedback-041,neutral,209.7652384,11.78031294
raw,politeness-criticism-or-feedback-041,positive,234.7123358,9.654032253
raw,politeness-criticism-or-feedback-050,negative,-75.72359346,5.851787666
raw,politeness-criticism-or-feedback-050,neutral,-115.0388983,12.70898709
raw,politeness-criticism-or-feedback-050,positive,-113.0020467,7.327138499
raw,politeness-criticism-or-feedback-054,negative,-269.4954351,5.118002984
raw,politeness-criticism-or-feedback-054,neutral,-275.4349218,12.81537335
raw,politeness-criticism-or-feedback-054,positive,-226.8039706,10.03197597
raw,politeness-criticism-or-feedback-071,negative,170.1764466,-0.5208608688
raw,politeness-criticism-or-feedback-071,neutral,146.0622465,4.248753788
raw,politeness-criticism-or-feedback-071,positive,156.2281981,6.133176745
raw,politeness-criticism-or-feedback-099,negative,-0.1735911747,4.546514084
raw,politeness-criticism-or-feedback-099,neutral,92.84008329,13.34259241
raw,politeness-criticism-or-feedback-099,positive,69.70435086,12.65795717
raw,politeness-criticism-or-feedback-100,negative,-4.875365761,3.363339238
raw,politeness-criticism-or-feedback-100,neutral,-48.85576885,10.72224818
raw,politeness-criticism-or-feedback-100,positive,-6.950427326,6.271711365
raw,politeness-disagreement-012,negative,-14.77497554,-0.1708626987
raw,politeness-disagreement-012,neutral,23.95420612,-3.465177226
raw,politeness-disagreement-012,positive,15.58500661,-2.294893357
raw,politeness-disagreement-035,negative,-218.5362176,1.080265698
raw,politeness-disagreement-035,neutral,-251.349075,-1.130995659
raw,politeness-disagreement-035,positive,-220.2698567,3.213283518
raw,politeness-disagreement-047,negative,110.4247457,4.999605578
raw,politeness-disagreement-047,neutral,100.6959879,5.583242355
raw,politeness-disagreement-047,positive,97.51988092,4.145309808
raw,politeness-disagreement-048,negative,200.2169715,-0.880105192
raw,politeness-disagreement-048,neutral,189.2466137,0.2188257162
raw,politeness-disagreement-048,positive,206.0713096,-0.9446493237
raw,politeness-disagreement-075,negative,-60.46738979,-0.7918573047
raw,politeness-disagreement-075,neutral,-102.6693506,-0.1174444651
raw,politeness-disagreement-075,positive,-92.35805848,-2.202397399
raw,politeness-disagreement-086,negative,-157.3747626,2.467236919
raw,politeness-disagreement-086,neutral,-178.4186573,-3.171998141
raw,politeness-disagreement-086,positive,-193.2436003,-2.673586311
raw,politeness-inquiry-sensitive-008,negative,45.34162766,-4.576354012
raw,politeness-inquiry-sensitive-008,neutral,-8.838869679,3.062044954
raw,politeness-inquiry-sensitive-008,positive,-45.5491259,2.20119211
raw,politeness-inquiry-sensitive-009,negative,53.87252788,0.2822183635
raw,politeness-inquiry-sensitive-009,neutral,65.00951277,1.801424103
raw,politeness-inquiry-sensitive-009,positive,62.42828148,-0.7697897434
raw,politeness-inquiry-sensitive-016,negative,148.2941853,-3.609947823
raw,politeness-inquiry-sensitive-016,neutral,146.4029645,0.9022660273
raw,politeness-inquiry-sensitive-016,positive,201.3889352,-4.461301603
raw,politeness-inquiry-sensitive-092,negative,-30.30423996,-3.386163009
raw,politeness-inquiry-sensitive-092,neutral,-47.91111848,-3.486860378
raw,politeness-inquiry-sensitive-092,positive,-47.5273164,-4.63647968
raw,politeness-refusal-038,negative,-50.49692902,-8.582224032
raw,politeness-refusal-038,neutral,-56.07435235,-8.356478808
raw,politeness-refusal-038,positive,-11.04416267,-10.62182018
raw,politeness-refusal-058,negative,-18.36572864,-8.594042533
raw,politeness-refusal-058,neutral,-66.75358196,-2.087478446
