layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.1138846842,0.3374680491,0.01456785585,0.1512464701
2,0.1852947213,0.4304587336,0.08189596105,0.2858427056
3,0.1522721078,0.3902205886,0.0498118724,0.2383730205
4,0.1630934697,0.4038483252,0.05433952912,0.2727527009
5,0.1576742923,0.3970822236,0.05496542764,0.2589750967
6,0.1601008751,0.400126074,0.04104502337,0.27108645
7,0.1404567991,0.374775665,0.02459208339,0.2462569464
8,0.1277598828,0.3574351449,0.01273691305,0.2217137344
9,0.1265553658,0.3557462098,0.01366353771,0.2223649744
10,0.1267926675,0.3560795804,0.01702915302,0.2074098769
11,0.1282096204,0.35806371,0.0154195832,0.203779994
12,0.1311650746,0.3621671914,0.01531404652,0.2163608765
13,0.12742329,0.3569639897,0.01313635525,0.2072666813
14,0.1312825148,0.3623292905,0.01403535647,0.2104507555
15,0.1317016806,0.3629072617,0.01265990574,0.2119846812
16,0.1363936989,0.3693151755,0.01369783652,0.2148142789
17,0.1399876297,0.3741492079,0.03467071888,0.2202140385
18,0.1418323134,0.3766063109,0.03867306775,0.2230534073
19,0.1537172498,0.3920679147,0.04697845241,0.2371957399
20,0.1501158182,0.3874478264,0.05436875914,0.2283664413
21,0.1722634934,0.415046375,0.07579444615,0.2318281437
22,0.1720504857,0.4147896885,0.08235783008,0.2419304461
23,0.1759650997,0.419481942,0.09601230453,0.2525329793
24,0.1901740693,0.4360895198,0.1028146385,0.2659362734
25,0.1857784762,0.4310202735,0.1014037009,0.2682544651
26,0.2410083759,0.4909260391,0.1652685782,0.3180330659
27,0.2659802942,0.515732774,0.1591105842,0.3658611557
