layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.9073190689,-0.1060460806,0.5142902136
2,-0.9693763256,-0.3700084686,0.5868281722
3,-0.9631400108,-0.308727622,0.5532081723
4,-0.956813693,-0.3452619314,0.6031776667
5,-0.957110405,-0.3312141895,0.5903792381
6,-0.9492666721,-0.322896719,0.6041426659
7,-0.9402096272,-0.2584391832,0.5720125437
8,-0.9317746162,-0.2074861526,0.548466444
9,-0.9240927696,-0.1911739111,0.5517819524
10,-0.913646698,-0.1634441614,0.5503730178
11,-0.9040579796,-0.1413195133,0.5508811474
12,-0.9059472084,-0.1560796499,0.5596019626
13,-0.8980869055,-0.1091549397,0.535220921
14,-0.8996179104,-0.1386671066,0.5572069287
15,-0.8923988342,-0.1264640093,0.5604810715
16,-0.8817689419,-0.1193993092,0.5735900998
17,-0.8600796461,-0.06630301476,0.5660633445
18,-0.8431106806,-0.03620028496,0.5679086447
19,-0.8188267946,-0.04218649864,0.6080729961
20,-0.8065936565,-0.0318505764,0.616496861
21,-0.7451013327,0.01575362682,0.6551305056
22,-0.7243907452,0.02844297886,0.6685068607
23,-0.6988117695,0.04658323526,0.6819761395
24,-0.6531965733,0.07603514194,0.7053304315
25,-0.643819809,0.06832009554,0.7194033861
26,-0.483787179,0.1708167791,0.7796840072
27,-0.5791716576,-0.00505065918,0.81812042
