layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.09859560842,0.3139993765,0.02782817219,0.135613432
2,0.1633848112,0.4042088708,0.07757540567,0.2526716696
3,0.1456453027,0.3816350387,0.06225325305,0.2124700663
4,0.1361681863,0.3690097374,0.06247366444,0.1865929803
5,0.1460536925,0.3821697168,0.05729787682,0.2088416733
6,0.1452373152,0.381100138,0.07271637372,0.2131608924
7,0.1613868576,0.4017298315,0.07575955821,0.2129488165
8,0.1616765119,0.4020901788,0.08244580577,0.2147019228
9,0.1541084433,0.3925664826,0.08425917338,0.2012551543
10,0.1850881851,0.4302187642,0.114879128,0.236815398
11,0.1880344998,0.4336294499,0.1113153629,0.2448220558
12,0.1839809341,0.4289299874,0.1145602721,0.2445990903
13,0.1718324926,0.4145268298,0.1047011054,0.2263963298
14,0.1669682597,0.4086174981,0.0967734663,0.2221250308
15,0.1789895709,0.4230715907,0.1126436874,0.2431811926
16,0.1826975909,0.4274313873,0.1108303854,0.2410808915
17,0.2208683585,0.4699663377,0.1374492934,0.27462395
18,0.231231433,0.4808652962,0.1437463485,0.3068011725
19,0.2452796538,0.4952571592,0.1552164614,0.3120779496
20,0.2388234185,0.4886956297,0.1501250925,0.2913787272
21,0.2768052569,0.5261228534,0.160617591,0.3552167327
22,0.2690420227,0.5186926091,0.1525441427,0.3692083924
23,0.2687233788,0.5183853574,0.1527870895,0.3655563511
24,0.272454418,0.5219716639,0.1638457103,0.3742788885
25,0.279702434,0.528869014,0.1647542273,0.3877517042
26,0.2641911864,0.5139953175,0.1601008459,0.3701765186
27,0.1946441269,0.4411849123,0.08737383823,0.2685643148
