perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
0,-0.1260365872,-0.09914176972,-0.4605329974,0.3333333333,0.8380333052,0.6473847396
1,0.1633201375,0.1273477085,-0.3136075299,0.3333333333,0.8174022078,0.6400408047
2,-0.09648255338,-0.07304075179,-0.4554608979,0.25,0.7787641719,0.6553524067
3,0.05956274502,0.04820268634,-0.36222699,0.2638888889,0.8443498055,0.6876106889
4,-0.09066268211,-0.06840992603,-0.8019893308,0.3333333333,0.9131907968,0.6990996345
5,-0.266350046,-0.2054402702,-0.7493393384,0.3055555556,0.8502963484,0.7218199089
6,0.1324930069,0.1017729207,-0.5123220012,0.375,0.8285286328,0.6949560495
7,-0.131401781,-0.1019834128,-0.6592836008,0.3472222222,0.8474129798,0.6019317694
8,-0.007911387506,-0.006209516362,-0.05805616423,0.3194444444,0.83199592,0.5776971874
9,0.1103956831,0.08535453847,-0.4140971997,0.3055555556,0.8667547797,0.5607766245
10,0.007547645552,0.004946563882,-0.364174082,0.2638888889,0.8236377839,0.7083216955
11,0.1933288487,0.149765115,-0.4971795953,0.2777777778,0.8141436645,0.8177609891
12,-0.1880545904,-0.1480811783,-0.6283968229,0.3888888889,0.8350826931,0.6962595835
13,-0.2608029812,-0.2011251825,-0.6098766033,0.4027777778,0.841007742,0.5972169892
14,-0.111305038,-0.08598601471,-0.4584006807,0.3194444444,0.8113380714,0.5669481722
15,-0.2144258821,-0.1637628383,-0.8758056365,0.375,0.850461373,0.5875205024
16,-0.1453149107,-0.1112450643,-0.502746437,0.3194444444,0.8375746102,0.656534464
17,-0.04019348595,-0.03199479617,-0.5953415388,0.3333333333,0.8284231662,0.5697176341
18,-0.03619232445,-0.02820593873,-0.4826806472,0.3472222222,0.8372648131,0.5325249039
19,-0.1295830712,-0.1000889841,-0.3493303208,0.5277777778,0.8337041293,0.6866062343
20,0.05074200263,0.04009874126,-0.4445489618,0.3194444444,0.8291540062,0.5607812468
