scenario_id,midpoint_residual,pc1_frac
politeness-apology-003,0.7855544713,0.6067940863
politeness-apology-013,0.6572039024,0.7666960299
politeness-apology-043,0.7618581963,0.5699637691
politeness-apology-057,0.6353414193,0.7967800154
politeness-apology-065,0.814038601,0.550905906
politeness-apology-067,0.7422038579,0.6022876934
politeness-apology-081,0.7589657672,0.7035380432
politeness-apology-098,0.6995278174,0.7595981535
politeness-bad-news-delivery-020,0.7449364993,0.6617173982
politeness-bad-news-delivery-028,0.6688180063,0.7892599166
politeness-bad-news-delivery-066,0.7248016057,0.7517997942
politeness-bad-news-delivery-073,0.7049769787,0.7864311252
politeness-complaint-030,0.9036502449,0.5830166588
politeness-complaint-032,0.8571688852,0.7809327276
politeness-complaint-040,0.6963029977,0.7803752984
politeness-complaint-049,0.8338421176,0.5201869204
politeness-complaint-063,0.552831462,0.7107005535
politeness-complaint-072,0.8177275619,0.6135880889
politeness-complaint-089,0.6857717734,0.6148227816
politeness-correction-002,0.8363232686,0.7547383383
politeness-correction-005,0.5848764228,0.6936836473
politeness-correction-007,0.8828656903,0.5353026965
politeness-correction-024,0.6396659462,0.8515533431
politeness-correction-027,0.6657846072,0.7333487909
politeness-correction-045,0.9024788386,0.6449855281
politeness-correction-051,0.6169895723,0.6702664098
politeness-correction-076,0.8566196019,0.711364662
politeness-correction-087,1.047969742,0.5986184854
politeness-criticism-or-feedback-023,0.9576651946,0.5895551487
politeness-criticism-or-feedback-036,0.6511510161,0.7165674959
politeness-criticism-or-feedback-041,0.6764549645,0.6217004713
politeness-criticism-or-feedback-050,0.6168918577,0.7730392172
politeness-criticism-or-feedback-054,0.7769015743,0.6575345713
politeness-criticism-or-feedback-071,0.937568281,0.576807941
politeness-criticism-or-feedback-099,0.9226950183,0.7017565891
politeness-criticism-or-feedback-100,0.6722565494,0.7903265066
politeness-disagreement-012,0.7717386142,0.5693285109
politeness-disagreement-035,0.7997903355,0.5466587728
politeness-disagreement-047,0.6432885127,0.680802338
politeness-disagreement-048,1.007460415,0.6470567531
politeness-disagreement-075,0.7960325827,0.7139056947
politeness-disagreement-086,0.7446786805,0.5974538193
politeness-inquiry-sensitive-008,0.8736862595,0.5596000116
politeness-inquiry-sensitive-009,0.7178299299,0.6176624565
politeness-inquiry-sensitive-016,0.730567176,0.6386081135
politeness-inquiry-sensitive-092,0.6667036879,0.6331995346
politeness-refusal-038,0.6264297183,0.825695144
politeness-refusal-058,0.757783613,0.7038855051
politeness-refusal-064,0.7838045285,0.5797987807
politeness-refusal-069,0.5920403694,0.6858242824
politeness-refusal-077,0.814248728,0.631836754
politeness-refusal-080,0.7273360354,0.6189978044
politeness-refusal-083,0.7510517386,0.623784624
politeness-refusal-090,0.7907663397,0.6258108953
politeness-reminder-017,0.8295480059,0.5438897471
politeness-reminder-018,0.8616076904,0.5398691945
politeness-reminder-019,0.8439730949,0.6507263406
politeness-reminder-021,0.7136060043,0.7602406467
politeness-reminder-079,0.7364534681,0.5871749298
politeness-reminder-094,0.7498928655,0.7861054325
politeness-request-001,0.5528540059,0.7533230852
politeness-request-006,0.8447265162,0.5917820598
politeness-request-025,1.001239985,0.5893072109
politeness-request-029,0.6699569435,0.6917019038
politeness-request-031,0.7674955694,0.7677064933
politeness-request-037,0.7088461063,0.733550615
politeness-request-053,0.4968492478,0.8436281425
politeness-request-056,0.7323367534,0.5885396677
politeness-request-061,0.4443416431,0.8065740064
politeness-request-074,0.8171968204,0.5876832054
politeness-request-093,0.7467166011,0.6184192562
politeness-request-097,0.6838030675,0.6518759498
