level,rank,ngram,coef
negative,1,now,0.970290553
negative,2,what,0.8807770582
negative,3,immediately,0.7989651634
negative,4,don,0.6832014384
negative,5,no,0.6804718076
negative,6,late,0.5817228915
negative,7,wrong,0.5523159497
negative,8,seriously,0.5419001115
negative,9,even,0.5314726356
negative,10,not,0.5116927261
neutral,1,please,0.8262033038
neutral,2,full,0.5152995961
neutral,3,needs,0.5126645725
neutral,4,later,0.5009584945
neutral,5,should,0.491887336
neutral,6,have,0.4721288824
neutral,7,as,0.4636321187
neutral,8,scheduled,0.4537990308
neutral,9,soon,0.4484797325
neutral,10,for,0.4308169692
positive,1,but,1.51554081
positive,2,perhaps,0.9086203899
positive,3,if,0.878881717
positive,4,we,0.7666440873
positive,5,appreciate,0.6290077214
positive,6,very,0.6110102775
positive,7,hope,0.5940267785
positive,8,at,0.5923314179
positive,9,might,0.5759723975
positive,10,thanks,0.5208779961
