layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.8181465907,0.6746271167,0.8680510658,0.6944444444,0.8212270279,0.7210309238,0.8808819832,0.6162022073,0.5635570895,0.6509422376
2,0.2448892707,0.1727087517,0.8699182252,0.1944444444,1.10861086,0.589410729,1.802723979,0.8826236328,0.8510292423,0.9494679846
3,0.2357047864,0.1673412037,0.8775856956,0.2083333333,1.121620364,0.6308748072,1.813738121,0.875057773,0.8198830891,0.944461374
4,0.2602573683,0.1849172924,0.8971795477,0.2083333333,1.11050179,0.6204677031,1.783361153,0.8611497433,0.784891489,0.9314857607
5,0.2719880463,0.1920740231,0.9020799667,0.2083333333,1.072684014,0.6325087376,1.768681684,0.8523252148,0.7804231231,0.9255653022
6,0.3027242415,0.2134389692,0.9014563671,0.2083333333,1.025272696,0.6580059357,1.592063562,0.8290906672,0.7508430573,0.9020882272
7,0.3322782753,0.2326989945,0.9073165054,0.2083333333,1.012918692,0.6628311269,1.532252157,0.8137743565,0.7295077138,0.8851269421
8,0.3715624063,0.2609049333,0.9112578029,0.2083333333,0.9856103491,0.6766533141,1.388344618,0.7911671244,0.7166520297,0.8577155989
9,0.4009345691,0.2831118477,0.910961847,0.2222222222,0.9432907966,0.6640983393,1.364013333,0.7743455749,0.6926876472,0.8380047811
10,0.453949959,0.3208951761,0.913056858,0.2361111111,0.9302533445,0.6624784097,1.282172912,0.7610620506,0.6931135337,0.8225176888
11,0.5315179307,0.3820431254,0.9141376195,0.2916666667,0.91746941,0.6549679555,1.119067532,0.7402915139,0.6665052629,0.7934828566
12,0.5433395443,0.3895155942,0.9141783848,0.2916666667,0.8889453671,0.645750581,1.181697027,0.741323625,0.6776180039,0.7908551192
13,0.5400658667,0.3854109986,0.9091978851,0.2916666667,0.8979668176,0.6432268969,1.165312226,0.7415529579,0.6745450338,0.7905408539
14,0.5632544163,0.4060392225,0.9129950454,0.3055555556,0.8775527971,0.6541079429,1.11597595,0.7368019946,0.6705173411,0.7812846449
15,0.5690742875,0.4093018497,0.9072154523,0.3055555556,0.8977504404,0.6568834266,1.085804673,0.7325093003,0.6720531266,0.7826083675
16,0.5822599334,0.4210894062,0.9149131956,0.3333333333,0.8927358687,0.6447666194,1.054746742,0.7284352737,0.6711001625,0.7781270392
17,0.5901713209,0.428561875,0.9118229678,0.3472222222,0.8709765883,0.6457574281,1.073811746,0.725996078,0.6666233869,0.7726440952
18,0.6196344192,0.4592937187,0.915885108,0.3472222222,0.8598687475,0.6383464036,1.070087997,0.7209576786,0.6588984846,0.7689207925
19,0.6223624838,0.4619248697,0.912731765,0.375,0.8749670224,0.6429455286,1.063174231,0.7196291808,0.6619952144,0.764098165
20,0.6222715483,0.4603461791,0.9095493238,0.3611111111,0.8787940064,0.6296701849,1.029211361,0.7188914875,0.6632107903,0.7677053279
21,0.625181484,0.4628720841,0.9059520916,0.3888888889,0.8735804392,0.6358839553,1.0574601,0.7168010057,0.6586902895,0.7633610045
22,0.6542808403,0.494235404,0.9088483087,0.4444444444,0.8522534344,0.6305220721,1.023878677,0.7160445466,0.6580112154,0.7586875716
23,0.6450054205,0.4830793238,0.9050336738,0.4305555556,0.8500276676,0.6324433677,1.017095439,0.7118520213,0.6513433725,0.7632983768
24,0.6862901323,0.5269669225,0.9022832605,0.5,0.8366660066,0.6475591767,0.9871259317,0.699467858,0.6465926949,0.751103689
25,0.6519165176,0.4871839194,0.896539254,0.4583333333,0.8469832159,0.6553200581,0.987099999,0.6994383771,0.6439006204,0.7478283293
26,0.6656477764,0.501918365,0.9015363112,0.4861111111,0.8249773092,0.6607667219,0.9668386455,0.6936538903,0.6319437206,0.7417337388
27,0.6938377779,0.5313872562,0.9027316073,0.5,0.8084201733,0.692801965,0.9450713261,0.6874460305,0.6185711394,0.7362646994
28,0.7135707789,0.5535941706,0.894824638,0.5138888889,0.7933147525,0.6876340893,0.9285984578,0.6796594426,0.6218548852,0.7297159081
29,0.7360318446,0.5791689583,0.8956084404,0.5277777778,0.7854693809,0.6873447383,0.9125010346,0.6705543295,0.6195743159,0.7183118378
30,0.792139041,0.644000519,0.8996302182,0.7222222222,0.7777889101,0.6482444783,0.8899053826,0.6900923931,0.6303024525,0.7531327629
31,0.7857735568,0.6366332962,0.8966807756,0.6527777778,0.7663533737,0.6765443134,0.9035258414,0.6740336688,0.6237791259,0.7142323455
32,0.7734972658,0.6224250808,0.8951380899,0.6388888889,0.7681194273,0.6827589091,0.9185260032,0.6690569075,0.6162220359,0.7023736687
33,0.7572198134,0.6035860396,0.8891912979,0.625,0.7800970008,0.6829709027,0.910141322,0.6669598044,0.6083800135,0.7012052707
34,0.7443979095,0.588746348,0.8851514906,0.6111111111,0.7771196176,0.6998457997,0.9298586786,0.6649669613,0.610627822,0.7051735058
35,0.7119339401,0.5511735117,0.8733084675,0.5833333333,0.8334065346,0.7299371226,0.9578464196,0.6804679638,0.6356957618,0.7334456691
