scenario_id,scenario_title,level,x,y
politeness-refusal-080,080,negative,-7.835406479,0.9016149139
politeness-refusal-080,080,neutral,4.41612549,-10.82176099
politeness-refusal-080,080,positive,3.419280989,9.920146078
politeness-apology-013,013,negative,-12.35786645,11.45676835
politeness-apology-013,013,neutral,6.025484923,-8.480514296
politeness-apology-013,013,positive,6.332381527,-2.976254058
politeness-criticism-or-feedback-054,or-feedback-054,negative,-13.19174635,21.17358173
politeness-criticism-or-feedback-054,or-feedback-054,neutral,11.5949701,-26.24238338
politeness-criticism-or-feedback-054,or-feedback-054,positive,1.596776252,5.068801647
politeness-disagreement-048,048,negative,-8.038303794,3.008573687
politeness-disagreement-048,048,neutral,4.173202942,-6.554839643
politeness-disagreement-048,048,positive,3.865100852,3.546265956
politeness-correction-005,005,negative,-8.449036228,4.580306176
politeness-correction-005,005,neutral,4.908503597,-11.37921098
politeness-correction-005,005,positive,3.540532631,6.798904805
politeness-complaint-030,030,negative,-18.17711017,28.66808973
politeness-complaint-030,030,neutral,11.91047363,-38.84051066
politeness-complaint-030,030,positive,6.26663654,10.17242093
politeness-complaint-072,072,negative,-3.413083194,-9.562270211
politeness-complaint-072,072,neutral,9.089532759,-15.74640667
politeness-complaint-072,072,positive,-5.676449565,25.30867688
politeness-apology-043,043,negative,-14.14407188,15.50511517
politeness-apology-043,043,neutral,7.27883909,-11.74272954
politeness-apology-043,043,positive,6.865232785,-3.762385633
politeness-refusal-038,038,negative,-8.173580355,2.206100405
politeness-refusal-038,038,neutral,8.241237236,-13.33084668
politeness-refusal-038,038,positive,-0.0676568806,11.12474627
politeness-reminder-019,019,negative,-9.727087479,8.640448088
politeness-reminder-019,019,neutral,6.880742424,-15.38961485
politeness-reminder-019,019,positive,2.846345055,6.749166758
politeness-request-037,037,negative,-10.7578162,4.194966366
politeness-request-037,037,neutral,1.810929941,-1.188389615
politeness-request-037,037,positive,8.946886262,-3.006576751
politeness-apology-067,067,negative,-1.127136632,-4.157826872
politeness-apology-067,067,neutral,1.603995958,-6.072926222
politeness-apology-067,067,positive,-0.4768593261,10.23075309
