layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.5166240931,0.2709368467,0.6842149496
2,-0.9782949686,-0.7916839123,0.9010959268
3,-0.9765729904,-0.7518527508,0.8761184216
4,-0.9689317942,-0.6929641962,0.8497515917
5,-0.9669141769,-0.6812410355,0.8454514146
6,-0.9567770958,-0.609143734,0.8134539127
7,-0.9499583244,-0.5879774094,0.8112281561
8,-0.9381415844,-0.5186340809,0.7825964689
9,-0.9251902103,-0.4717274904,0.7710630894
10,-0.9052600861,-0.4106465578,0.7591250539
11,-0.8659250736,-0.2978020906,0.7353538275
12,-0.8587362766,-0.2874219418,0.7376152277
13,-0.8592333794,-0.3003900051,0.7460623384
14,-0.8464621305,-0.2497502565,0.7269799113
15,-0.8393260241,-0.2546093464,0.7394129038
16,-0.8322167397,-0.2263587713,0.7284387946
17,-0.8241825104,-0.2101775408,0.7268992066
18,-0.8108103275,-0.1509348154,0.7009829283
19,-0.8099031448,-0.1476484537,0.6997156143
20,-0.7969748974,-0.1509253979,0.7173770666
21,-0.7930607796,-0.1463901997,0.7186763287
22,-0.7818130255,-0.09734117985,0.696654439
23,-0.7676126957,-0.1184278727,0.7273102999
24,-0.732275486,-0.05838382244,0.7225998044
25,-0.7428190708,-0.1128355265,0.7490329742
26,-0.7096601725,-0.09099769592,0.7661985159
27,-0.6620328426,-0.04659509659,0.7795084119
28,-0.6356620789,-0.01045906544,0.7785735726
29,-0.5966796875,0.03182333708,0.7830846906
30,-0.406832695,0.2090297937,0.8082825541
31,-0.4314770699,0.1816471815,0.8087393641
32,-0.4601336718,0.1518960595,0.8076549768
33,-0.4858677387,0.1186056733,0.8102362752
34,-0.5163326263,0.08723509312,0.8080809712
35,-0.5549402237,0.03790080547,0.8102598786
