layer,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,midpoint_residual_iqr25,midpoint_residual_iqr75,pc1_frac_mean,pc1_frac_iqr25,pc1_frac_iqr75
1,0.4877779607,0.3887788719,0.8145754512,0.5694444444,0.7218130276,0.5674567781,0.8268854385,0.7883442683,0.6791909045,0.9136469458
2,0.6302738713,0.5077068972,0.8317401856,0.6111111111,0.7404874185,0.5860651965,0.8279817055,0.7648040852,0.670112177,0.8741830761
3,0.8075980741,0.6683123543,0.8509803779,0.75,0.7324709393,0.5956527369,0.837354338,0.7387708785,0.6359509733,0.8449378994
4,0.8156913325,0.6738903944,0.8345006844,0.7083333333,0.7545528456,0.6164746251,0.8642864145,0.7110718835,0.6216378705,0.7984402803
5,0.8115992356,0.6688385845,0.824222054,0.6944444444,0.7561340493,0.6112659136,0.8788073264,0.7165703472,0.6155990808,0.8076154436
6,0.8186012682,0.6751533469,0.8319602154,0.6666666667,0.7475621435,0.640306318,0.9219778256,0.6939646918,0.611053041,0.7827551227
7,0.7850460729,0.6358965739,0.8168529205,0.6111111111,0.7795441651,0.6745111912,0.8886862696,0.6770597768,0.6047616134,0.7575555979
8,0.7938668153,0.6460001938,0.8032629868,0.6527777778,0.7847419821,0.6669115252,0.8771741793,0.6677946847,0.5993618029,0.7399257404
9,0.8143273002,0.6697857988,0.797836426,0.6944444444,0.7594784474,0.661002066,0.8739033627,0.6707618562,0.5940925431,0.7468849809
10,0.8074162031,0.6617870998,0.8348985624,0.6944444444,0.7492240342,0.6604319274,0.8604914349,0.6684951282,0.5914691212,0.7449387812
11,0.7982317187,0.6510520037,0.8426274104,0.6666666667,0.7438989085,0.6658840587,0.8493008344,0.6687055603,0.595319629,0.7363471464
12,0.7850460729,0.6357913279,0.8379834691,0.5833333333,0.7242261219,0.6623565083,0.8306958119,0.6719088262,0.5979206538,0.7363893091
13,0.7680411365,0.6161103184,0.8534810735,0.5833333333,0.732589295,0.6689044007,0.8321318321,0.6718514436,0.5947863265,0.7431747332
14,0.7766800079,0.6261086922,0.8286179356,0.6388888889,0.7357222439,0.6540727974,0.8277297053,0.6759271647,0.60317757,0.7494022788
15,0.7937758798,0.6458949477,0.8726665485,0.6111111111,0.7324855043,0.6598883902,0.8250888785,0.6683740185,0.5921512759,0.7429134858
16,0.7883197505,0.6395801853,0.8896027103,0.5972222222,0.7332909609,0.6586324396,0.8293591196,0.6666788023,0.5886648113,0.7431992981
17,0.8061431062,0.6602084092,0.8769367895,0.7083333333,0.7346795984,0.6478937664,0.8131723599,0.667893791,0.5904736891,0.7417804245
18,0.8234208491,0.6802051568,0.8799823655,0.7083333333,0.7314980455,0.6450762766,0.7894509592,0.6674345189,0.5994818096,0.7413658013
19,0.816327881,0.6719959657,0.885577482,0.7222222222,0.7385125637,0.6456218112,0.8045941105,0.6664412566,0.5995095716,0.7348611258
20,0.8269673331,0.6843097524,0.8747868548,0.7638888889,0.709509824,0.647686857,0.8010942067,0.6726925443,0.6053207192,0.7426750992
21,0.8000504285,0.6531569245,0.8786558587,0.6666666667,0.6915442024,0.6468583218,0.7896289333,0.6763216423,0.6122594049,0.7429150645
22,0.8240573975,0.6809418791,0.8730174651,0.75,0.6929573869,0.6389895131,0.8041502749,0.6769120553,0.6176654471,0.7405802034
23,0.8192378166,0.6753638389,0.872959791,0.7222222222,0.6953070579,0.6388623787,0.7858179774,0.6801160574,0.6193416648,0.7471144394
24,0.827876688,0.6853622128,0.8720942918,0.7361111111,0.6914343906,0.639272654,0.7748231762,0.684113904,0.6339539447,0.7394497262
25,0.7896837828,0.6411588759,0.871160213,0.7083333333,0.6967523295,0.6395151032,0.7782608945,0.6813698796,0.6308420575,0.7407033097
26,0.7967767509,0.6493680671,0.8651137903,0.6805555556,0.7021945397,0.6406521705,0.795194619,0.6802453278,0.6323706864,0.7411388824
27,0.780044621,0.6300027957,0.8596579343,0.6805555556,0.7044912777,0.6420480151,0.801051774,0.6873809338,0.6301171452,0.7505739893
28,0.7832273631,0.6336864071,0.8609073811,0.6666666667,0.7216459564,0.6382671368,0.8002780575,0.6864842153,0.6278572037,0.7409480022
29,0.7692232979,0.6174785169,0.8508266141,0.6805555556,0.7106998297,0.6361899592,0.8262991898,0.6892272402,0.6120941588,0.7496577565
30,0.7684048785,0.6165313026,0.8395929364,0.6666666667,0.7180972659,0.6459908488,0.8185887512,0.6941028894,0.6227917372,0.7517841524
31,0.7537642648,0.5995866901,0.8333490978,0.6111111111,0.7243496025,0.641325156,0.8233217882,0.6974184242,0.6368555307,0.7603004372
32,0.7413970384,0.5852732287,0.8328700149,0.5694444444,0.7398960982,0.6404107295,0.8335236047,0.6966777572,0.6406673321,0.7590712537
33,0.7353043606,0.578221744,0.8211386987,0.5833333333,0.7376818912,0.6482009757,0.8482672101,0.6943612726,0.6370048848,0.7636636525
34,0.7241192955,0.5655922192,0.818662842,0.5694444444,0.7331089327,0.6383616183,0.8451697592,0.6968714633,0.6392035761,0.7565245106
35,0.7473987806,0.604428008,0.8287463282,0.6666666667,0.7569774841,0.6214749689,0.9472323199,0.7148552794,0.6464546201,0.7820535743
