layer,mean_capture,mean_cos,capture_iqr25,capture_iqr75
1,0.1865141507,0.4318728409,0.08983631269,0.2798942773
2,0.1873923949,0.4328884324,0.09123520768,0.2685081903
3,0.4178649611,0.6464247528,0.2797951054,0.5825815984
4,0.3864874461,0.6216811451,0.247024054,0.532602337
5,0.3177183006,0.5636650607,0.1683431392,0.4522751351
6,0.3004456268,0.5481292063,0.1423634012,0.4422202678
7,0.2503206674,0.5003205646,0.07999585216,0.3914439932
8,0.2003279022,0.4475800512,0.03909094214,0.3285868213
9,0.2136104242,0.4621800777,0.03626132187,0.3584029398
10,0.2041037314,0.4517784096,0.02734718924,0.3393766503
11,0.1892252245,0.4350002581,0.02530302554,0.3115309396
12,0.1772904962,0.42105878,0.02281656948,0.2854007657
13,0.1706945936,0.4131520223,0.02530076403,0.2777577389
14,0.1707917746,0.4132696149,0.03381882136,0.2793646721
15,0.176344535,0.4199339651,0.03397839215,0.2944677825
16,0.1714223641,0.4140318395,0.02678251564,0.2839522189
17,0.1758196927,0.4193085888,0.02300398496,0.2932805963
18,0.1775172926,0.4213280107,0.02602455917,0.2961373271
19,0.1853416051,0.430513188,0.06148618616,0.2844849382
20,0.1897965039,0.4356564058,0.07920092241,0.2871409901
21,0.1873675957,0.4328597876,0.1048786181,0.262985938
22,0.1851892082,0.4303361572,0.09649958267,0.2597148879
23,0.192411919,0.4386478303,0.1037630566,0.274549853
24,0.1886409864,0.4343282013,0.1007691546,0.2576644626
25,0.1917088654,0.4378457096,0.1069481365,0.2653955123
26,0.2229085605,0.4721319313,0.1520081226,0.2909231311
27,0.3976151965,0.6305673608,0.1666099538,0.6210160156
