panel,scenario_id,level,pc1,pc2
raw,politeness-apology-003,negative,2.883422547,10.2562529
raw,politeness-apology-003,neutral,15.09371116,-1.913297682
raw,politeness-apology-003,positive,5.39698647,-4.143363137
raw,politeness-apology-013,negative,-2.188602446,14.29820444
raw,politeness-apology-013,neutral,12.5238387,-6.705003217
raw,politeness-apology-013,positive,10.13593823,-6.688011979
raw,politeness-apology-043,negative,-3.668539086,17.7260389
raw,politeness-apology-043,neutral,12.78670711,1.939743972
raw,politeness-apology-043,positive,8.310888861,11.60687129
raw,politeness-apology-057,negative,-1.390178287,14.82832522
raw,politeness-apology-057,neutral,10.23841396,0.4923304074
raw,politeness-apology-057,positive,13.2700126,-1.164475797
raw,politeness-apology-065,negative,0.8000921636,12.36036308
raw,politeness-apology-065,neutral,6.926078115,-9.297783321
raw,politeness-apology-065,positive,0.3661840121,-1.853639919
raw,politeness-apology-067,negative,-0.2715007482,8.141882688
raw,politeness-apology-067,neutral,8.616471055,-2.767302389
raw,politeness-apology-067,positive,12.61088761,-2.181961692
raw,politeness-apology-081,negative,-8.834533944,13.20139877
raw,politeness-apology-081,neutral,5.450514257,-6.519884821
raw,politeness-apology-081,positive,-0.1151316589,-5.872146867
raw,politeness-apology-098,negative,2.802369278,13.05936493
raw,politeness-apology-098,neutral,9.516777073,2.664239378
raw,politeness-apology-098,positive,12.64937054,1.390801731
raw,politeness-bad-news-delivery-020,negative,2.698835717,1.733484497
raw,politeness-bad-news-delivery-020,neutral,-0.4747050346,-5.838342153
raw,politeness-bad-news-delivery-020,positive,8.334092525,-4.820902773
raw,politeness-bad-news-delivery-028,negative,2.651197208,16.18936016
raw,politeness-bad-news-delivery-028,neutral,2.102323284,-6.271845016
raw,politeness-bad-news-delivery-028,positive,4.999051959,-0.8264710314
raw,politeness-bad-news-delivery-066,negative,-5.356403877,12.54662009
raw,politeness-bad-news-delivery-066,neutral,8.666528424,-11.80233714
raw,politeness-bad-news-delivery-066,positive,3.495879792,-4.083730357
raw,politeness-bad-news-delivery-073,negative,1.832451112,20.09057242
raw,politeness-bad-news-delivery-073,neutral,2.294836081,-0.2290515708
raw,politeness-bad-news-delivery-073,positive,1.117635742,4.518329194
raw,politeness-complaint-030,negative,1.168723014,11.40032079
raw,politeness-complaint-030,neutral,7.692148334,-4.701071503
raw,politeness-complaint-030,positive,-3.399112278,-6.246152209
raw,politeness-complaint-032,negative,1.051740766,15.72581092
raw,politeness-complaint-032,neutral,12.03961791,-8.592082314
raw,politeness-complaint-032,positive,4.760049027,-5.682788271
raw,politeness-complaint-040,negative,2.208013317,10.17560397
raw,politeness-complaint-040,neutral,10.02653001,-12.40802659
raw,politeness-complaint-040,positive,5.744087059,-7.748113146
raw,politeness-complaint-049,negative,-3.114291161,11.60175752
raw,politeness-complaint-049,neutral,15.73868573,-1.651385211
raw,politeness-complaint-049,positive,-3.742858063,-0.3818567341
raw,politeness-complaint-063,negative,-1.537962747,13.1134489
raw,politeness-complaint-063,neutral,6.576888216,3.987291953
raw,politeness-complaint-063,positive,-7.076473499,7.018809311
raw,politeness-complaint-072,negative,-0.2071767475,17.0566201
raw,politeness-complaint-072,neutral,8.973551523,-2.04981481
raw,politeness-complaint-072,positive,10.25248077,3.930898907
raw,politeness-complaint-089,negative,-4.126804548,12.24518414
raw,politeness-complaint-089,neutral,7.618810757,-14.79979006
raw,politeness-complaint-089,positive,7.039532869,-7.208562662
raw,politeness-correction-002,negative,-14.80835272,7.251200302
raw,politeness-correction-002,neutral,-9.00747309,-12.12583043
raw,politeness-correction-002,positive,-12.02510883,-9.025432719
raw,politeness-correction-005,negative,-8.18200295,2.599345878
raw,politeness-correction-005,neutral,-6.22975885,-13.47606849
raw,politeness-correction-005,positive,-11.51567034,-10.04350506
raw,politeness-correction-007,negative,-15.09201802,0.04979263128
raw,politeness-correction-007,neutral,-14.53074945,-6.134531339
raw,politeness-correction-007,positive,-13.80352519,-4.581515465
raw,politeness-correction-024,negative,1.72777948,7.617479992
raw,politeness-correction-024,neutral,6.706111448,-11.53010009
raw,politeness-correction-024,positive,7.021492973,-10.94845828
raw,politeness-correction-027,negative,-15.7933171,11.97220695
raw,politeness-correction-027,neutral,-6.628092235,-10.71299278
raw,politeness-correction-027,positive,-5.506488595,-14.08238388
raw,politeness-correction-045,negative,-7.930151703,5.51368386
raw,politeness-correction-045,neutral,-2.538405163,-13.58427512
raw,politeness-correction-045,positive,-10.44245503,-9.98152328
raw,politeness-correction-051,negative,-21.11591692,8.535799841
raw,politeness-correction-051,neutral,-19.40082665,-1.376194783
raw,politeness-correction-051,positive,-20.23043175,4.044429622
raw,politeness-correction-076,negative,-21.11591619,6.74665319
raw,politeness-correction-076,neutral,-20.92409219,-1.963177649
raw,politeness-correction-076,positive,-23.41195782,3.262326142
raw,politeness-correction-087,negative,-12.04204057,11.01417201
raw,politeness-correction-087,neutral,-13.35516734,-5.897344468
raw,politeness-correction-087,positive,-8.814163056,3.341558385
raw,politeness-criticism-or-feedback-023,negative,-10.85862709,-6.926761776
raw,politeness-criticism-or-feedback-023,neutral,-9.95429912,-11.05850492
raw,politeness-criticism-or-feedback-023,positive,-13.55055996,-8.289618273
raw,politeness-criticism-or-feedback-036,negative,-9.252762681,14.67317582
raw,politeness-criticism-or-feedback-036,neutral,-5.958213309,-11.51619807
raw,politeness-criticism-or-feedback-036,positive,-10.71137673,-4.772905028
raw,politeness-criticism-or-feedback-041,negative,-13.03976675,-6.306369586
raw,politeness-criticism-or-feedback-041,neutral,-8.955765426,-15.91637527
raw,politeness-criticism-or-feedback-041,positive,-5.440915624,-13.40821183
raw,politeness-criticism-or-feedback-050,negative,-10.19149617,5.961212326
raw,politeness-criticism-or-feedback-050,neutral,-12.92200401,-10.55019088
raw,politeness-criticism-or-feedback-050,positive,-10.55166076,-5.877674006
raw,politeness-criticism-or-feedback-054,negative,-15.38591654,8.585823275
raw,politeness-criticism-or-feedback-054,neutral,5.775739201,-7.920998169
raw,politeness-criticism-or-feedback-054,positive,-23.95397343,-6.315230757
raw,politeness-criticism-or-feedback-071,negative,-7.467993491,7.489625983
raw,politeness-criticism-or-feedback-071,neutral,-3.309875592,-10.95704319
raw,politeness-criticism-or-feedback-071,positive,-5.097685961,-10.67867208
raw,politeness-criticism-or-feedback-099,negative,-15.9230624,0.386547723
raw,politeness-criticism-or-feedback-099,neutral,-9.296240459,-13.2443965
raw,politeness-criticism-or-feedback-099,positive,-11.39627352,-15.08836845
raw,politeness-criticism-or-feedback-100,negative,-9.239134936,5.773135726
raw,politeness-criticism-or-feedback-100,neutral,-9.409465252,-14.77488098
raw,politeness-criticism-or-feedback-100,positive,-7.546194838,-9.056766817
raw,politeness-disagreement-012,negative,-3.540330333,6.8139749
raw,politeness-disagreement-012,neutral,-4.967049975,-7.631521069
raw,politeness-disagreement-012,positive,-13.88162751,-1.281986181
raw,politeness-disagreement-035,negative,-10.02013601,10.46598232
raw,politeness-disagreement-035,neutral,-7.435229061,1.305864577
raw,politeness-disagreement-035,positive,-5.049410009,-4.149807336
raw,politeness-disagreement-047,negative,-8.730668278,0.393689741
raw,politeness-disagreement-047,neutral,-15.38263262,-6.285312256
raw,politeness-disagreement-047,positive,-5.229867245,-11.98300709
raw,politeness-disagreement-048,negative,-8.230040041,8.664945031
raw,politeness-disagreement-048,neutral,2.890171913,-8.637219724
raw,politeness-disagreement-048,positive,-7.144295696,-7.187833983
raw,politeness-disagreement-075,negative,-14.80584287,8.620886894
raw,politeness-disagreement-075,neutral,-13.60457231,1.153010034
raw,politeness-disagreement-075,positive,-16.45531315,2.495746628
raw,politeness-disagreement-086,negative,-9.970484102,-1.34510795
raw,politeness-disagreement-086,neutral,-13.97507964,4.486953811
raw,politeness-disagreement-086,positive,-18.01628513,-1.907069207
raw,politeness-inquiry-sensitive-008,negative,-7.554147586,13.16485822
raw,politeness-inquiry-sensitive-008,neutral,-1.467086511,-3.62955705
raw,politeness-inquiry-sensitive-008,positive,0.540688557,-6.109429814
raw,politeness-inquiry-sensitive-009,negative,3.972487689,5.55914034
raw,politeness-inquiry-sensitive-009,neutral,4.24700745,-13.12466363
raw,politeness-inquiry-sensitive-009,positive,0.9622499843,-8.820243139
raw,politeness-inquiry-sensitive-016,negative,2.160825561,0.9242570204
raw,politeness-inquiry-sensitive-016,neutral,2.684550856,-10.60849593
raw,politeness-inquiry-sensitive-016,positive,-0.673703913,-9.303454395
raw,politeness-inquiry-sensitive-092,negative,-5.118110573,10.67936248
raw,politeness-inquiry-sensitive-092,neutral,-1.567473854,0.01404780485
raw,politeness-inquiry-sensitive-092,positive,0.3866091896,3.067861807
raw,politeness-refusal-038,negative,4.810334496,17.7105991
raw,politeness-refusal-038,neutral,15.31705954,6.229282938
raw,politeness-refusal-038,positive,13.03630331,6.012486953
raw,politeness-refusal-058,negative,9.917652088,9.753041655
raw,politeness-refusal-058,neutral,11.53061538,0.3216399982
raw,politeness-refusal-058,positive,6.012375736,-4.008861723
raw,politeness-refusal-064,negative,8.61836427,15.76776038
raw,politeness-refusal-064,neutral,16.56509968,3.940525734
raw,politeness-refusal-064,positive,9.53089196,-3.033964217
raw,politeness-refusal-069,negative,8.352787429,12.40812966
raw,politeness-refusal-069,neutral,8.354747838,5.01870401
raw,politeness-refusal-069,positive,9.920038688,-2.236982401
raw,politeness-refusal-077,negative,5.880170958,14.26104996
raw,politeness-refusal-077,neutral,18.27722201,4.937892581
raw,politeness-refusal-077,positive,11.9190699,9.240835176
raw,politeness-refusal-080,negative,2.377568078,9.360437577
raw,politeness-refusal-080,neutral,3.346201362,-0.8432205623
raw,politeness-refusal-080,positive,7.57198188,-9.221908737
raw,politeness-refusal-083,negative,3.305598191,17.74752473
raw,politeness-refusal-083,neutral,5.706784767,5.920174473
raw,politeness-refusal-083,positive,8.077622839,4.628994265
raw,politeness-refusal-090,negative,4.05977217,9.359533476
raw,politeness-refusal-090,neutral,17.14529223,-3.131556096
raw,politeness-refusal-090,positive,13.34145176,-1.740356532
raw,politeness-reminder-017,negative,3.812024018,4.993261903
raw,politeness-reminder-017,neutral,10.24739026,-7.464794436
raw,politeness-reminder-017,positive,4.200616831,-0.5992101609
raw,politeness-reminder-018,negative,-3.229729271,19.4908323
raw,politeness-reminder-018,neutral,-3.4478772,-10.98322006
raw,politeness-reminder-018,positive,-3.323560607,-6.422224346
raw,politeness-reminder-019,negative,2.839322906,10.7863448
raw,politeness-reminder-019,neutral,6.633300715,-6.25999797
raw,politeness-reminder-019,positive,5.280746753,-8.476501426
raw,politeness-reminder-021,negative,9.026926633,12.75608457
raw,politeness-reminder-021,neutral,9.290502897,-7.301749481
raw,politeness-reminder-021,positive,6.855682087,-7.157963832
raw,politeness-reminder-079,negative,4.178297054,14.48063396
raw,politeness-reminder-079,neutral,-1.761910862,-7.429396057
raw,politeness-reminder-079,positive,-2.6885505,-7.385562525
raw,politeness-reminder-094,negative,3.707969907,13.54139446
raw,politeness-reminder-094,neutral,-5.93049748,-7.424728608
raw,politeness-reminder-094,positive,-10.2485619,2.012550672
raw,politeness-request-001,negative,-2.062442976,13.55142224
raw,politeness-request-001,neutral,11.48220725,-10.69936946
raw,politeness-request-001,positive,10.63153236,-3.930758669
raw,politeness-request-006,negative,7.043808172,5.244454605
raw,politeness-request-006,neutral,4.776140429,-16.01249525
raw,politeness-request-006,positive,2.104679473,-11.93742109
raw,politeness-request-025,negative,2.417723691,17.29944688
raw,politeness-request-025,neutral,7.803571416,10.15400786
raw,politeness-request-025,positive,13.60030439,7.410667127
raw,politeness-request-029,negative,8.389626675,3.791869345
raw,politeness-request-029,neutral,9.203985223,-12.05160198
raw,politeness-request-029,positive,9.342704697,-15.05060618
raw,politeness-request-031,negative,-9.858568354,6.171689536
raw,politeness-request-031,neutral,-11.58178022,-13.52016858
raw,politeness-request-031,positive,-6.745060668,-13.41615915
raw,politeness-request-037,negative,3.725602096,10.22431167
raw,politeness-request-037,neutral,10.76766774,-5.380314679
raw,politeness-request-037,positive,13.84104244,-3.335748637
raw,politeness-request-053,negative,6.227455124,11.43139437
raw,politeness-request-053,neutral,8.218728764,-2.40512236
raw,politeness-request-053,positive,10.01273207,-0.9642111358
raw,politeness-request-056,negative,-8.374649799,2.162600398
raw,politeness-request-056,neutral,2.107260331,-1.003217262
raw,politeness-request-056,positive,3.732058881,-4.31056382
raw,politeness-request-061,negative,3.984541724,11.91214142
