layer,positive_neutral_vs_neutral_negative,positive_neutral_vs_positive_negative,neutral_negative_vs_positive_negative
1,-0.7419403791,0.1292591095,0.5689386129
2,-0.7041295767,0.153036952,0.5939492583
3,-0.6383435726,0.2038792372,0.6234387755
4,-0.5593721867,0.2616127729,0.6537089944
5,-0.5535457134,0.2568132877,0.6627290249
6,-0.5353819132,0.2644990683,0.6729220152
7,-0.4304533005,0.2735671997,0.7504228354
8,-0.4340798855,0.2879264355,0.7377414703
9,-0.4030091763,0.2698494196,0.7724927068
10,-0.3892354965,0.2679681778,0.7831475139
11,-0.3799571991,0.2558659315,0.7969946265
12,-0.367918849,0.25323385,0.8063797355
13,-0.3199961185,0.2918391228,0.8127878308
14,-0.3205565214,0.2894574404,0.8138918281
15,-0.3706177473,0.2485632896,0.8075142503
16,-0.3854888678,0.2363407612,0.8054655194
17,-0.400600791,0.2156556845,0.8083009124
18,-0.3459985256,0.245182991,0.8247641921
19,-0.3534551859,0.204174757,0.8435790539
20,-0.3647549152,0.1843525171,0.8479011059
21,-0.3553048372,0.1998238564,0.8448998928
22,-0.3488231897,0.1991766691,0.8489332199
23,-0.3548021317,0.1733956933,0.8592580557
24,-0.3314460516,0.1899136305,0.8633576035
25,-0.3562725782,0.1715227962,0.8594257832
26,-0.3975901604,0.1441357136,0.850674808
27,-0.6302289963,-0.01952338219,0.7885655165
