layer,accuracy_mean,agreement_mean
1,0.9475649535,0.3402587072
2,0.9422796087,0.3599453527
3,0.9424459059,0.3611649153
4,0.9544805379,0.3949857887
5,0.9594832389,0.3231215146
6,0.9594830548,0.7368844905
7,0.9641398222,0.3645829756
8,0.9596024891,0.2994335397
9,0.9665207746,0.3934721901
10,0.9569838282,0.3965584022
11,0.961748434,0.4033446514
12,0.9618090229,0.6985663541
13,0.9545500217,0.4140857637
14,0.9616402089,0.4304391016
15,0.9641346043,0.4425596231
16,0.9641899753,0.3855177504
17,0.9641346043,0.4491104265
18,0.9594280705,0.411183197
19,0.9571024891,0.4043536282
20,0.9665736287,0.3972892114
21,0.9571578601,-0.02241487399
22,0.9548851328,-0.03066256111
