row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.999236705
MeanDiff,LogReg,0.7738737385
MeanDiff,PCA,0.9872811031
MeanDiff,Random,0.03300824294
KMeans,MeanDiff,0.999236705
KMeans,KMeans,1
KMeans,LogReg,0.7591986428
KMeans,PCA,0.9903959174
KMeans,Random,0.0329758338
LogReg,MeanDiff,0.7738737385
LogReg,KMeans,0.7591986428
LogReg,LogReg,1
LogReg,PCA,0.6972037192
LogReg,Random,0.03536581176
PCA,MeanDiff,0.9872811031
PCA,KMeans,0.9903959174
PCA,LogReg,0.6972037192
PCA,PCA,1
PCA,Random,0.03017256128
Random,MeanDiff,0.03300824294
Random,KMeans,0.0329758338
Random,LogReg,0.03536581176
Random,PCA,0.03017256128
Random,Random,1
