row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.02064372893
MeanDiff,LogReg,0.6289708508
MeanDiff,PCA,0.814544903
MeanDiff,Random,0.03248790801
KMeans,MeanDiff,0.02064372893
KMeans,KMeans,1
KMeans,LogReg,-0.006318150439
KMeans,PCA,0.3964281803
KMeans,Random,0.01186946432
LogReg,MeanDiff,0.6289708508
LogReg,KMeans,-0.006318150439
LogReg,LogReg,1
LogReg,PCA,0.3310432338
LogReg,Random,0.02546062089
PCA,MeanDiff,0.814544903
PCA,KMeans,0.3964281803
PCA,LogReg,0.3310432338
PCA,PCA,1
PCA,Random,0.02609139161
Random,MeanDiff,0.03248790801
Random,KMeans,0.01186946432
Random,LogReg,0.02546062089
Random,PCA,0.02609139161
Random,Random,1
