row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9997438594
MeanDiff,LogReg,0.8354776559
MeanDiff,PCA,0.992107319
MeanDiff,Random,0.0248968105
KMeans,MeanDiff,0.9997438594
KMeans,KMeans,1
KMeans,LogReg,0.8304184517
KMeans,PCA,0.9925424102
KMeans,Random,0.02474478507
LogReg,MeanDiff,0.8354776559
LogReg,KMeans,0.8304184517
LogReg,LogReg,1
LogReg,PCA,0.7834148192
LogReg,Random,0.01669309131
PCA,MeanDiff,0.992107319
PCA,KMeans,0.9925424102
PCA,LogReg,0.7834148192
PCA,PCA,1
PCA,Random,0.02634488621
Random,MeanDiff,0.0248968105
Random,KMeans,0.02474478507
Random,LogReg,0.01669309131
Random,PCA,0.02634488621
Random,Random,1
