row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.07124957679
MeanDiff,LogReg,0.7052008733
MeanDiff,PCA,0.5731888037
MeanDiff,Random,0.024310212
KMeans,MeanDiff,0.07124957679
KMeans,KMeans,1
KMeans,LogReg,0.009671974736
KMeans,PCA,0.8281422542
KMeans,Random,0.01014871618
LogReg,MeanDiff,0.7052008733
LogReg,KMeans,0.009671974736
LogReg,LogReg,1
LogReg,PCA,0.2970610995
LogReg,Random,0.01135347265
PCA,MeanDiff,0.5731888037
PCA,KMeans,0.8281422542
PCA,LogReg,0.2970610995
PCA,PCA,1
PCA,Random,0.01929533527
Random,MeanDiff,0.024310212
Random,KMeans,0.01014871618
Random,LogReg,0.01135347265
Random,PCA,0.01929533527
Random,Random,1
