projection,y,level
-20.16994731,0,negative
-12.55425533,0,negative
-12.40831512,0,negative
20.82276157,1,positive
8.508507839,1,positive
15.80124835,1,positive
-17.2374021,0,negative
-12.20676202,0,negative
-16.81823009,0,negative
17.37237624,1,positive
13.91211149,1,positive
14.97790648,1,positive
-16.88278295,0,negative
-9.528093073,0,negative
-18.50153608,0,negative
14.60488668,1,positive
13.72030048,1,positive
16.58722495,1,positive
-14.89898485,0,negative
-6.81890536,0,negative
-1.780927004,0,negative
12.68302057,1,positive
6.135496684,1,positive
4.680299955,1,positive
-14.81834145,0,negative
-6.594879552,0,negative
-6.245700489,0,negative
18.08074477,1,positive
2.197092999,1,positive
7.381083718,1,positive
-3.307859303,0,negative
-19.78619348,0,negative
-7.52617726,0,negative
12.28381744,1,positive
6.319769051,1,positive
12.01664355,1,positive
-23.99619035,0,negative
-11.73434801,0,negative
10.67685759,1,positive
13.73837116,1,positive
11.31530961,1,positive
-10.0236305,0,negative
-13.8617275,0,negative
10.16102013,1,positive
3.22402252,1,positive
10.50031535,1,positive
-8.019180335,0,negative
-10.07742477,0,negative
-10.43707652,0,negative
14.95000803,1,positive
4.920624936,1,positive
8.663048662,1,positive
-8.924491136,0,negative
-8.926633611,0,negative
-13.22013561,0,negative
15.03710769,1,positive
16.03415267,1,positive
-13.82429273,0,negative
-11.79032425,0,negative
-7.898131061,0,negative
11.19275874,1,positive
12.31916559,1,positive
10.00082371,1,positive
-10.44487003,0,negative
-18.05576407,0,negative
-6.3881992,0,negative
11.24777814,1,positive
13.43279773,1,positive
10.20825743,1,positive
-16.44823373,0,negative
-14.57540317,0,negative
-18.00414038,0,negative
14.23841882,1,positive
19.56170371,1,positive
15.22765475,1,positive
-8.702565681,0,negative
-14.87277809,0,negative
-8.363209775,0,negative
15.85798018,1,positive
16.08057337,1,positive
-16.82100493,0,negative
-7.290688996,0,negative
-17.70994565,0,negative
11.82353234,1,positive
10.75171294,1,positive
19.2463943,1,positive
-23.65848141,0,negative
-13.40368938,0,negative
-25.15174305,0,negative
20.15940858,1,positive
17.78025016,1,positive
24.2742551,1,positive
-18.78514804,0,negative
-12.24609455,0,negative
-13.09416859,0,negative
16.11650747,1,positive
16.62085691,1,positive
11.38804679,1,positive
-13.12839488,0,negative
-17.58461117,0,negative
-7.783468432,0,negative
4.152339125,1,positive
12.43350406,1,positive
21.91063129,1,positive
-7.549351144,0,negative
-12.20961048,0,negative
-13.17851987,0,negative
17.00243629,1,positive
15.9350452,1,positive
-11.2522221,0,negative
-5.844402655,0,negative
-6.779783924,0,negative
8.024116957,1,positive
5.96794117,1,positive
9.884350551,1,positive
-10.34495313,0,negative
-9.567124421,0,negative
-9.268329007,0,negative
8.193935225,1,positive
12.21278734,1,positive
8.773683997,1,positive
-3.281580314,0,negative
-1.091581776,0,negative
-7.783003927,0,negative
5.949867579,1,positive
3.687198608,1,positive
2.51909983,1,positive
-13.78534485,0,negative
-14.3656753,0,negative
-12.40837287,0,negative
19.78227964,1,positive
10.07988487,1,positive
10.6972285,1,positive
-8.335612248,0,negative
-10.71726013,0,negative
-8.425420895,0,negative
9.880949201,1,positive
8.923192852,1,positive
8.674151222,1,positive
-11.4063534,0,negative
-15.60301182,0,negative
-13.09695275,0,negative
19.0467278,1,positive
14.46420192,1,positive
6.595388248,1,positive
-5.359555315,0,negative
-9.603738102,0,negative
-10.69639427,0,negative
8.71091256,1,positive
8.764713386,1,positive
8.184061739,1,positive
-8.492292898,0,negative
-6.43078818,0,negative
-4.729291981,0,negative
7.79517055,1,positive
4.350728362,1,positive
7.506474148,1,positive
-16.03788339,0,negative
-6.624006335,0,negative
-3.076406466,0,negative
7.976537443,1,positive
17.76175875,1,positive
-7.748385753,0,negative
-10.81775177,0,negative
-10.20793967,0,negative
7.934383701,1,positive
11.86127418,1,positive
8.978419316,1,positive
-13.25473507,0,negative
-11.08505913,0,negative
-14.8883676,0,negative
14.14735302,1,positive
16.6827849,1,positive
8.398023878,1,positive
-17.39195526,0,negative
-3.913953333,0,negative
-5.665844528,0,negative
9.521700485,1,positive
7.017496386,1,positive
10.43255625,1,positive
-8.701859372,0,negative
-18.15952007,0,negative
-13.09062789,0,negative
19.08238318,1,positive
9.2131815,1,positive
11.65644265,1,positive
-2.293871088,0,negative
-8.176346789,0,negative
-1.744605904,0,negative
12.21482378,1,positive
-1.613912291,0,negative
-9.261807133,0,negative
-18.07706978,0,negative
6.836374645,1,positive
13.9000129,1,positive
8.216401663,1,positive
-14.62903696,0,negative
-10.30297493,0,negative
