row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9721120066
MeanDiff,LogReg,0.6588391131
MeanDiff,PCA,0.9540689133
MeanDiff,Random,0.009642049747
KMeans,MeanDiff,0.9721120066
KMeans,KMeans,1
KMeans,LogReg,0.5353646252
KMeans,PCA,0.9913800541
KMeans,Random,0.005294918722
LogReg,MeanDiff,0.6588391131
LogReg,KMeans,0.5353646252
LogReg,LogReg,1
LogReg,PCA,0.4841517741
LogReg,Random,0.01244604579
PCA,MeanDiff,0.9540689133
PCA,KMeans,0.9913800541
PCA,LogReg,0.4841517741
PCA,PCA,1
PCA,Random,0.004948196003
Random,MeanDiff,0.009642049747
Random,KMeans,0.005294918722
Random,LogReg,0.01244604579
Random,PCA,0.004948196003
Random,Random,1
