row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.01688549583
MeanDiff,LogReg,0.5167581109
MeanDiff,PCA,0.02551140274
MeanDiff,Random,0.009868784172
KMeans,MeanDiff,0.01688549583
KMeans,KMeans,1
KMeans,LogReg,0.0001269856004
KMeans,PCA,-0.9764808171
KMeans,Random,-0.005255830406
LogReg,MeanDiff,0.5167581109
LogReg,KMeans,0.0001269856004
LogReg,LogReg,1
LogReg,PCA,0.01118284082
LogReg,Random,0.01894177172
PCA,MeanDiff,0.02551140274
PCA,KMeans,-0.9764808171
PCA,LogReg,0.01118284082
PCA,PCA,1
PCA,Random,0.002614337184
Random,MeanDiff,0.009868784172
Random,KMeans,-0.005255830406
Random,LogReg,0.01894177172
Random,PCA,0.002614337184
Random,Random,1
