row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.9992443554,1.32508815e-05,3
MeanDiff,LogReg,0.7738737385,0,3
MeanDiff,PCA,0.9872811034,4.509249592e-10,3
MeanDiff,Random,0.02072357913,0.02693256034,3
KMeans,MeanDiff,0.9992443554,1.32508815e-05,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.7592469662,8.369852626e-05,3
KMeans,PCA,0.9903426556,9.225269219e-05,3
KMeans,Random,0.02149037083,0.02749878394,3
LogReg,MeanDiff,0.7738737385,0,3
LogReg,KMeans,0.7592469662,8.369852626e-05,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.6972037199,2.516611459e-09,3
LogReg,Random,0.006433134146,0.01940711451,3
PCA,MeanDiff,0.9872811034,4.509249592e-10,3
PCA,KMeans,0.9903426556,9.225269219e-05,3
PCA,LogReg,0.6972037199,2.516611459e-09,3
PCA,PCA,1,0,3
PCA,Random,0.02350982381,0.02897364035,3
Random,MeanDiff,0.02072357913,0.02693256034,3
Random,KMeans,0.02149037083,0.02749878394,3
Random,LogReg,0.006433134146,0.01940711451,3
Random,PCA,0.02350982381,0.02897364035,3
Random,Random,1,0,3
