row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.0445060105,0.03866103473,3
MeanDiff,LogReg,0.6289708508,0,3
MeanDiff,PCA,0.8145448033,1.133759675e-07,3
MeanDiff,Random,0.02068282826,0.02708749689,3
KMeans,MeanDiff,0.0445060105,0.03866103473,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.003054283291,0.01804888292,3
KMeans,PCA,0.4163826221,0.03597623033,3
KMeans,Random,0.01659525214,0.02615742341,3
LogReg,MeanDiff,0.6289708508,0,3
LogReg,KMeans,0.003054283291,0.01804888292,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.3310429602,3.038553658e-07,3
LogReg,Random,0.001003878204,0.03276860132,3
PCA,MeanDiff,0.8145448033,1.133759675e-07,3
PCA,KMeans,0.4163826221,0.03597623033,3
PCA,LogReg,0.3310429602,3.038553658e-07,3
PCA,PCA,1,0,3
PCA,Random,0.02885273848,0.02393069259,3
Random,MeanDiff,0.02068282826,0.02708749689,3
Random,KMeans,0.01659525214,0.02615742341,3
Random,LogReg,0.001003878204,0.03276860132,3
Random,PCA,0.02885273848,0.02393069259,3
Random,Random,1,0,3
