projection,y,level
-3.588421307,0,neutral
-15.26545079,0,neutral
-3.148541881,0,neutral
2.53394977,1,positive
5.432967306,1,positive
14.0354969,1,positive
-2.925532455,0,neutral
-10.13834239,0,neutral
2.761791455,1,positive
5.432486486,1,positive
4.869596903,1,positive
-15.91814895,0,neutral
-7.351478022,0,neutral
-4.899633502,0,neutral
4.863115366,1,positive
13.12026303,1,positive
10.18588208,1,positive
-5.54103497,0,neutral
-8.1028835,0,neutral
-2.913185748,0,neutral
9.63251345,1,positive
4.32397322,1,positive
2.600617548,1,positive
-2.543100115,0,neutral
-9.407565112,0,neutral
-11.58241055,0,neutral
14.36628072,1,positive
-1.535511766,1,positive
10.70230682,1,positive
-11.41531232,0,neutral
-14.02343202,0,neutral
-11.843518,0,neutral
12.98213062,1,positive
11.05771817,1,positive
13.24241354,1,positive
-5.192848885,0,neutral
-5.000462808,0,neutral
-7.083738835,0,neutral
6.776402178,1,positive
2.18844776,1,positive
8.31220059,1,positive
-7.438354299,0,neutral
-0.2828467863,0,neutral
-1.543840196,0,neutral
3.945254225,1,positive
3.409770593,1,positive
1.910016464,1,positive
-11.2231159,0,neutral
-3.639457531,0,neutral
-13.18996411,0,neutral
10.58188486,1,positive
7.385841561,1,positive
10.08481113,1,positive
-5.667462339,0,neutral
-4.889984308,0,neutral
-1.722824624,0,neutral
6.259542071,1,positive
6.0207292,1,positive
-2.470737411,0,neutral
-19.20548823,0,neutral
-6.465708158,0,neutral
7.085003655,1,positive
10.51743046,1,positive
10.53949968,1,positive
-2.799208664,0,neutral
-14.11050637,0,neutral
-10.86969746,0,neutral
10.47908979,1,positive
8.510403909,1,positive
8.789918797,1,positive
-23.51467386,0,neutral
-17.46866105,0,neutral
-24.41610547,0,neutral
16.03275788,1,positive
28.18822858,1,positive
21.17845391,1,positive
-6.886858718,0,neutral
-4.672998114,0,neutral
-8.060810255,0,neutral
8.743323272,1,positive
10.87734381,1,positive
-13.72222989,0,neutral
-14.71134464,0,neutral
-4.080028126,0,neutral
8.751900461,1,positive
6.627487484,1,positive
17.1342147,1,positive
-22.37520439,0,neutral
-13.33186661,0,neutral
-25.89118101,0,neutral
13.01087636,1,positive
26.69487309,1,positive
21.89250257,1,positive
-19.86934936,0,neutral
-2.126125319,0,neutral
-14.69861593,0,neutral
10.97607924,1,positive
15.6210353,1,positive
10.09697607,1,positive
-12.70445509,0,neutral
-9.432036758,0,neutral
-19.40589758,0,neutral
16.25345432,1,positive
10.07284497,1,positive
15.21609014,1,positive
-14.33732652,0,neutral
-9.207136992,0,neutral
-5.560351667,0,neutral
19.58312747,1,positive
9.52168771,1,positive
-1.451473239,0,neutral
-8.016119289,0,neutral
-5.351647738,0,neutral
2.306061132,1,positive
0.7673758981,1,positive
11.74580323,1,positive
-15.75996581,0,neutral
3.66968223,0,neutral
-8.971374233,0,neutral
6.840472863,1,positive
4.299898246,1,positive
9.921286701,1,positive
