row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9721120066
MeanDiff,LogReg,0.6588391131
MeanDiff,PCA,0.9540689217
MeanDiff,Random,0.01749075308
KMeans,MeanDiff,0.9721120066
KMeans,KMeans,1
KMeans,LogReg,0.5353646252
KMeans,PCA,0.9913800499
KMeans,Random,0.02014885958
LogReg,MeanDiff,0.6588391131
LogReg,KMeans,0.5353646252
LogReg,LogReg,1
LogReg,PCA,0.4841518052
LogReg,Random,0.002052628335
PCA,MeanDiff,0.9540689217
PCA,KMeans,0.9913800499
PCA,LogReg,0.4841518052
PCA,PCA,1
PCA,Random,0.02232710344
Random,MeanDiff,0.01749075308
Random,KMeans,0.02014885958
Random,LogReg,0.002052628335
Random,PCA,0.02232710344
Random,Random,1
