row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.02218505169
MeanDiff,LogReg,0.6289708508
MeanDiff,PCA,0.8145448852
MeanDiff,Random,0.05174928294
KMeans,MeanDiff,0.02218505169
KMeans,KMeans,1
KMeans,LogReg,-0.007366244124
KMeans,PCA,0.3956117054
KMeans,Random,0.006087086594
LogReg,MeanDiff,0.6289708508
LogReg,KMeans,-0.007366244124
LogReg,LogReg,1
LogReg,PCA,0.3310431584
LogReg,Random,0.03523407394
PCA,MeanDiff,0.8145448852
PCA,KMeans,0.3956117054
PCA,LogReg,0.3310431584
PCA,PCA,1
PCA,Random,0.05635144514
Random,MeanDiff,0.05174928294
Random,KMeans,0.006087086594
Random,LogReg,0.03523407394
Random,PCA,0.05635144514
Random,Random,1
