row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.086562957
MeanDiff,LogReg,0.7052008733
MeanDiff,PCA,0.5731894384
MeanDiff,Random,0.04545009804
KMeans,MeanDiff,0.086562957
KMeans,KMeans,1
KMeans,LogReg,0.01829158271
KMeans,PCA,0.8375279006
KMeans,Random,0.009431737908
LogReg,MeanDiff,0.7052008733
LogReg,KMeans,0.01829158271
LogReg,LogReg,1
LogReg,PCA,0.2970626662
LogReg,Random,0.01827612584
PCA,MeanDiff,0.5731894384
PCA,KMeans,0.8375279006
PCA,LogReg,0.2970626662
PCA,PCA,1
PCA,Random,0.03983196028
Random,MeanDiff,0.04545009804
Random,KMeans,0.009431737908
Random,LogReg,0.01827612584
Random,PCA,0.03983196028
Random,Random,1
