projection,y,level
3.183607129,0,negative
26.19030751,1,neutral
14.6788906,0,negative
30.57033546,1,neutral
10.00337787,0,negative
35.15915316,1,neutral
-1.005897878,0,negative
26.67991023,1,neutral
3.560558556,0,negative
42.15718431,1,neutral
-0.2735142983,0,negative
-6.682902939,0,negative
15.32676464,1,neutral
-3.476108407,0,negative
17.6184228,1,neutral
-7.617005031,0,negative
10.72340184,1,neutral
4.430287323,0,negative
35.0267465,1,neutral
7.398787976,0,negative
20.29988175,1,neutral
14.65399145,0,negative
21.01248118,1,neutral
-2.132761738,0,negative
28.29734993,1,neutral
10.17424846,0,negative
32.41018039,1,neutral
9.680836903,0,negative
34.69024685,1,neutral
24.48441012,0,negative
33.13517553,1,neutral
1.697897217,0,negative
34.18781018,1,neutral
20.08316444,0,negative
41.98266644,1,neutral
32.5195051,1,neutral
-2.991438577,0,negative
33.92273023,1,neutral
5.23280069,0,negative
38.23067125,1,neutral
19.90841205,1,neutral
5.124924704,0,negative
29.82227791,1,neutral
5.063055204,0,negative
20.38661227,1,neutral
19.59403972,0,negative
41.84367099,1,neutral
14.30636878,0,negative
39.52147025,1,neutral
19.77340459,0,negative
34.95367591,1,neutral
6.30958068,0,negative
49.80076895,1,neutral
9.431756229,0,negative
37.28717697,1,neutral
-6.555624216,0,negative
35.06718933,1,neutral
-4.186070132,0,negative
29.10217272,1,neutral
-2.275550156,0,negative
36.69533293,1,neutral
0.9092804694,0,negative
42.43918265,1,neutral
-3.583333733,0,negative
28.19244151,1,neutral
-2.740322346,0,negative
31.8114405,1,neutral
4.533942681,0,negative
38.18889812,1,neutral
9.385357606,0,negative
32.58419937,1,neutral
11.35485191,0,negative
32.44057504,1,neutral
9.54083764,0,negative
33.78619745,1,neutral
5.178889905,0,negative
37.02527472,1,neutral
2.366824267,0,negative
42.41538033,1,neutral
8.216812083,0,negative
43.86112871,1,neutral
3.82583245,0,negative
41.02502515,1,neutral
16.246783,0,negative
38.75128153,1,neutral
-6.692932811,0,negative
44.86463637,1,neutral
0.9610223051,0,negative
33.08949012,1,neutral
13.14019783,0,negative
27.25494232,1,neutral
-2.290262155,0,negative
33.15943898,1,neutral
-10.14102324,0,negative
10.30139509,1,neutral
-3.06342627,0,negative
3.033414375,1,neutral
-4.221301067,0,negative
15.99538429,1,neutral
-6.302870638,0,negative
29.16196488,1,neutral
-3.507289324,0,negative
26.88094873,1,neutral
7.620748598,0,negative
26.1530103,1,neutral
16.59081942,0,negative
44.30646824,1,neutral
0.5652025827,0,negative
41.96746867,1,neutral
-1.481083901,0,negative
39.5938787,1,neutral
3.001070634,0,negative
21.69629432,1,neutral
12.50784209,0,negative
25.09202501,1,neutral
8.690734788,0,negative
20.80925087,1,neutral
12.35602658,0,negative
33.98541725,1,neutral
15.85090689,0,negative
22.32841633,1,neutral
13.44249539,0,negative
29.32087299,1,neutral
13.06301629,0,negative
25.21120921,1,neutral
8.328838797,0,negative
21.20561584,1,neutral
9.330689658,0,negative
22.14591657,1,neutral
9.712036373,0,negative
29.45480579,1,neutral
4.586018967,0,negative
26.09595265,1,neutral
5.087352951,0,negative
26.7833797,1,neutral
9.392940329,0,negative
28.15622226,1,neutral
1.343539422,0,negative
24.04740031,1,neutral
10.99208133,0,negative
26.45677252,1,neutral
12.45911944,0,negative
36.45273266,1,neutral
4.857802879,0,negative
35.66839586,1,neutral
9.212178327,0,negative
40.00859088,1,neutral
17.13533459,0,negative
29.7645096,1,neutral
7.911160442,0,negative
18.84741254,1,neutral
4.373077378,0,negative
29.68807914,1,neutral
17.30870528,0,negative
38.0102693,1,neutral
16.20195874,0,negative
27.19884138,1,neutral
12.8601175,0,negative
20.09093033,1,neutral
-8.152348202,0,negative
24.27507766,1,neutral
1.871314089,0,negative
25.01759034,1,neutral
9.185250697,0,negative
20.5522813,1,neutral
26.81505258,0,negative
37.43678308,1,neutral
