row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9997438594
MeanDiff,LogReg,0.8354776559
MeanDiff,PCA,0.992107323
MeanDiff,Random,0.02534406342
KMeans,MeanDiff,0.9997438594
KMeans,KMeans,1
KMeans,LogReg,0.8304184517
KMeans,PCA,0.9925424142
KMeans,Random,0.02546440744
LogReg,MeanDiff,0.8354776559
LogReg,KMeans,0.8304184517
LogReg,LogReg,1
LogReg,PCA,0.7834148332
LogReg,Random,0.01198657399
PCA,MeanDiff,0.992107323
PCA,KMeans,0.9925424142
PCA,LogReg,0.7834148332
PCA,PCA,1
PCA,Random,0.03221000481
Random,MeanDiff,0.02534406342
Random,KMeans,0.02546440744
Random,LogReg,0.01198657399
Random,PCA,0.03221000481
Random,Random,1
