row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.01688549583
MeanDiff,LogReg,0.5167581433
MeanDiff,PCA,0.0255099109
MeanDiff,Random,0.03322766296
KMeans,MeanDiff,0.01688549583
KMeans,KMeans,1
KMeans,LogReg,0.0001269770067
KMeans,PCA,-0.976480863
KMeans,Random,0.02593204788
LogReg,MeanDiff,0.5167581433
LogReg,KMeans,0.0001269770067
LogReg,LogReg,1
LogReg,PCA,0.01118208739
LogReg,Random,0.03386811767
PCA,MeanDiff,0.0255099109
PCA,KMeans,-0.976480863
PCA,LogReg,0.01118208739
PCA,PCA,1
PCA,Random,-0.02262236302
Random,MeanDiff,0.03322766296
Random,KMeans,0.02593204788
Random,LogReg,0.03386811767
Random,PCA,-0.02262236302
Random,Random,1
