row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.7562613662,0.007137567354,3
MeanDiff,LogReg,0.564093922,0,3
MeanDiff,PCA,0.7650178506,9.097006229e-07,3
MeanDiff,Random,0.01424412345,0.01149542433,3
KMeans,MeanDiff,0.7562613662,0.007137567354,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.2740874703,0.00220338675,3
KMeans,PCA,0.9886275729,0.001196914308,3
KMeans,Random,0.002652753623,0.0279611649,3
LogReg,MeanDiff,0.564093922,0,3
LogReg,KMeans,0.2740874703,0.00220338675,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.2608099042,1.379208125e-06,3
LogReg,Random,0.00891169014,0.01745352109,3
PCA,MeanDiff,0.7650178506,9.097006229e-07,3
PCA,KMeans,0.9886275729,0.001196914308,3
PCA,LogReg,0.2608099042,1.379208125e-06,3
PCA,PCA,1,0,3
PCA,Random,0.003988476257,0.02784244661,3
Random,MeanDiff,0.01424412345,0.01149542433,3
Random,KMeans,0.002652753623,0.0279611649,3
Random,LogReg,0.00891169014,0.01745352109,3
Random,PCA,0.003988476257,0.02784244661,3
Random,Random,1,0,3
