row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.7594499698,0.002173181382,3
MeanDiff,LogReg,0.6734923747,0,3
MeanDiff,PCA,0.7611683387,2.446126734e-07,3
MeanDiff,Random,0.01428748397,0.01262232473,3
KMeans,MeanDiff,0.7594499698,0.002173181382,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.3357998304,0.001911605114,3
KMeans,PCA,0.9913243862,0.000316906643,3
KMeans,Random,0.01673421686,0.01185698427,3
LogReg,MeanDiff,0.6734923747,0,3
LogReg,KMeans,0.3357998304,0.001911605114,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.3332562289,5.559200572e-07,3
LogReg,Random,-0.000703508218,0.01799441313,3
PCA,MeanDiff,0.7611683387,2.446126734e-07,3
PCA,KMeans,0.9913243862,0.000316906643,3
PCA,LogReg,0.3332562289,5.559200572e-07,3
PCA,PCA,1,0,3
PCA,Random,0.018899594,0.01049987389,3
Random,MeanDiff,0.01428748397,0.01262232473,3
Random,KMeans,0.01673421686,0.01185698427,3
Random,LogReg,-0.000703508218,0.01799441313,3
Random,PCA,0.018899594,0.01049987389,3
Random,Random,1,0,3
