row,col,cosine_mean,cosine_std,n_seeds
MeanDiff,MeanDiff,1,0,3
MeanDiff,KMeans,0.8875700167,0.001209881321,3
MeanDiff,LogReg,0.6308464314,0,3
MeanDiff,PCA,0.8420168573,3.041009262e-07,3
MeanDiff,Random,0.01623923852,0.005086249529,3
KMeans,MeanDiff,0.8875700167,0.001209881321,3
KMeans,KMeans,1,0,3
KMeans,LogReg,0.347150134,0.001790418954,3
KMeans,PCA,0.9839225443,3.487646496e-05,3
KMeans,Random,0.006111345274,0.01607685905,3
LogReg,MeanDiff,0.6308464314,0,3
LogReg,KMeans,0.347150134,0.001790418954,3
LogReg,LogReg,1,0,3
LogReg,PCA,0.2880193112,5.27598231e-07,3
LogReg,Random,0.01595895524,0.0171356008,3
PCA,MeanDiff,0.8420168573,3.041009262e-07,3
PCA,KMeans,0.9839225443,3.487646496e-05,3
PCA,LogReg,0.2880193112,5.27598231e-07,3
PCA,PCA,1,0,3
PCA,Random,0.005967036898,0.01675173959,3
Random,MeanDiff,0.01623923852,0.005086249529,3
Random,KMeans,0.006111345274,0.01607685905,3
Random,LogReg,0.01595895524,0.0171356008,3
Random,PCA,0.005967036898,0.01675173959,3
Random,Random,1,0,3
