row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.9965165309
MeanDiff,LogReg,0.6686606905
MeanDiff,PCA,0.9776065945
MeanDiff,Random,0.02104927552
KMeans,MeanDiff,0.9965165309
KMeans,KMeans,1
KMeans,LogReg,0.6286802111
KMeans,PCA,0.9857646798
KMeans,Random,0.02185598759
LogReg,MeanDiff,0.6686606905
LogReg,KMeans,0.6286802111
LogReg,LogReg,1
LogReg,PCA,0.5588819184
LogReg,Random,0.01094945845
PCA,MeanDiff,0.9776065945
PCA,KMeans,0.9857646798
PCA,LogReg,0.5588819184
PCA,PCA,1
PCA,Random,0.02192268234
Random,MeanDiff,0.02104927552
Random,KMeans,0.02185598759
Random,LogReg,0.01094945845
Random,PCA,0.02192268234
Random,Random,1
