row,col,cosine
MeanDiff,MeanDiff,1
MeanDiff,KMeans,0.7480196133
MeanDiff,LogReg,0.564093922
MeanDiff,PCA,0.7650176156
MeanDiff,Random,0.02126756747
KMeans,MeanDiff,0.7480196133
KMeans,KMeans,1
KMeans,LogReg,0.2715432184
KMeans,PCA,0.9872454953
KMeans,Random,0.0242688218
LogReg,MeanDiff,0.564093922
LogReg,KMeans,0.2715432184
LogReg,LogReg,1
LogReg,PCA,0.2608095657
LogReg,Random,0.01327029755
PCA,MeanDiff,0.7650176156
PCA,KMeans,0.9872454953
PCA,LogReg,0.2608095657
PCA,PCA,1
PCA,Random,0.02600648736
Random,MeanDiff,0.02126756747
Random,KMeans,0.0242688218
Random,LogReg,0.01327029755
Random,PCA,0.02600648736
Random,Random,1
