projection,y,level
-28.82984494,0,negative
-27.23075643,0,negative
-16.509597,0,negative
33.19852864,1,positive
18.2635466,1,positive
21.10812313,1,positive
-41.04425835,0,negative
-26.73373569,0,negative
-24.77742556,0,negative
36.82841757,1,positive
24.05008327,1,positive
31.67691876,1,positive
-22.48831743,0,negative
-7.686583427,0,negative
-27.54341047,0,negative
13.81965771,1,positive
26.93336128,1,positive
16.96529234,1,positive
-22.60502227,0,negative
-21.59330265,0,negative
-4.687300186,0,negative
21.26759505,1,positive
7.648505464,1,positive
19.9695246,1,positive
-36.36733863,0,negative
-12.90095896,0,negative
-5.506964457,0,negative
36.59726915,1,positive
-2.286995733,1,positive
20.46498863,1,positive
6.924893432,0,negative
-43.85193286,0,negative
-15.34646209,0,negative
24.72212114,1,positive
5.468145829,1,positive
22.08323454,1,positive
-31.58641579,0,negative
-20.64888663,0,negative
17.39053024,1,positive
15.65355119,1,positive
19.19122099,1,positive
-12.0228086,0,negative
-20.6329657,0,negative
16.65256095,1,positive
3.6030213,1,positive
12.40019204,1,positive
-18.55742639,0,negative
-22.55861046,0,negative
-17.88195178,0,negative
22.74005421,1,positive
20.36395388,1,positive
15.89398055,1,positive
-21.62109502,0,negative
-24.27913779,0,negative
-25.7704488,0,negative
30.93564049,1,positive
40.73504112,1,positive
-25.73221788,0,negative
-37.05128404,0,negative
-18.1654342,0,negative
29.55512966,1,positive
41.90979445,1,positive
9.484012015,1,positive
-21.48999447,0,negative
-30.16269506,0,negative
-26.07010042,0,negative
14.53795682,1,positive
41.929954,1,positive
21.25487912,1,positive
-34.09038435,0,negative
-17.91954877,0,negative
-41.08711911,0,negative
28.50420057,1,positive
39.00579494,1,positive
25.58705673,1,positive
-33.72156623,0,negative
-21.67517703,0,negative
-17.51227118,0,negative
35.40749069,1,positive
37.50152374,1,positive
-21.00707609,0,negative
-23.06648595,0,negative
-35.5618069,0,negative
30.22039604,1,positive
10.16400036,1,positive
39.25097254,1,positive
-33.2344232,0,negative
-25.49069794,0,negative
-34.28423138,0,negative
36.80870061,1,positive
30.37483973,1,positive
25.82581218,1,positive
-38.71230658,0,negative
-12.3881257,0,negative
-20.27339502,0,negative
26.46738159,1,positive
24.0729048,1,positive
20.83354092,1,positive
-17.21133544,0,negative
-29.00779086,0,negative
-0.196376257,0,negative
7.6140155,1,positive
15.22096823,1,positive
23.58051883,1,positive
-14.6076214,0,negative
-14.59153012,0,negative
-26.89052627,0,negative
23.0940056,1,positive
32.99567219,1,positive
-23.61550975,0,negative
-9.145688636,0,negative
-20.80118537,0,negative
18.23336346,1,positive
21.27345497,1,positive
14.05556533,1,positive
-36.2204111,0,negative
-18.66943692,0,negative
-24.67735594,0,negative
22.70679657,1,positive
31.88544546,1,positive
24.97496193,1,positive
-0.08052339464,0,negative
-3.852045357,0,negative
-24.32140531,0,negative
15.53466728,1,positive
12.20270354,1,positive
0.5166032364,1,positive
-17.49085936,0,negative
-26.05257296,0,negative
-14.38560724,0,negative
27.02878645,1,positive
10.54250208,1,positive
20.35775103,1,positive
-16.47859652,0,negative
-25.37925928,0,negative
-13.37781721,0,negative
22.29445767,1,positive
6.659777927,1,positive
26.28143741,1,positive
-13.00003029,0,negative
-38.07664356,0,negative
-40.04397887,0,negative
38.33926921,1,positive
35.75453001,1,positive
17.0268535,1,positive
-2.502520019,0,negative
-12.15868589,0,negative
-10.78367101,0,negative
8.459566377,1,positive
6.158547362,1,positive
10.82676318,1,positive
-12.07504747,0,negative
-10.64430702,0,negative
-10.797447,0,negative
6.544909427,1,positive
9.504044399,1,positive
17.46784766,1,positive
-34.70546762,0,negative
-14.2826181,0,negative
-9.505846258,0,negative
23.52296655,1,positive
34.97096542,1,positive
-12.17522305,0,negative
-15.86274052,0,negative
-27.33916202,0,negative
19.33886188,1,positive
22.31038775,1,positive
13.72787596,1,positive
-19.63064502,0,negative
-17.14473906,0,negative
-26.29491106,0,negative
28.72999224,1,positive
24.60228077,1,positive
9.738022134,1,positive
-20.96963531,0,negative
-3.679603054,0,negative
-12.72719466,0,negative
9.359411088,1,positive
10.59130869,1,positive
17.42571324,1,positive
-26.81092603,0,negative
-22.33291626,0,negative
-24.08806334,0,negative
33.34416023,1,positive
20.09149263,1,positive
19.79625278,1,positive
-18.40877809,0,negative
2.504332453,0,negative
-8.709737382,0,negative
24.61418302,1,positive
1.157700577,0,negative
-17.33854501,0,negative
-39.81808998,0,negative
22.56625154,1,positive
26.02039759,1,positive
7.412285288,1,positive
-24.05889471,0,negative
-8.841578885,0,negative
-43.37490391,0,negative
33.02762605,1,positive
23.09852038,1,positive
20.14923107,1,positive
-21.66663146,0,negative
-20.14939668,0,negative
-20.31677842,0,negative
35.10887843,1,positive
10.62263925,1,positive
16.40128888,1,positive
-15.5089957,0,negative
-20.75789807,0,negative
-34.49349408,0,negative
18.56484407,1,positive
22.48777305,1,positive
29.70777071,1,positive
-25.51479303,0,negative
-20.71498574,0,negative
-12.43767675,0,negative
8.918628369,1,positive
30.51289584,1,positive
19.23593131,1,positive
-18.37877316,0,negative
-16.69185979,0,negative
-26.30078149,0,negative
27.54205434,1,positive
13.52677378,1,positive
20.30258631,1,positive
-21.17013759,0,negative
-15.383597,0,negative
-24.6427729,0,negative
16.77218755,1,positive
28.22054167,1,positive
16.20377826,1,positive
-10.79688939,0,negative
-20.51880081,0,negative
-16.77645861,0,negative
18.17179084,1,positive
18.92670767,1,positive
10.9936503,1,positive
-12.84833769,0,negative
-6.788752236,0,negative
-8.375464112,0,negative
28.01255404,1,positive
-29.95578245,0,negative
-38.45756342,0,negative
-9.072275131,0,negative
19.59128706,1,positive
32.37298045,1,positive
25.5213535,1,positive
-14.69774338,0,negative
-17.6374259,0,negative
-28.25089666,0,negative
33.78405694,1,positive
26.80200901,1,positive
-39.6720159,0,negative
-12.23889905,0,negative
-14.01245346,0,negative
27.36557748,1,positive
19.36110655,1,positive
19.19668439,1,positive
-3.11698283,0,negative
-11.62065628,0,negative
-9.244478248,0,negative
-1.588469937,1,positive
14.419343,1,positive
11.1512443,1,positive
-26.48889229,0,negative
-17.77066996,0,negative
-20.39488108,0,negative
29.0803672,1,positive
19.18551417,1,positive
16.38856197,1,positive
-22.23374728,0,negative
-36.17811029,0,negative
-15.79671852,0,negative
21.25112292,1,positive
29.25729626,1,positive
23.70015692,1,positive
-28.86955528,0,negative
-24.45082662,0,negative
-36.13702104,0,negative
29.94633891,1,positive
33.55751004,1,positive
25.95355398,1,positive
-25.95998046,0,negative
-30.74758649,0,negative
-31.71749959,0,negative
30.63137534,1,positive
31.71685191,1,positive
26.07683928,1,positive
-27.0388727,0,negative
-14.0673132,0,negative
-25.55611519,0,negative
29.3455065,1,positive
15.9186773,1,positive
21.39811729,1,positive
-25.73028777,0,negative
-40.65939639,0,negative
-21.5228088,0,negative
31.55081208,1,positive
31.71611854,1,positive
24.64556234,1,positive
-26.95949762,0,negative
-24.65215258,0,negative
-24.87429328,0,negative
34.36213525,1,positive
15.40715249,1,positive
26.71665574,1,positive
-2.01894053,0,negative
-31.63944874,0,negative
-40.97607546,0,negative
24.27385851,1,positive
20.42398997,1,positive
29.93661625,1,positive
-2.075288101,0,negative
-16.99329422,0,negative
-30.74006822,0,negative
12.3687714,1,positive
15.66232633,1,positive
21.77755281,1,positive
-39.76754054,0,negative
-35.49383899,0,negative
-34.33907503,0,negative
31.96087901,1,positive
36.42044601,1,positive
41.21912955,1,positive
-42.28306246,0,negative
-37.0276098,0,negative
-9.231869314,0,negative
37.33156803,1,positive
24.11940588,1,positive
27.09156766,1,positive
-28.51339349,0,negative
-15.36866237,0,negative
-32.09879145,0,negative
17.81400863,1,positive
31.91801599,1,positive
26.24882269,1,positive
-38.74855607,0,negative
-20.91788593,0,negative
-26.07526854,0,negative
42.50123272,1,positive
36.14396073,1,positive
7.09651709,1,positive
-29.24131588,0,negative
-17.18935184,0,negative
-17.68539751,0,negative
0.3898285427,1,positive
36.22331294,1,positive
27.50292374,1,positive
-44.19901151,0,negative
25.7830649,1,positive
-9.007895031,1,positive
27.42384164,1,positive
-14.20590902,0,negative
-50.33977777,0,negative
-40.18489065,0,negative
37.34142945,1,positive
42.45187483,1,positive
24.93727316,1,positive
-21.86543668,0,negative
-10.78185411,0,negative
-18.37050535,0,negative
7.055514612,1,positive
35.22239002,1,positive
8.739891516,1,positive
-13.33037359,0,negative
-45.35294327,0,negative
-50.24596206,0,negative
39.08546945,1,positive
32.66024247,1,positive
37.18356699,1,positive
-23.69302238,0,negative
-17.33177123,0,negative
-42.52414714,0,negative
30.10425424,1,positive
32.858823,1,positive
20.58586352,1,positive
-42.59372251,0,negative
-20.63256083,0,negative
-15.15794654,0,negative
17.70724112,1,positive
27.83825963,1,positive
32.83872913,1,positive
-20.52859606,0,negative
-32.94082886,0,negative
-8.984498061,0,negative
9.568993595,1,positive
28.94220602,1,positive
23.94272337,1,positive
10.11905227,0,negative
-9.97318164,0,negative
-10.78669085,0,negative
2.421381069,1,positive
25.70612086,1,positive
-17.4866817,1,positive
-21.93104122,0,negative
-16.11581162,0,negative
-27.56139671,0,negative
13.81408547,1,positive
25.66957363,1,positive
26.12459045,1,positive
-23.62125488,0,negative
-17.5054497,0,negative
-12.29338004,0,negative
15.0060565,1,positive
28.84679131,1,positive
9.567236816,1,positive
-21.59822985,0,negative
-11.25773541,0,negative
-19.65674297,0,negative
37.2542704,1,positive
2.418149535,1,positive
12.84028829,1,positive
-37.16757941,0,negative
-31.71582417,0,negative
-37.49002677,0,negative
38.05997162,1,positive
39.19117436,1,positive
29.12228436,1,positive
